dataset,outcome,scaling,lag,model,beta,se,p,sig,mean_y,n
hh,owns_storage_struct,raw,5,M4,-0.41655418996955773,0.33176273964148323,0.2152233028671048,,0.2385474277366169,8172
hh,owns_transport,lin,0,M2,-0.03349528746597938,0.02522352689271426,0.19035141620144463,,0.026296566837107377,8172
hh,owns_transport,lin,0,M3,-0.0320464438779252,0.02381053346180392,0.1845312484060655,,0.026296566837107377,8172
hh,owns_transport,lin,0,M4,-0.026091680097145888,0.02692327052592091,0.33724844138292376,,0.026296566837107377,8172
hh,owns_transport,lin,1,M2,0.009810017499126827,0.02226507280026389,0.6614394931324952,,0.026296566837107377,8172
hh,owns_transport,lin,1,M3,0.007559689769258492,0.019999839923668206,0.7070724130848669,,0.026296566837107377,8172
hh,owns_transport,lin,1,M4,-0.027368399833933986,0.02009385901003345,0.17941799386041493,,0.026296566837107377,8172
hh,owns_transport,lin,2,M2,0.0025774877380538,0.007730097729472714,0.7402283520950064,,0.026296566837107377,8172
hh,owns_transport,lin,2,M3,0.002071816295703269,0.007018534042083241,0.7690942924862931,,0.026296566837107377,8172
hh,owns_transport,lin,2,M4,-0.010336503220150952,0.00731119416754804,0.16374533123585508,,0.026296566837107377,8172
hh,owns_transport,lin,3,M2,0.004599120638963076,0.005648859422948371,0.41948789541384923,,0.026296566837107377,8172
hh,owns_transport,lin,3,M3,0.0036704610310647136,0.005011759257347999,0.4674317297756695,,0.026296566837107377,8172
hh,owns_transport,lin,3,M4,-0.004232610942251657,0.004531157987248899,0.35482648311031906,,0.026296566837107377,8172
hh,owns_transport,lin,5,M2,0.12392943669392409,0.18094095876162136,0.49662392595981764,,0.026296566837107377,8172
hh,owns_transport,lin,5,M3,0.10254535684320833,0.16318409272987247,0.5326583614637014,,0.026296566837107377,8172
hh,owns_transport,lin,5,M4,-0.17201572190819048,0.1529522045670269,0.2662219658810082,,0.026296566837107377,8172
hh,owns_transport,log,0,M2,-0.035812654438391434,0.03258748619102654,0.2771518342057453,,0.026296566837107377,8172
hh,owns_transport,log,0,M3,-0.03289035373380224,0.028407813740869037,0.25256116119084404,,0.026296566837107377,8172
hh,owns_transport,log,0,M4,-0.022835847239875615,0.035064152641175,0.5179220617460485,,0.026296566837107377,8172
hh,owns_transport,log,1,M2,0.01836366526940314,0.024773700842181334,0.46207585930609474,,0.026296566837107377,8172
hh,owns_transport,log,1,M3,0.014263720044609556,0.0218442380397732,0.516825185868056,,0.026296566837107377,8172
hh,owns_transport,log,1,M4,-0.03623936691142352,0.029361451453374748,0.2229966470532091,,0.026296566837107377,8172
hh,owns_transport,log,2,M2,0.005559752337308861,0.008269157629196227,0.5045203663616398,,0.026296566837107377,8172
hh,owns_transport,log,2,M3,0.004385648240742619,0.00744011747746849,0.558261273460818,,0.026296566837107377,8172
hh,owns_transport,log,2,M4,-0.01331375349547716,0.010795855021603247,0.22337410094534532,,0.026296566837107377,8172
hh,owns_transport,log,3,M2,0.00651553395595524,0.007059807557919472,0.3605788814476738,,0.026296566837107377,8172
hh,owns_transport,log,3,M3,0.005336503882506923,0.006054562841977039,0.38240341107174525,,0.026296566837107377,8172
hh,owns_transport,log,3,M4,-0.00610016803251489,0.006147210269657772,0.32590338158832777,,0.026296566837107377,8172
hh,owns_transport,log,5,M2,0.1911198821686284,0.2188490960795089,0.38676191848516095,,0.026296566837107377,8172
hh,owns_transport,log,5,M3,0.16160539362941784,0.19293453566515106,0.4063125090102825,,0.026296566837107377,8172
hh,owns_transport,log,5,M4,-0.22030997878494946,0.21261662974451975,0.30520296201973324,,0.026296566837107377,8172
hh,owns_transport,raw,0,M2,-0.003631066521353427,0.0034991696865020196,0.3045064694788774,,0.026296566837107377,8172
hh,owns_transport,raw,0,M3,-0.007098182448462933,0.005273954749377896,0.18453120806059106,,0.026296566837107377,8172
hh,owns_transport,raw,0,M4,-0.005779221757675099,0.00596341723026988,0.3372485147327673,,0.026296566837107377,8172
hh,owns_transport,raw,1,M2,0.005449957758872789,0.0037473323181008073,0.15222347292497004,,0.026296566837107377,8172
hh,owns_transport,raw,1,M3,0.0016744465451694127,0.0044298988045124105,0.7070723948168196,,0.026296566837107377,8172
hh,owns_transport,raw,1,M4,-0.006062011001448714,0.004450723942420545,0.17941798694117825,,0.026296566837107377,8172
hh,owns_transport,raw,2,M2,0.0018731646541523983,0.001313007190820763,0.16002997976575503,,0.026296566837107377,8172
hh,owns_transport,raw,2,M3,4.5890052957969687e-4,0.0015545823180062555,0.7690942918371452,,0.026296566837107377,8172
hh,owns_transport,raw,2,M4,-0.002289501637553595,0.0016194055846727598,0.16374533176952932,,0.026296566837107377,8172
hh,owns_transport,raw,3,M2,0.0013455502065740144,9.218700895564143e-4,0.15078516554829408,,0.026296566837107377,8172
hh,owns_transport,raw,3,M3,8.129951069737336e-4,0.0011100883059686302,0.4674317422250738,,0.026296566837107377,8172
hh,owns_transport,raw,3,M4,-9.375094726939825e-4,0.0010036366626195435,0.35482648141822903,,0.026296566837107377,8172
hh,owns_transport,raw,5,M2,0.043798553534189266,0.03042130909514687,0.15630160718109498,,0.026296566837107377,8172
hh,owns_transport,raw,5,M3,0.0227134609618828,0.036144738359691835,0.5326583144745995,,0.026296566837107377,8172
hh,owns_transport,raw,5,M4,-0.03810091948176226,0.033878412819583544,0.2662219664884357,,0.026296566837107377,8172
hh,profit_12m,lin,0,M2,54272.683892361725,32936.417080194704,0.10579198584346719,,24941.54484879549,17362
hh,profit_12m,lin,0,M3,64404.39654390508,33298.92174610867,0.05888324201065886,*,24941.54484879549,17362
hh,profit_12m,lin,0,M4,80814.90425428569,40132.94271890693,0.04955180439325565,**,24941.54484879549,17362
hh,profit_12m,lin,1,M2,-26677.253593895086,17357.256461725698,0.13073816023019622,,24941.54484879549,17362
hh,profit_12m,lin,1,M3,-31198.51484562782,17171.64640400594,0.0753569021693924,*,24941.54484879549,17362
hh,profit_12m,lin,1,M4,-40837.49904485731,19692.351886566747,0.04337744437942823,**,24941.54484879549,17362
hh,profit_12m,lin,2,M2,-7958.851392176384,5903.63681888459,0.1838169253822801,,24941.54484879549,17362
hh,profit_12m,lin,2,M3,-9312.80019015924,5854.46113263963,0.11810477100370677,,24941.54484879549,17362
hh,profit_12m,lin,2,M4,-12308.108134109058,6794.234493076471,0.07618675697632596,*,24941.54484879549,17362
hh,profit_12m,lin,3,M2,-10045.096759940736,5085.720944534378,0.05389783639030846,*,24941.54484879549,17362
hh,profit_12m,lin,3,M3,-11795.163712500786,5022.889735476759,0.02294006306872309,**,24941.54484879549,17362
hh,profit_12m,lin,3,M4,-15184.013120044596,5715.247841319559,0.010619646418050632,**,24941.54484879549,17362
hh,profit_12m,lin,5,M2,-285990.349610636,151635.92828856365,0.06522493013076874,*,24941.54484879549,17362
hh,profit_12m,lin,5,M3,-338440.23059695493,149513.20460714595,0.028061131391686728,**,24941.54484879549,17362
hh,profit_12m,lin,5,M4,-442908.9548132379,171568.84307289147,0.012879182076406799,**,24941.54484879549,17362
hh,profit_12m,log,0,M2,38899.703878449596,32355.092997868902,0.23503514057777078,,24941.54484879549,17362
hh,profit_12m,log,0,M3,50291.229751896855,30782.212814109214,0.10871576636189026,,24941.54484879549,17362
hh,profit_12m,log,0,M4,85520.40954463345,49479.43006990499,0.0902134563017947,*,24941.54484879549,17362
