dataset,outcome,scaling,lag,model,beta,se,p,sig,mean_y,n
nec_cs,share_firms_size_medium_10_50,log,0,M4,-6.234795568782906e-4,0.002221529844899726,0.7798677432310568,,0.04218430838931957,75
nec_cs,share_firms_size_medium_10_50,log,1,M2,-0.0027499638700015775,0.001414623826870788,0.05580903395164642,*,0.04218430838931957,75
nec_cs,share_firms_size_medium_10_50,log,1,M3,-0.00247836601898038,0.0014567811101971549,0.0932697421879844,*,0.04218430838931957,75
nec_cs,share_firms_size_medium_10_50,log,1,M4,-6.425867967567382e-4,0.002224399815705529,0.7735917825653982,,0.04218430838931957,75
nec_cs,share_firms_size_medium_10_50,log,2,M2,-0.0027409282187262534,0.0014137591549123218,0.056451503311107265,*,0.04218430838931957,75
nec_cs,share_firms_size_medium_10_50,log,2,M3,-0.0024719910262498233,0.0014556288060175123,0.09384340115473315,*,0.04218430838931957,75
nec_cs,share_firms_size_medium_10_50,log,2,M4,-6.340870453109832e-4,0.0022265422107177256,0.7767138352226582,,0.04218430838931957,75
nec_cs,share_firms_size_medium_10_50,log,3,M2,-0.0026941582127693693,0.0014089862232261232,0.059839052126051166,*,0.04218430838931957,75
nec_cs,share_firms_size_medium_10_50,log,3,M3,-0.002424785928859224,0.0014501944606748031,0.09891783119657237,*,0.04218430838931957,75
nec_cs,share_firms_size_medium_10_50,log,3,M4,-5.55956896369553e-4,0.002232131209867757,0.8040919975705422,,0.04218430838931957,75
nec_cs,share_firms_size_medium_10_50,log,5,M2,0.0030298959350120148,0.0014281448088833944,0.03731727689023619,**,0.04218430838931957,75
nec_cs,share_firms_size_medium_10_50,log,5,M3,0.0027918027270030796,0.001490981080987288,0.06526094580253841,*,0.04218430838931957,75
nec_cs,share_firms_size_medium_10_50,log,5,M4,0.0010909697198274973,0.002167472121378653,0.616428599828524,,0.04218430838931957,75
nec_cs,share_firms_size_medium_10_50,raw,0,M2,2.1533062120842727e-4,2.157286798926997e-4,0.3215471292037178,,0.04218430838931957,75
nec_cs,share_firms_size_medium_10_50,raw,0,M3,-7.166252897088526e-4,3.209514414336794e-4,0.02871538062607658,**,0.04218430838931957,75
nec_cs,share_firms_size_medium_10_50,raw,0,M4,-6.460700634287504e-4,4.5423191162496067e-4,0.15971021479823516,,0.04218430838931957,75
nec_cs,share_firms_size_medium_10_50,raw,1,M2,2.142738474565629e-4,2.158121599868265e-4,0.3240974516470624,,0.04218430838931957,75
nec_cs,share_firms_size_medium_10_50,raw,1,M3,-7.181985198789589e-4,3.2097207121886776e-4,0.028388306051449982,**,0.04218430838931957,75
nec_cs,share_firms_size_medium_10_50,raw,1,M4,-6.479552854722851e-4,4.541673907456042e-4,0.1584556892034829,,0.04218430838931957,75
nec_cs,share_firms_size_medium_10_50,raw,2,M2,2.1453166680605873e-4,2.157247568041491e-4,0.32332487980679014,,0.04218430838931957,75
nec_cs,share_firms_size_medium_10_50,raw,2,M3,-7.176788461003703e-4,3.2076937022831355e-4,0.02840240679183102,**,0.04218430838931957,75
nec_cs,share_firms_size_medium_10_50,raw,2,M4,-6.479446325182874e-4,4.5448392858606253e-4,0.15874812832801594,,0.04218430838931957,75
nec_cs,share_firms_size_medium_10_50,raw,3,M2,2.2163685056216052e-4,2.1542201136035162e-4,0.3069943159559031,,0.04218430838931957,75
nec_cs,share_firms_size_medium_10_50,raw,3,M3,-7.115578394817892e-4,3.198863529769784e-4,0.029301411940754564,**,0.04218430838931957,75
nec_cs,share_firms_size_medium_10_50,raw,3,M4,-6.420151559087821e-4,4.55978602823139e-4,0.16389772832470265,,0.04218430838931957,75
nec_cs,share_firms_size_medium_10_50,raw,5,M2,-1.4753828104309787e-4,2.203630783483926e-4,0.5053029680742174,,0.04218430838931957,75
nec_cs,share_firms_size_medium_10_50,raw,5,M3,7.644108459899668e-4,3.310300119996335e-4,0.023846728175581994,**,0.04218430838931957,75
nec_cs,share_firms_size_medium_10_50,raw,5,M4,6.795967223741769e-4,4.4881443464511565e-4,0.13482180948326933,,0.04218430838931957,75
nec_cs,share_firms_size_micro_1,lin,0,M2,0.0045078841527857365,0.009457111712295947,0.6350434377998552,,0.37340937239038224,75
