lgcode,n_firms,rev_total,exp_total,wage_bill_total,value_added_total,profit_proxy_total,cap_total,cap_fixed_total,emp_total,log_rev_total,log_exp_total,log_value_added_total,log_profit_proxy_total,log_cap_total,log_emp_total,mean_rev_per_worker,median_rev_per_worker,p90_rev_per_worker,mean_value_added_per_worker,median_value_added_per_worker,mean_profit_per_worker,median_profit_per_worker,mean_capital_per_worker,median_capital_per_worker,mean_revenue_per_capital,median_revenue_per_capital,mean_profit_margin,median_profit_margin,wage_share_of_revenue,value_added_share_of_revenue,capital_intensity_aggregate,share_positive_revenue,share_positive_capital
70207,491,236787528,193896888,106596504,42890640,42890640,654344113,573786009,1114,19.282673794891345,19.08283707573141,17.574164201590058,17.574164201590058,20.299143939239244,7.016609683894219,191623.6488593853,96000,360000,60776.5030532408,24000,60776.5030532408,24000,353162.05491126445,120000,1.2952677104873649,0.8,0.362894106432592,0.25,0.45017786578691765,0.1811355537273061,587382.5071813285,0.9490835030549898,0.9409368635437881
70208,419,138329784,112281036,61710984,26048748,26048748,555546000,197827500,917,18.74515113859547,18.53651554525428,17.075480301977876,17.075480301977876,20.1354619736964,6.822197390620491,155781.89495665228,72000,348967.20000000054,45934.429109985846,18000,45934.429109985846,18000,389498.5137188572,150000,1.2619176634660663,0.6,0.3639419883355685,0.3333333333333333,0.44611494513719474,0.18830903401107024,605829.8800436205,0.9474940334128878,0.9689737470167065
70209,643,476397660,376932984,122905620,99464676,99464676,716069944,398230700,1745,19.98176348569365,19.74757797099066,18.415313134074495,18.415313134074495,20.38928840870119,7.465082736399547,338536.3968366556,150000,600000,81959.87300727797,30000,81959.87300727797,30000,296052.0482788191,150000,1.6631427684207865,0.972972972972973,0.34773485573296353,0.25,0.25798955435675314,0.20878498017811423,410355.26876790833,0.9595645412130638,0.9766718506998445
70210,556,323222712,197061084,66798120,126161628,126161628,845310759,573408012,1439,19.593852157513304,19.099024314780724,18.653074412710712,18.653074412710712,20.555214881026707,7.272398392570047,184716.7193670331,90000,360000,59118.91779340017,18000,59118.91779340017,18000,483206.5475017995,164000,0.9125674591795717,0.48,0.39742671325238343,0.3333333333333333,0.2066628288175492,0.3903241428158056,587429.29742877,0.935251798561151,0.9532374100719424
70211,451,809072208,729090348,446396172,79981860,79981860,516463891,308047519,893,20.511398728147128,20.40730821782168,18.197310429429322,18.197310429429322,20.062515935077315,6.795705775173514,282479.73353578674,60000,302596.80000000005,82283.58997343565,10800,82283.58997343565,10800,383150.4390179908,160000,1.2109922548827812,0.34285714285714286,0.3672876961225733,0.3333333333333333,0.5517383585619344,0.09885626920458995,578347.0223964165,0.9600886917960089,0.9578713968957872
70212,474,179234964,158238888,82436256,20996076,20996076,621798102,465377410,951,19.004208156659722,18.87961640483324,16.859846168712814,16.859846168712814,20.248126004764075,6.858565034791365,158639.2009573881,60000,316256.5714285714,37725.1657052113,18000,37725.1657052113,18000,442394.5969533553,160000,0.7701368019520778,0.42857142857142855,0.3617604781241209,0.3,0.4599340115358296,0.1171427467689842,653836.0694006309,0.9725738396624473,0.9746835443037974
70301,215,254961756,91568352,52508100,163393404,163393404,227146117,165655268,551,19.356624119326675,18.332596278682125,18.911671378498536,18.911671378498536,19.241104059995035,6.313548046277095,330219.30753409344,180000,510432.0000000004,187896.98314330427,54000,187896.98314330427,54000,326262.5752645503,105000,2.774830254684518,1.6666666666666667,0.3908360935014477,0.4166666666666667,0.2059450045519768,0.6408545601639173,412243.4065335753,0.9906976744186047,0.9906976744186047
70302,194,175009032,73921788,24041928,101087244,101087244,243431032,133415067,490,18.980348147698525,18.11851818684467,18.43149451381595,18.43149451381595,19.310344228336298,6.19644412779452,570229.158183274,120000,332400.00000000023,460782.62020893616,36000,460782.62020893616,36000,381849.2029474568,150000,1.600057275364096,0.6675678619883736,0.418935738050375,0.4,0.13737535557593394,0.5776115829267601,496798.0244897959,0.9896907216494846,0.9948453608247423
70303,1169,1875128916,1813578504,392530584,61550412,61550412,1777988537,904154077,3749,21.35194324973855,21.31856780497002,17.935367120564102,17.935367120564102,21.298748527448165,8.229511118964457,595628.2236308669,180000,720000,26360.475179511963,48000,26360.475179511963,48000,555755.1466339334,133333.33333333334,2.1660472204115275,1.2,0.28184460761090596,0.3333333333333333,0.20933525191288768,0.032824629536031324,474256.7449986663,0.9563729683490163,0.9717707442258341
70304,230,168791460,152124888,93668088,16666572,16666572,191482000,119675571,973,18.9441745523537,18.840212379608595,16.628915654708518,16.628915654708518,19.070304372611545,6.881411303642535,161724.20037105354,80000,281245.41176470584,31457.344502116986,17000,31457.344502116986,17000,233604.64991664683,133333.33333333334,0.9290321173223215,0.5842424242424242,0.20970215921702115,0.3333333333333333,0.5549338100399155,0.09874061163994909,196795.47790339158,1,1
70305,141,68215620,64074060,164400,4141560,4141560,151496937,108322400,416,18.03818414350727,17.975550175405505,15.236583327874921,15.236583327874921,18.836075971488327,6.0330862217988015,166747.64507065038,120000,327000,34414.14505116633,20000,34414.14505116633,20000,422211.5024935663,250000,0.6890847426713431,0.4,0.24353891520538548,0.3333333333333333,0.002410005215814208,0.06071278103167574,364175.32932692306,1,1
70306,264,194328792,193455588,54328320,873204,873204,322967787,266813748,732,19.08506209173736,19.080558529879806,13.679925629706581,13.679925629706581,19.593063148659628,6.597145701886651,273699.7088138673,180000,594810.6,34470.62825470381,30000,34470.62825470381,30000,493702.05907285656,300000,1.0403589083235103,0.5313725490196078,0.09292438842512085,0.26747967479674795,0.2795690717822195,0.0044934360524404434,441212.8237704918,0.9848484848484849,0.9886363636363636
70307,524,72813665424,67682385084,293516880,5131280340,5131280340,1676732718,336042086,1510,25.01116948641525,24.938091792241057,22.358621044131695,22.358621044131695,21.240112926643807,7.32052696227274,141651684.39187574,120000,585819.6000000003,9889671.48285721,21960,9889671.48285721,21960,799621.3468130208,200000,12.61975431738189,0.6,-0.29348772940579493,0.2,0.004031068595308681,0.070471391738352,1110419.0185430464,0.9732824427480916,0.9694656488549618
70308,393,1690149192,609323160,218870160,1080826032,1080826032,792213105,380562321,1192,21.24808264186661,20.227859326969597,20.800991431107747,20.800991431107747,20.490340986817312,7.084226422097916,1030484.6441000451,108000,600000,663673.445790469,18000,663673.445790469,18000,631964.6625912364,150000,5.2545407262806,0.7247707317073171,-2.3529802069848356,0.25,0.12949753846345655,0.6394855774365272,664608.3095637584,0.9872773536895675,0.9847328244274809
70309,283,236299248,963647940,88140648,-727348692,-727348692,258327192,208403619,1224,19.280609563988733,20.686236579439175,0,0,19.369737529334767,7.110696122978827,153291.39259721988,90000,306659.7272727273,-38890.680109727706,12000,-38890.680109727706,12000,229312.06991475954,125000,1.3408933477963356,0.7058823529411765,-0.10211218033493459,0.2857142857142857,0.3730043525149094,-3.078082973840018,211051.6274509804,0.9752650176678446,0.9717314487632509
70401,326,168404112,131583204,81405084,36820908,36820908,401866873,348923000,915,18.94187708346474,18.695149947130616,17.421576421134215,17.421576421134215,19.811631432533996,6.82001636467413,193670.59662764653,153000,300000,64840.99735932918,37200,64840.99735932918,37200,319837.4412568145,175000,1.0923238044381922,0.9333333333333333,0.34096208283850926,0.2857142857142857,0.48339130816473175,0.21864613377136538,439198.7683060109,0.9815950920245399,0.9754601226993865
70402,391,234428172,181951824,87556956,52476348,52476348,592959385,440611600,1316,19.272659800424176,19.019252512200225,17.77587313082029,17.77587313082029,20.200636465577734,7.183111701743281,229890.69702874,120000,505717.6421052642,87082.5089932409,36000,87082.5089932409,36000,504708.8000218609,250000,4.606076308768237,0.5306666666666666,0.3479119216115125,0.3333333333333333,0.3734916126036251,0.22384830096273584,450577.04027355625,0.9514066496163683,0.9462915601023018
70403,675,378909588,336607152,121007256,42302436,42302436,546608605,374422834,1720,19.75280818313759,19.634427090237907,17.560355254650126,17.560355254650126,20.119243575937297,7.450660796211539,262842.9568661048,174242.4,540000,45233.883030014564,37000,45233.883030014564,37000,313196.2797289818,175000,1.4992556286095977,1,0.2318901640692912,0.26666666666666666,0.3193565426483745,0.11164255891038577,317795.70058139536,0.9674074074074074,0.9703703703703703
70404,420,270835152,207993288,70235472,62841864,62841864,466228181,318127163,1103,19.417020902246716,19.153016372722007,17.956132049459992,17.956132049459992,19.960185733189327,7.00669522683704,272728.0836743569,150000,600000,45618.65540656148,24000,45618.65540656148,24000,415288.33892337244,200000,1.402414645299691,0.72,0.2948188928039975,0.24,0.2593292321227194,0.23202993974726,422691.0072529465,0.9738095238095238,0.9738095238095238
70405,887,1065227232,795791688,305003640,269435544,269435544,1822293698,1162584391,2521,20.78645397766812,20.49484801232378,19.411839754588193,19.411839754588193,21.32336181873204,7.8328075165248645,451981.8162030438,195000,890674.2000000032,146554.04928925575,36000,146554.04928925575,36000,697735.4921030944,200000,20.66403324462968,1,0.1580045284117233,0.19435429154762127,0.2863273026050464,0.2529371536006695,722845.5763585878,0.939120631341601,0.9334836527621195
70406,225,145391652,121507956,80467236,23883696,23883696,733177829,495344309,650,18.794941714263157,18.615490308312452,16.98870665025135,16.98870665025135,20.412898836156792,6.478509642208569,261423.8601294575,180000,540000,86830.77974559687,42000,86830.77974559687,42000,624946.977860396,360000,0.9296716324502111,0.41191153846153844,0.4740671862505654,0.4666666666666667,0.553451555801842,0.16427143973850714,1127965.8907692307,0.9733333333333334,0.9733333333333334
70407,153,107987496,94817004,49506720,13170492,13170492,285324221,252444557,455,18.497526009868285,18.367459328776135,16.393489506579968,16.393489506579968,19.46913671268507,6.1224928095143865,272581.7744957503,180000,565032.0000000007,46939.368767697626,24000,46939.368767697626,24000,761848.1668847931,375000,0.8968938843527731,0.459396,0.2868709518415332,0.1821060738424755,0.4584486337195929,0.12196312061907612,627086.2,0.9738562091503268,0.9738562091503268
70408,353,297333504,224058180,82759584,73275324,73275324,988242557,641681945,1039,19.510364979230268,19.227416312700743,18.109734479897693,18.109734479897693,20.71143872962954,6.946975992135418,326780.2057296954,180000,720000,101315.2060556257,60000,101315.2060556257,60000,1112907.2994004718,286970.6666666667,624.5721974139562,0.6,0.38172860946693776,0.3333333333333333,0.27833924830751666,0.24644153119051124,951147.7930702599,0.9575070821529745,0.943342776203966
70409,738,469136532,383222640,130566012,85913892,85913892,1292962297,687304448,1843,19.966404399183357,19.764126686344813,18.268856108451946,18.268856108451946,20.980201777764997,7.519692404116539,365256.11517957837,168000,603000,92645.5691011378,18000,92645.5691011378,18000,781054.3614749344,312562.5,1.486138512676634,0.5,0.18935892230200202,0.15,0.2783113296322871,0.1831319586938499,701553.0640260444,0.9498644986449865,0.9498644986449865
70410,227,128182908,111566964,77852592,16615944,16615944,475642566,285398166,706,18.668968778430987,18.53013555154632,16.62587333447002,16.62587333447002,19.98017722045795,6.561030665896573,165074.08625584943,129157.8947368421,300000,25545.22610196821,24000,25545.22610196821,24000,799244.0595441109,500000,0.4797696708210735,0.3,0.17575393135574302,0.25,0.6073554829946595,0.12962682981103846,673714.6827195467,0.9691629955947136,0.9691629955947136
