lgcode,n_firms,emp_total,log_n_firms,log_emp_total,mean_emp_per_firm,median_emp_per_firm,p90_emp_per_firm,share_registered,share_tax_registered,share_keeps_accounts,share_operates_year_round,share_borrowed,share_uses_formal_credit,share_female_led,share_has_foreign_capital,formality_index,n_firms_size_1_worker,n_firms_size_2_9_workers,n_firms_size_10_50_workers,n_firms_size_51plus_workers,share_size_1_worker,share_size_2_9_workers,share_size_10_50_workers,share_size_51plus_workers
20509,348,666,5.855071922202427,6.502790045915623,1.9137931034482758,1,3,0.1752873563218391,0.4262295081967213,0.3255131964809384,1,0.08504398826979472,0.06158357771260997,0.02064896755162242,0.002932551319648094,0.4817575152498747,256,81,11,0,0.735632183908046,0.23275862068965517,0.031609195402298854,0
20510,460,947,6.133398042996649,6.854354502255021,2.0586956521739133,1,4,0.3173913043478261,0.6438356164383562,0.11328976034858387,0.9956521739130435,0.6274509803921569,0.39869281045751637,0.07727272727272727,0.002178649237472767,0.5175422137619524,294,158,7,1,0.6391304347826087,0.34347826086956523,0.015217391304347827,0.002173913043478261
20511,528,1288,6.270988431858299,7.161622002939187,2.4393939393939394,1,3,0.2314990512333966,0.8360655737704918,0.13193116634799235,1,0.3244274809160305,0.24045801526717558,0.08123791102514506,0,0.5498739478379702,356,155,14,3,0.6742424242424242,0.2935606060606061,0.026515151515151516,0.005681818181818182
20512,408,904,6.013715156042802,6.807934943699926,2.215686274509804,1,3,0.14460784313725492,0.6101694915254238,0.47665847665847666,0.9975490196078431,0.09090909090909091,0.07616707616707617,0.041343669250646,0,0.5572462077322496,254,148,5,1,0.6225490196078431,0.3627450980392157,0.012254901960784314,0.0024509803921568627
20513,325,639,5.786897381366708,6.461468176353717,1.9661538461538461,1,4.600000000000023,0.18575851393188855,0.5166666666666667,0.7384615384615385,1,0.15076923076923077,0.07692307692307693,0.07717041800643087,0,0.6102216797650234,244,73,8,0,0.7507692307692307,0.2246153846153846,0.024615384615384615,0
20514,282,528,5.645446897643238,6.270988431858299,1.872340425531915,1,3,0.14184397163120568,0.575,0.6370106761565836,0.9858156028368794,0.29537366548042704,0.17437722419928825,0.12686567164179105,0,0.5849175626561671,175,102,5,0,0.6205673758865248,0.3617021276595745,0.01773049645390071,0
20515,290,941,5.673323267171493,6.848005274576363,3.2448275862068967,1,3,0.2655172413793103,0.5454545454545454,0.3541666666666667,0.993103448275862,0.2569444444444444,0.1875,0.027874564459930314,0,0.5395604754440961,158,128,3,1,0.5448275862068965,0.4413793103448276,0.010344827586206896,0.0034482758620689655
20516,621,1291,6.432940092739179,7.163946684342547,2.07890499194847,1,3,0.2995169082125604,0.5,0.2768729641693811,0.964573268921095,0.10749185667752444,0.019543973941368076,0.05490848585690516,0,0.5102407853257591,400,209,10,2,0.644122383252818,0.3365539452495974,0.01610305958132045,0.00322061191626409
20517,1016,1756,6.92461239604856,7.471363088187097,1.7283464566929134,1,2,0.17224409448818898,0.6914285714285714,0.3784860557768924,0.9911417322834646,0.19940179461615154,0.10767696909272183,0.1286008230452675,0.00298804780876494,0.5583251134942794,740,262,13,1,0.7283464566929134,0.2578740157480315,0.012795275590551181,9.84251968503937e-4
20518,341,518,5.834810737062605,6.251903883165888,1.5190615835777126,1,2,0.12609970674486803,0.6976744186046512,0.9441176470588235,1,0.10588235294117647,0.09411764705882353,0.06382978723404255,0,0.6919729431020857,277,61,3,0,0.8123167155425219,0.17888563049853373,0.008797653958944282,0
20519,200,338,5.303304908059076,5.82600010738045,1.69,1,2,0.175,0.8,0.45,1,0.045,0.045,0.07216494845360824,0,0.60625,141,55,4,0,0.705,0.275,0.02,0
20520,1466,2845,7.2909747781429814,7.953669778649798,1.9406548431105048,1,3,0.27967257844474763,0.926829268292683,0.6817248459958932,0.9993178717598908,0.08008213552361396,0.07186858316221766,0.0798056904927134,0.0013689253935660506,0.7218861411233036,915,532,16,3,0.6241473396998636,0.36289222373806274,0.010914051841746248,0.0020463847203274215
20601,2865,9285,7.960672608388117,9.136263168579868,3.2408376963350785,2,5,0.42493016759776536,0.8800328677074774,0.384257602862254,0.9923211169284468,0.5227191413237925,0.46153846153846156,0.25585651537335286,0,0.6703854387739859,1001,1764,93,7,0.3493891797556719,0.6157068062827226,0.032460732984293195,0.002443280977312391
20602,709,3799,6.565264970035361,8.242756345714477,5.3582510578279265,2,4,0.24118476727785615,0.8304093567251462,0.5790960451977402,0.9788434414668548,0.3686440677966102,0.3573446327683616,0.15453194650817237,0,0.6573834026668993,278,402,20,9,0.3921015514809591,0.5669957686882934,0.028208744710860368,0.012693935119887164
20603,603,1603,6.403574197934815,7.38025578842646,2.658374792703151,2,4,0.20563847429519072,0.7804878048780488,0.38731218697829717,1,0.4,0.3,0.1206581352833638,0,0.5933596165378842,262,315,26,0,0.43449419568822556,0.5223880597014925,0.04311774461028192,0
20604,711,3001,6.568077911411976,8.007034012193408,4.220815752461322,2,5,0.4810126582278481,0.8709677419354839,0.15014577259475217,0.9873239436619718,0.5240174672489083,0.3682678311499272,0.04661654135338346,0,0.622362529105014,166,518,19,8,0.23347398030942335,0.7285513361462729,0.026722925457102673,0.011251758087201125
20605,552,2947,6.315358001522335,7.988882253309227,5.338768115942029,2,5,0.27898550724637683,0.8421052631578947,0.5915750915750916,1,0.4124087591240876,0.3175182481751825,0.20488721804511278,0.0018248175182481751,0.6781664654948407,137,391,15,9,0.24818840579710144,0.7083333333333334,0.02717391304347826,0.016304347826086956
20606,433,1227,6.073044534100405,7.113142108707088,2.8337182448036953,2,4,0.25635103926096997,0.7387387387387387,0.07529411764705882,1,0.2,0.15529411764705883,0.0364963503649635,0,0.5175959739116919,110,314,8,1,0.2540415704387991,0.7251732101616628,0.018475750577367205,0.0023094688221709007
20607,478,1878,6.171700597410915,7.538494999413465,3.928870292887029,1,4,0.2907949790794979,0.60431654676259,0.13304721030042918,0.99581589958159,0.060085836909871244,0.05150214592274678,0.07657657657657657,0,0.5059936589310268,268,193,7,10,0.5606694560669456,0.40376569037656906,0.014644351464435146,0.02092050209205021
20608,1489,5377,7.306531398939505,8.59007183682881,3.61114842175957,2,5,0.45936870382807254,0.933920704845815,0.40575736806031526,0.989926124916051,0.43296853625171,0.33652530779753764,0.10744985673352435,0.002050580997949419,0.6972432254125634,473,968,39,9,0.3176628609805238,0.6501007387508395,0.026192075218267292,0.006044325050369375
20609,271,559,5.605802066295998,6.327936783729195,2.062730627306273,1,4,0.16236162361623616,0.6136363636363636,0.3888888888888889,0.974169741697417,0.32592592592592595,0.24074074074074073,0.1450980392156863,0,0.5347641544597265,144,123,4,0,0.5313653136531366,0.45387453874538747,0.014760147601476014,0
20610,360,783,5.8888779583328805,6.664409020350408,2.175,2,4,0.2638888888888889,0.8105263157894737,0.17270194986072424,1,0.6406685236768802,0.5097493036211699,0.1278409090909091,0,0.5617792886347717,149,206,5,0,0.41388888888888886,0.5722222222222222,0.013888888888888888,0
20611,586,1455,6.375024819828097,7.283448228756631,2.4829351535836177,1,4,0.3174061433447099,0.772972972972973,0.10207612456747404,0.9914675767918089,0.458477508650519,0.39792387543252594,0.044036697247706424,0,0.5459807044192414,325,245,14,2,0.5546075085324232,0.4180887372013652,0.023890784982935155,0.0034129692832764505
20612,470,801,6.154858094016418,6.687108607866515,1.7042553191489362,1,3,0.22127659574468084,0.8461538461538461,0.5739130434782609,0.9957446808510638,0.24295010845986983,0.15184381778741865,0.05442176870748299,0,0.659272041556963,333,129,8,0,0.7085106382978723,0.274468085106383,0.01702127659574468,0
20613,550,1386,6.311734809152915,7.234898420314831,2.52,2,4,0.14,0.7012987012987013,0.5218978102189781,0.990909090909091,0.38503649635036497,0.15145985401459855,0.08620689655172414,0,0.5885264006066926,181,350,19,0,0.3290909090909091,0.6363636363636364,0.034545454545454546,0
20614,366,638,5.905361848054571,6.459904454377535,1.7431693989071038,1,2,0.25956284153005466,0.9157894736842105,0.68044077134986225,0.9972677595628415,0.4136986301369863,0.32602739726027397,0.04189944134078212,0,0.7132652115317423,218,144,4,0,0.5956284153005464,0.39344262295081966,0.01092896174863388,0
20615,335,736,5.817111159963204,6.602587892189336,2.1970149253731344,1,4,0.31044776119402984,0.8269230769230769,0.13069908814589665,1,0.2857142857142857,0.21580547112462006,0.06962025316455696,0.02735562310030395,0.5670174815657508,177,150,8,0,0.5283582089552239,0.44776119402985076,0.023880597014925373,0
20616,307,703,5.730099782973574,6.556778356158042,2.2899022801302933,2,3.400000000000034,0.254071661237785,0.5769230769230769,0.16887417218543047,0.9674267100977199,0.10927152317880795,0.076158940397351,0.06405693950177936,0,0.49182390511100305,136,164,7,0,0.44299674267100975,0.5342019543973942,0.02280130293159609,0
