lgcode,new_firms_total,log_new_firms_total,first_founded_year_observed,last_founded_year_observed,n_entry_years_observed,new_firms_1980,new_firms_1983,new_firms_1984,new_firms_1986,new_firms_1987,new_firms_1988,new_firms_1989,new_firms_1990,new_firms_1991,new_firms_1992,new_firms_1993,new_firms_1994,new_firms_1995,new_firms_1996,new_firms_1997,new_firms_1998,new_firms_1999,new_firms_2000,new_firms_2001,new_firms_2002,new_firms_2003,new_firms_2004,new_firms_2005,new_firms_2006,new_firms_2007,new_firms_2008,new_firms_2009,new_firms_2010,new_firms_2011,new_firms_2012,new_firms_2013,new_firms_2014,new_firms_2015,new_firms_2016,new_firms_2017,new_firms_2018,new_firms_1981,new_firms_1982,new_firms_1985,new_firms_1990_1999,new_firms_2000_2009,new_firms_2010_2014,new_firms_2015_2018,new_firms_pre_1990,share_new_1990_1999,share_new_2000_2009,share_new_2010_2014,share_new_2015_2018,share_new_pre_1990,new_agriculture,new_manufacturing,new_construction,new_trade_retail,new_transport,new_hospitality,new_finance_prof_info,new_social_services,new_other_services,new_utilities_mining,share_new_agriculture,share_new_manufacturing,share_new_construction,share_new_trade_retail,share_new_transport,share_new_hospitality,share_new_finance_prof_info,share_new_social_services,share_new_other_services,share_new_utilities_mining
51010,315,5.755742213586912,1982,2018,31,0,1,0,0,1,3,2,2,3,2,3,0,2,0,0,5,4,5,2,6,3,2,2,4,6,14,6,8,11,10,20,19,39,42,83,4,0,1,0,21,50,68,168,8,0.06666666666666667,0.15873015873015872,0.21587301587301588,0.5333333333333333,0.025396825396825397,18,36,0,180,0,21,4,43,11,2,0.05714285714285714,0.11428571428571428,0,0.5714285714285714,0,0.06666666666666667,0.012698412698412698,0.1365079365079365,0.03492063492063492,0.006349206349206349
51101,1303,7.1731917424865985,1982,2018,37,0,3,5,1,4,8,1,1,3,1,9,11,9,8,2,13,11,14,5,8,19,9,22,21,29,43,38,26,71,69,93,91,149,174,310,18,0,1,3,68,208,350,651,26,0.052187260168841135,0.15963161933998465,0.2686108979278588,0.49961627014581733,0.019953952417498082,45,119,0,792,2,145,23,93,83,1,0.03453568687643899,0.09132770529547199,0,0.6078280890253261,0.0015349194167306216,0.11128165771297006,0.017651573292402148,0.0713737528779739,0.0636991557943208,7.674597083653108e-4
51102,4597,8.433376705323127,1980,2018,38,1,5,3,2,1,5,4,3,2,8,15,8,17,11,16,39,19,13,44,33,81,48,49,57,96,179,76,102,225,178,325,366,461,570,1340,192,1,0,2,138,676,1196,2563,24,0.03001957798564281,0.14705242549488798,0.26016967587557105,0.5575375244724821,0.005220796171416141,63,419,4,2788,8,734,89,183,303,6,0.01370458994996737,0.09114639982597346,8.701326952360235e-4,0.6064824885795084,0.001740265390472047,0.1596693495758103,0.019360452469001522,0.039808570807048076,0.06591255166412878,0.0013051990428540352
51103,1465,7.290292882446597,1981,2018,35,0,4,2,0,0,7,2,3,3,2,10,1,5,10,4,12,13,3,16,11,32,8,30,23,24,56,32,61,73,94,120,134,179,144,303,38,2,0,4,63,235,482,664,21,0.043003412969283276,0.16040955631399317,0.3290102389078498,0.45324232081911264,0.014334470989761093,15,130,0,975,2,155,19,78,91,0,0.010238907849829351,0.08873720136518772,0,0.6655290102389079,0.0013651877133105802,0.10580204778156997,0.012969283276450512,0.05324232081911263,0.0621160409556314,0
51104,1615,7.38770923908104,1980,2018,37,3,5,3,1,2,3,1,2,2,2,11,7,5,6,6,16,5,6,7,9,36,8,16,29,23,89,24,38,65,62,176,124,205,203,374,38,0,3,0,62,247,465,820,21,0.038390092879256967,0.15294117647058825,0.28792569659442724,0.5077399380804953,0.013003095975232198,21,185,1,992,3,174,32,85,121,1,0.013003095975232198,0.11455108359133127,6.191950464396285e-4,0.6142414860681115,0.0018575851393188853,0.10773993808049535,0.019814241486068113,0.05263157894736842,0.07492260061919505,6.191950464396285e-4
51105,889,6.7912214627261855,1980,2018,34,2,3,2,2,0,5,0,2,1,0,16,3,1,1,4,17,3,8,3,0,29,5,10,15,17,32,17,38,27,44,69,54,95,128,223,10,0,1,2,48,136,232,456,17,0.05399325084364454,0.1529808773903262,0.2609673790776153,0.5129358830146231,0.019122609673790775,7,141,0,537,4,80,4,53,63,0,0.007874015748031496,0.15860517435320584,0,0.6040494938132733,0.0044994375703037125,0.08998875140607424,0.0044994375703037125,0.05961754780652419,0.07086614173228346,0
51106,6908,8.840580188488795,1980,2018,39,6,27,4,2,3,32,9,9,13,11,84,16,25,18,25,110,33,31,94,42,254,55,89,121,123,386,141,230,315,322,627,434,728,851,1461,157,6,5,9,344,1336,1928,3197,103,0.049797336421540245,0.1933989577301679,0.27909669947886506,0.4627967573827446,0.014910248986682108,18,860,5,3958,29,994,218,288,527,11,0.0026056745801968733,0.12449334105385061,7.237984944991314e-4,0.5729588882455124,0.0041980312680949625,0.14389114070642733,0.031557614360162134,0.04169079328314997,0.07628836132020846,0.0015923566878980893
51107,846,6.741700694652055,1980,2018,36,1,4,0,0,1,4,1,0,3,2,6,2,6,4,4,12,2,5,8,6,35,5,16,17,25,59,23,21,29,23,73,44,74,96,212,19,1,2,1,41,199,190,401,15,0.04846335697399527,0.23522458628841608,0.22458628841607564,0.4739952718676123,0.01773049645390071,20,70,0,545,2,34,4,100,71,0,0.02364066193853428,0.08274231678486997,0,0.6442080378250591,0.002364066193853428,0.04018912529550828,0.004728132387706856,0.1182033096926714,0.08392434988179669,0
51108,619,6.429719478039138,1982,2018,31,0,2,2,1,2,6,2,0,0,0,4,0,4,0,4,2,4,0,2,3,15,1,9,9,16,10,14,14,27,31,61,67,73,108,114,8,0,1,3,18,79,200,303,19,0.029079159935379646,0.12762520193861066,0.32310177705977383,0.4894991922455573,0.030694668820678513,14,63,0,423,6,23,2,54,34,0,0.022617124394184167,0.10177705977382875,0,0.6833602584814217,0.009693053311793215,0.03715670436187399,0.0032310177705977385,0.08723747980613894,0.05492730210016155,0
51201,1870,7.534228326274089,1980,2018,37,2,0,0,1,2,13,2,2,1,2,7,6,15,5,11,30,18,18,22,15,33,19,34,28,51,79,47,53,70,101,146,173,193,215,408,39,1,4,4,97,346,543,855,29,0.051871657754010696,0.18502673796791444,0.2903743315508021,0.4572192513368984,0.015508021390374332,104,179,0,1099,1,189,43,107,143,5,0.05561497326203209,0.09572192513368984,0,0.5877005347593582,5.347593582887701e-4,0.10106951871657754,0.022994652406417113,0.0572192513368984,0.07647058823529412,0.00267379679144385
