hhid,year,any_shock,n_shocks,total_loss_rs,cope_private_transfer,cope_sell_assets,cope_savings,cope_borrow,cope_gov_transfer,cope_remittance,cope_other_mech,primary_savings,primary_borrow,primary_sell_assets,primary_gov_transfer,primary_private_transfer,primary_remittance,primary_none,shock_type_economic_price,shock_type_natural_disaster,shock_type_other_shock,shock_type_agricultural,shock_type_illness,shock_type_death,shock_type_economic_job
70,2018,1,1,65000,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
72,2016,1,3,830000,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0
73,2016,1,2,5000,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
74,2017,1,1,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
75,2016,1,1,8000,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
75,2017,1,1,12850,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
76,2016,1,3,28000,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0
77,2016,1,1,300000,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
77,2017,1,1,2500,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
77,2018,1,1,150000,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
78,2016,1,1,60000,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
79,2016,1,1,400000,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
79,2017,1,2,23050,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
79,2018,1,1,8000,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
80,2016,1,2,8000,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
80,2017,1,1,6640,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
81,2016,1,4,217000,0,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0
81,2017,1,1,7000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
