hhid,year,wt_hh,psu,vdc,vmun_code,lgname,district77,district_name,s00q03a,s00q03b,s00q03c,hh_any_worker,hh_n_workers,hh_n_working_age,hh_lfp_rate,hh_female_lfp_rate,hh_child_workers,n_jobs_total,n_jobs_wage_agri,n_jobs_wage_nonagri,n_jobs_self_agri,n_jobs_self_nonagri,hh_has_wage_nonagri,hh_total_days_worked_12m,hh_total_hours_12m,hh_work_intensity_per_worker,hh_has_wage_job,wage_daily_income_12m_rs,wage_longterm_income_12m_rs,wage_contract_income_12m_rs,wage_total_income_12m_rs,wage_sector_agri,wage_sector_fish_mine,wage_sector_manufacturing,wage_sector_utilities,wage_sector_construction,wage_sector_trade,wage_sector_hotels,wage_sector_transport,wage_sector_finance,wage_sector_public,wage_sector_community,wage_sector_primary_any,wage_sector_secondary_any,wage_sector_tertiary_any,wage_sector_tradable_any,wage_sector_nontradable_any,hh_foreign_worker_any,hh_returned_foreign_any
17,2017,487.4611206054687,8,Kharelthok,30906,Panchkhal Municipality,Kabhrepalanchok,Kabhrepalanchok,Municipality,Pachkhal,11,1,2,2,1,1,0,3,0,1,2,0,1,307,2456,153.5,1,85500,0,0,85500,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
17,2018,487.4611206054687,8,Kharelthok,30906,Panchkhal Municipality,Kabhrepalanchok,Kabhrepalanchok,Municipality,Pachkhal,11,1,2,2,1,1,0,2,0,0,2,0,0,435,2776,217.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2016,487.4611206054687,5,Faparbari,31210,Bagmati Gaunpalika,Makwanpur,Makwanpur,Rural municipality,Bagmati,7,1,2,2,1,1,0,3,1,0,2,0,0,118,708,59,1,1000,0,0,1000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,
18,2017,487.4611206054687,5,Faparbari,31210,Bagmati Gaunpalika,Makwanpur,Makwanpur,Rural municipality,Bagmati,7,1,1,2,0.5,0.5,0,1,0,0,1,0,0,84,672,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2018,487.4611206054687,5,Faparbari,31210,Bagmati Gaunpalika,Makwanpur,Makwanpur,Rural municipality,Bagmati,7,1,1,3,0.3333333333333333,0.5,0,1,0,0,1,0,0,360,2880,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2016,990.53192138671875,2,Hathiyon,20516,Balara Municipality,Sarlahi,Sarlahi,Municipality,Balra,1,1,2,3,0.6666666666666666,0,0,2,0,0,1,1,0,371,2808,185.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
19,2017,990.53192138671875,2,Hathiyon,20516,Balara Municipality,Sarlahi,Sarlahi,Municipality,Balra,1,1,1,3,0.3333333333333333,0,0,2,0,1,1,0,1,215,1038,215,1,75600,0,0,75600,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
19,2018,990.53192138671875,2,Hathiyon,20516,Balara Municipality,Sarlahi,Sarlahi,Municipality,Balra,1,1,3,3,1,1,0,3,0,0,3,0,0,385,2201,128.33333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2016,544.4632568359375,7,Ketuke,10408,Manebhanjyang Gaunpalika,Okhaldhunga,Okhaldhunga,Rural municipality,Manabhangyang,4,1,3,3,1,1,0,3,0,0,3,0,0,356,2492,118.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
20,2017,544.4632568359375,7,Ketuke,10408,Manebhanjyang Gaunpalika,Okhaldhunga,Okhaldhunga,Rural municipality,Manabhangyang,4,1,2,2,1,1,0,2,0,0,2,0,0,179,716,89.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2018,544.4632568359375,7,Ketuke,10408,Manebhanjyang Gaunpalika,Okhaldhunga,Okhaldhunga,Rural municipality,Manabhangyang,4,1,3,2,1.5,1,0,3,0,0,3,0,0,273,1911,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2016,487.4611206054687,4,Ganeshthan,30503,Suryagadhi Gaunpalika,Nuwakot,Nuwakot,Rural municipality,Surya Gadi,5,1,2,2,1,1,0,2,0,0,1,1,0,244,1570,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
21,2017,487.4611206054687,4,Ganeshthan,30503,Suryagadhi Gaunpalika,Nuwakot,Nuwakot,Rural municipality,Surya Gadi,5,1,2,2,1,1,0,2,0,1,1,0,1,446,3122,223,1,0,84000,0,84000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
21,2018,487.4611206054687,4,Ganeshthan,30503,Suryagadhi Gaunpalika,Nuwakot,Nuwakot,Rural municipality,Surya Gadi,5,1,2,2,1,1,0,2,0,1,1,0,1,664,5006,332,1,0,84000,0,84000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
22,2016,898.64581298828125,5,Chhinnamasta,20118,Chhinnamasta Gaunpalika,Saptari,Saptari,Rural municipality,chinamasta,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
22,2017,898.64581298828125,5,Chhinnamasta,20118,Chhinnamasta Gaunpalika,Saptari,Saptari,Rural municipality,chinamasta,3,1,2,2,1,1,0,2,1,1,0,0,1,356,2464,178,1,120400,0,0,120400,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0
22,2018,898.64581298828125,5,Chhinnamasta,20118,Chhinnamasta Gaunpalika,Saptari,Saptari,Rural municipality,chinamasta,3,1,2,2,1,1,0,4,1,1,2,0,1,643,3850,321.5,1,99800,0,0,99800,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0
23,2016,634.085205078125,6,Narayanpur,70810,Tikapur Municipality,Kailali,Kailali,Municipality,Tikapur,7,1,3,4,0.75,0.5,0,3,0,1,2,0,1,555,4575,185,1,0,96000,0,96000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,,
23,2017,634.085205078125,6,Narayanpur,70810,Tikapur Municipality,Kailali,Kailali,Municipality,Tikapur,7,1,6,6,1,1,0,6,0,2,4,0,1,1195,7664,199.16666666666666,1,0,402000,0,402000,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0
23,2018,634.085205078125,6,Narayanpur,70810,Tikapur Municipality,Kailali,Kailali,Municipality,Tikapur,7,1,6,6,1,1,0,6,0,1,5,0,1,1700,11336,283.3333333333333,1,0,168392,0,168392,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
24,2016,547.52593994140625,5,Jalapadevi,70704,Sanphebagar Municipality,Achham,Achham,Municipality,SanfeBagar,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
24,2017,547.52593994140625,5,Jalapadevi,70704,Sanphebagar Municipality,Achham,Achham,Municipality,SanfeBagar,2,1,1,2,0.5,1,0,1,1,0,0,0,0,2176,17408,2176,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
24,2018,547.52593994140625,5,Jalapadevi,70704,Sanphebagar Municipality,Achham,Achham,Municipality,SanfeBagar,2,1,1,2,0.5,1,0,2,0,1,1,0,1,434,1480,434,1,30600,0,0,30600,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
