dname,year,native_pop,inmig_count,outmig_count,net_internal_mig_count,mig_in_internal_share,mig_out_internal_share,net_internal_mig_share,mig_out_economic_share,mig_out_noneconomic_share,mig_in_economic_share,mig_in_noneconomic_share,mig_in_temp_share,mig_out_temp_share,net_temp_mig_share,mig_out_temp_economic_share,mig_out_temp_noneconomic_share,mig_in_temp_economic_share,mig_in_temp_noneconomic_share
Myagdi,2011,13413,677,4924,-4247,0.050473421307686575,0.3671065384328636,-0.31663311712517705,NA,NA,NA,NA,0.020533583978020388,0.1054153712674427,-0.0848817872894223,0.017786132600679634,0.07396428313209458,0.006579423035210759,0.011712819029715856
Myagdi,2021,10668.628614723682,1103.821056842804,4575.6584513783455,-3471.8373945355415,0.10346419363773053,0.42888909311769635,-0.32542489947996583,0.11175586985989355,0.26283501640900164,0.04503805683628753,0.05436063450718148,0.11988437310313654,0.44078935365186256,-0.320904980548726,0.11568882283207713,0.2736251441769837,0.05123915057856901,0.06444402578707921
Nawalparasi,2011,84372,17490,4821,12669,0.20729625942255725,0.057139809415445886,0.15015645000711136,NA,NA,NA,NA,0.04000570491335663,0.02223897474557105,0.017766730167785575,0.0050121738776092335,0.014578091095241491,0.010666150507839162,0.025824920284023188
Nawalparasi,2021,58441.811149299145,20429.904176831245,6487.1270616054535,13942.777115225792,0.34957684875028466,0.11100147196042622,0.2385753767898584,0.029267923246934693,0.07475800752779364,0.09083475357052574,0.21217283911384682,0.3528013870281155,0.12712447081179018,0.2256769162163253,0.036497938882475885,0.08305717530187268,0.0922627106663861,0.2157870741207232
Nuwakot,2011,54991,2748,11346,-8598,0.04997181356949319,0.20632467130985072,-0.1563528577403575,NA,NA,NA,NA,0.01866290351031928,0.052496031046039865,-0.033833127535720584,0.013370964896807197,0.033833127535720584,0.005662374316457929,0.009313811959781267
Nuwakot,2021,26455.590978324413,2092.1664460897446,11947.119765758514,-9854.95331966877,0.07908220412856767,0.4515914906435855,-0.37250928651501786,0.14181775857729584,0.2715130874746342,0.015046104559102672,0.0612118989095088,0.09534246959703388,0.43273794687657036,-0.33739547727953645,0.13511209830579607,0.2694002084352338,0.01776893037043334,0.07418544502956106
Okhaldhunga,2011,17616,542,8704,-8162,0.030767484105358765,0.4940962761126249,-0.4633287920072661,NA,NA,NA,NA,0.00982732774415635,0.0962744989173283,-0.08644717117317195,0.026095164066403866,0.062017655876964076,0.0022208650269279883,0.005274554438953973
Okhaldhunga,2021,14497.506854653358,679.4940426945686,9915.939322829247,-9236.445280134678,0.04686971694560483,0.6839754878023364,-0.6371057708567316,0.24018384366380657,0.3770043142552328,0.006037806702515953,0.03950530794785781,0.05102487583538663,0.5823252076885143,-0.5313003318531276,0.19166513823705192,0.3431009765823599,0.006756624470746965,0.042941028431614785
Palpa,2011,49172,6921,10951,-4030,0.14075083380785813,0.2227080452289921,-0.08195721142113398,NA,NA,NA,NA,0.04915551901950527,0.05124803826320903,-0.002092519243703759,0.011247290934907705,0.03518047978476945,0.010182348105522756,0.03215380016441222
Palpa,2021,23310.203345239162,2927.1010585427284,13375.926834315062,-10448.825775772333,0.12557166555737295,0.5738228292653199,-0.448251163707947,0.16716489610002283,0.3442208036701485,0.023692294095195937,0.09251027883552974,0.14957408400812786,0.5926577550001392,-0.4430836709920113,0.16857446509746296,0.3664473637634138,0.028319332400181703,0.10983380228034263
