"dname","year","fxshock_2009","fxshock_2010","fxshock_2011","fxshock_dofe"
"Mustang",2013,0.773561455507518,0.780447225144887,0.762545011244551,0.778699772795459
"Mustang",2014,0.756962041701957,0.755317103201688,0.743864866378287,0.75676085515897
"Mustang",2015,0.817603821636881,0.772894074949473,0.765369093309975,0.790462507114406
"Mustang",2016,0.814024576392592,0.756248848921332,0.735509625008053,0.778722995601424
"Mustang",2017,0.858423242446442,0.789412808025021,0.768707042950913,0.816153923088772
"Mustang",2018,0.786064028352018,0.736724520242035,0.719199754490038,0.756033604696145
"Mustang",2019,0.775698143755862,0.720813098445526,0.701273879680689,0.74215616492862
"Mustang",2020,0.745602883671122,0.690395379406537,0.669322325544965,0.711850724886498
"Mustang",2021,0.825442560674046,0.687041447592754,0.668977307585357,0.735697338215469
"Mustang",2022,0.817638587862696,0.665932371078794,0.661030830811618,0.719457243690194
"Mustang",2023,0.731208910005219,0.609638226349763,0.640831264168816,0.653974540354563
"Myagdi",2000,1.09662910800348,1.07428983091779,1.07634786404245,1.07079016871625
"Myagdi",2001,1.04166741109616,1.02094404820433,1.02321034019589,1.01749663669795
"Myagdi",2002,1.0124620381009,0.992795031319637,0.984410271042723,0.989265752354629
"Myagdi",2003,1.03574549271794,1.01473643074173,1.00378027098615,1.01132651531813
"Myagdi",2004,1.07055463955673,1.04810649031656,1.03529954214304,1.04474768525469
"Myagdi",2005,1.10425387052675,1.08028729649152,1.067171124019,1.07699356372684
"Myagdi",2006,1.07522621463982,1.04738671559751,1.04157493897655,1.04507936761894
"Myagdi",2007,1.15982998439201,1.11943444756857,1.12838346606181,1.11904459414923
"Myagdi",2008,1.09601993371049,1.05170077398437,1.06484602425512,1.05262299083396
"Myagdi",2009,0.998422712933754,0.966691467625507,0.969695692602983,0.965751316545447
"Myagdi",2010,1.03708646593609,0.9921040408732,1.01261659945769,0.993541442411195
"Myagdi",2011,1.01489995547783,0.963427085011534,0.991983967935872,0.96636300057675
"Myagdi",2012,0.88370607943241,0.840412552166062,0.863758213103296,0.842645302182269
"Myagdi",2013,0.812558281766833,0.775381130887711,0.794695959568793,0.776887608298967
"Myagdi",2014,0.78146741406239,0.749641246767008,0.762814376063509,0.750295123228835
"Myagdi",2015,0.776209051190234,0.764142242944804,0.750245889179579,0.760821075619682
"Myagdi",2016,0.751409257049006,0.74584078902354,0.722090655871927,0.741404931630231
"Myagdi",2017,0.77924161436194,0.777520586023089,0.746952677546027,0.772106103222694
"Myagdi",2018,0.735381190973768,0.727154819639673,0.708827386198481,0.723370021228768
"Myagdi",2019,0.716390855519737,0.711132637947134,0.688985914339604,0.706887424217585
"Myagdi",2020,0.684136583892605,0.680763609205889,0.657505534474718,0.676373390741636
"Myagdi",2021,0.713791255172344,0.709966705300731,0.656408404065275,0.705190355736841
"Myagdi",2022,0.686445786139934,0.689257114893095,0.628186959973733,0.683324039815016
"Myagdi",2023,0.652727817191957,0.661109346111379,0.599791422839353,0.654277870137557
"Nawalparasi",2000,1.11526214477853,1.13410644955045,1.13548868808525,1.12542470559559
"Nawalparasi",2001,1.05909158451132,1.07607464816268,1.07808771083181,1.06802162496277
"Nawalparasi",2002,1.02706396769132,1.03762003453788,1.03734176309895,1.03104228831852
"Nawalparasi",2003,1.05049846278536,1.06092584607261,1.0591487087694,1.05427865763274
"Nawalparasi",2004,1.08569374479683,1.09625314937732,1.09343126422156,1.08943069938145
"Nawalparasi",2005,1.11907947816239,1.12911956325199,1.12657183006267,1.12225627258193
"Nawalparasi",2006,1.08335268566192,1.08616732233895,1.09101223524291,1.08089131835815
"Nawalparasi",2007,1.15533017784862,1.14395086370282,1.16423246816514,1.14117226198475
"Nawalparasi",2008,1.08602712321535,1.06876331058865,1.09211190928066,1.06746743482972
"Nawalparasi",2009,0.999121651295564,0.994227365657102,1.00652751979372,0.990845219557569
"Nawalparasi",2010,1.02164249429989,0.998745137407454,1.02977582807692,0.998828811243412
"Nawalparasi",2011,0.991127438042358,0.959295294777437,0.998231561427234,0.961286341731754
"Nawalparasi",2012,0.864320897936467,0.837941529124051,0.870719200029959,0.839403762695516
"Nawalparasi",2013,0.797408784927022,0.776120448340044,0.804072135230159,0.776863401252601
"Nawalparasi",2014,0.771862956790773,0.756893935018779,0.778337398416977,0.756496151748455
"Nawalparasi",2015,0.790980308663359,0.802657262061755,0.797199899673887,0.796897304299628
"Nawalparasi",2016,0.774272865779942,0.794995504319128,0.779355051421541,0.787517814504606
"Nawalparasi",2017,0.80838196802003,0.835870695600512,0.813381133338478,0.826904329926436
"Nawalparasi",2018,0.753928127898345,0.77010954262059,0.759489309552795,0.763617227190654
"Nawalparasi",2019,0.737991146691094,0.757524578146817,0.743080909672283,0.750439734334988
"Nawalparasi",2020,0.706739978613193,0.727628356241134,0.711856811335866,0.720409355484013
"Nawalparasi",2021,0.727862562791002,0.728819145310056,0.708269573168238,0.725637399186786
"Nawalparasi",2022,0.707199057070941,0.715329948855176,0.687247409418289,0.710822502811053
"Nawalparasi",2023,0.672546871193087,0.69259548608959,0.662071154761189,0.685761277058863
"Nuwakot",2000,1.11745244200801,1.12027706645592,1.11454929809633,1.11421866532822
"Nuwakot",2001,1.06052290709418,1.0631073108218,1.058692810803,1.05737765669464
"Nuwakot",2002,1.02347284352763,1.02452936960072,1.01866177168114,1.0193279306306
"Nuwakot",2003,1.04665160022754,1.04738062140368,1.0396391243696,1.04214887613979
"Nuwakot",2004,1.08168291893493,1.08221454043756,1.07293301620388,1.07686347875963
"Nuwakot",2005,1.11512745255594,1.11507062342021,1.10514273218903,1.10968566799637
"Nuwakot",2006,1.07997098613439,1.07539230986006,1.07236201433683,1.07112715703242
