"dname","year","geog_pop_2001","geog_total_mig_2001","geog_intensity_2001","shareshock_index_2001","shareshock_growth_yoy","shareshock_log_yoy","shareshock_growth_dec","shareshock_log_dec","ssiv_index_2001","ssiv_growth_yoy","ssiv_log_yoy","ssiv_growth_dec","ssiv_log_dec","absexp_index_2001","absexp_growth_yoy","absexp_log_yoy","absexp_growth_dec","absexp_log_dec","fxshock","mig_intensity","fxshock_x_mig_intensity","total_migrants"
"Rupandehi",2005,705240,6102,0.00865237366003063,0.935450210263537,-0.0223809834600787,-0.0230491823548836,0,0,0.00809386475955434,-0.000193648631775566,-0.000199430138292638,0,0,5708.1171830281,-136.5687610734,-140.6461107295,0,0,0.935450210263537,0.00865237366003063,0.00809386475955434,6102
"Rupandehi",2006,705240,6102,0.00865237366003063,0.960852524197001,0.0246623297526221,0.0241128060367257,0,0,0.00831365507153607,0.000213387692346577,0.000208633007821593,0,0,5863.1221026501,150.4895361505,147.1363424361,0,0,0.960852524197001,0.00865237366003063,0.00831365507153607,6102
"Rupandehi",2007,705240,6102,0.00865237366003063,0.890438284490806,-0.070908059411275,-0.0740873433365126,0,0,0.00770440475861111,-0.000613523025534003,-0.000641031378026488,0,0,5433.4544119629,-432.6809785276,-452.0809690394,0,0,0.890438284490806,0.00865237366003063,0.00770440475861111,6102
"Rupandehi",2008,705240,6102,0.00865237366003063,0.926310671453851,0.0421692658725008,0.0398961948979679,0,0,0.00801478605469259,0.000364864245298055,0.000345196785870626,0,0,5652.3477172114,257.316860354,243.4465812674,0,0,0.926310671453851,0.00865237366003063,0.00801478605469259,6102
"Rupandehi",2009,705240,6102,0.00865237366003063,1.00535679413401,0.0839567835781875,0.0789177975622419,0,0,0.0086987226444979,0.000726425462812801,0.000682826272935171,0,0,6134.6871578057,512.3042933941,481.5564007248,0,0,1.00535679413401,0.00865237366003063,0.0086987226444979,6102
"Rupandehi",2010,705240,6102,0.00865237366003063,0.966820344976991,-0.0377527205250574,-0.039186691253589,0,0,0.00836529088686064,-0.000326650644665504,-0.000339057895226306,0,0,5899.5377450496,-230.3671006439,-239.1171900294,0,0,0.966820344976991,0.00865237366003063,0.00836529088686064,6102
"Rupandehi",2011,705240,6102,0.00865237366003063,0.993843471313209,0.0233655646639462,0.0227076088215011,0.0520211179864307,0.0421856616638807,0.00859910507338381,0.000202167596250071,0.000196474716449436,0.000450106151031138,0.000365006107811525,6064.4328619532,142.5766755794,138.5618290288,317.4328619532,257.416907473,0.993843471313209,0.00865237366003063,0.00859910507338381,6102
"Rupandehi",2012,705240,6102,0.00865237366003063,1.14139969987532,0.139722569098279,0.130223796449082,0,0,0.00987581669876808,0.00120893187657776,0.00112674494630523,0,0,6964.8209686392,852.5871166377,794.6256059323,0,0,1.14139969987532,0.00865237366003063,0.00987581669876808,6102
"Rupandehi",2013,705240,6102,0.00865237366003063,1.23591783175229,0.0810005998975418,0.0771556949365946,0,0,0.0106936228934157,0.00070084745700017,0.000667579902590749,0,0,7541.5706093525,494.2656605748,470.8040505031,0,0,1.23591783175229,0.00865237366003063,0.0106936228934157,6102
"Rupandehi",2014,705240,6102,0.00865237366003063,1.29405547835906,0.045247987824451,0.0438916674538676,0,0,0.0111966515355723,0.000391502498021666,0.000379767107372667,0,0,7896.326528947,276.1032217048,267.8269548035,0,0,1.29405547835906,0.00865237366003063,0.0111966515355723,6102
"Rupandehi",2015,705240,6102,0.00865237366003063,1.31715509018694,0.0206644488493609,0.0190404269925434,0,0,0.0113965180085087,0.00017879653292326,0.000164744888986019,0,0,8037.2803603207,126.0944668788,116.1846855085,0,0,1.31715509018694,0.00865237366003063,0.0113965180085087,6102
"Rupandehi",2016,705240,6102,0.00865237366003063,1.36686512026308,0.0359998020192068,0.0346864193186988,0,0,0.0118266277633788,0.000311483738757302,0.000300119860873887,0,0,8340.6109638453,219.6707919212,211.6565306827,0,0,1.36686512026308,0.00865237366003063,0.0118266277633788,6102
"Rupandehi",2017,705240,6102,0.00865237366003063,1.32560915728956,-0.0288428228917896,-0.0294440548783186,0,0,0.0114696657560276,-0.000249558881069849,-0.00025476096487366,0,0,8088.8670777809,-175.9989052857,-179.6676228675,0,0,1.32560915728956,0.00865237366003063,0.0114696657560276,6102
"Rupandehi",2018,705240,6102,0.00865237366003063,1.39095514634535,0.046577704111275,0.0452815360338086,0,0,0.0120350636705225,0.000403007700197096,0.000391792769664653,0,0,8487.6083029993,284.217150487,276.3079328783,0,0,1.39095514634535,0.00865237366003063,0.0120350636705225,6102
"Rupandehi",2019,705240,6102,0.00865237366003063,1.42399275602132,0.0228795732772042,0.0224048042973451,0,0,0.0123209174142733,0.000197962617176422,0.00019385473856049,0,0,8689.2037972421,139.6111561375,136.7141158224,0,0,1.42399275602132,0.00865237366003063,0.0123209174142733,6102
