"dname","year","population_2001","total_migrants_2001","migrants_per_capita_2001","avg_fx_shock_2001","ssiv_per_capita_2001","total_fx_exposure_2001"
"Kathmandu",2021,1063821,13492,0.0126825847581501,1.62623601417213,0.0206248760864942,21941.1763032104
"Kathmandu",2022,1063821,13492,0.0126825847581501,1.65743309330145,0.0210205356867585,22362.0872948231
"Kathmandu",2023,1063821,13492,0.0126825847581501,1.72966145670684,0.0219365780275899,23336.5923738887
"Kavrepalanchok",2000,383479,764,0.00199228640942529,0.964670690750654,0.00192190030675343,737.0084077335
"Kavrepalanchok",2001,383479,764,0.00199228640942529,1,0.00199228640942529,764
"Kavrepalanchok",2002,383479,764,0.00199228640942529,1.03937665657906,0.00207073598717635,794.0837656264
"Kavrepalanchok",2003,383479,764,0.00199228640942529,1.03053759280406,0.00205312604054538,787.3307209023
"Kavrepalanchok",2004,383479,764,0.00199228640942529,1.0108456531216,0.00201389405674079,772.2860789849
"Kavrepalanchok",2005,383479,764,0.00199228640942529,0.982592198184948,0.00195760508245119,750.7004394133
"Kavrepalanchok",2006,383479,764,0.00199228640942529,1.00240623228024,0.00199708031329512,765.8383614621
"Kavrepalanchok",2007,383479,764,0.00199228640942529,0.928227733503796,0.00184929549831125,709.1659883969
"Kavrepalanchok",2008,383479,764,0.00199228640942529,0.975418087467408,0.00194331219916892,745.2194188251
"Kavrepalanchok",2009,383479,764,0.00199228640942529,1.06548896160157,0.00212275917759147,814.0335666636
"Kavrepalanchok",2010,383479,764,0.00199228640942529,1.02132770552618,0.00203477730728932,780.294367022
"Kavrepalanchok",2011,383479,764,0.00199228640942529,1.04771134106361,0.00208734106580178,800.4514645726
"Kavrepalanchok",2012,383479,764,0.00199228640942529,1.19842294166767,0.00238760173942797,915.5951274341
"Kavrepalanchok",2013,383479,764,0.00199228640942529,1.28741538693259,0.0025649001786708,983.5853556165
"Kavrepalanchok",2014,383479,764,0.00199228640942529,1.34087243677238,0.00267140193255459,1024.4265416941
"Kavrepalanchok",2015,383479,764,0.00199228640942529,1.36981809994346,0.00272906998390212,1046.5410283568
"Kavrepalanchok",2016,383479,764,0.00199228640942529,1.4282446998034,0.00284547250475202,1091.1789506498
"Kavrepalanchok",2017,383479,764,0.00199228640942529,1.38699300383822,0.00276328731151484,1059.6626549324
"Kavrepalanchok",2018,383479,764,0.00199228640942529,1.44863978225183,0.00288610535033313,1106.7607936404
"Kavrepalanchok",2019,383479,764,0.00199228640942529,1.48618835333874,0.00296091285820293,1135.4479019508
"Kavrepalanchok",2020,383479,764,0.00199228640942529,1.55900977916688,0.0031059939951953,1191.0834712835
"Kavrepalanchok",2021,383479,764,0.00199228640942529,1.5664190595178,0.00312075540374206,1196.7441614716
"Kavrepalanchok",2022,383479,764,0.00199228640942529,1.62260928364503,0.00323270242361329,1239.6734927048
"Kavrepalanchok",2023,383479,764,0.00199228640942529,1.69889934691859,0.0033846940798474,1297.9591010458
"Khotang",2000,230898,4160,0.0180166133963915,0.953113696700048,0.0171718809962503,3964.9529782722
"Khotang",2001,230898,4160,0.0180166133963915,1,0.0180166133963915,4160
"Khotang",2002,230898,4160,0.0180166133963915,1.04037932003543,0.018744111994679,4327.9779713474
"Khotang",2003,230898,4160,0.0180166133963915,1.02232511639635,0.0184188363875339,4252.8724842088
"Khotang",2004,230898,4160,0.0180166133963915,0.994975393084495,0.017926086996126,4139.0976352315
"Khotang",2005,230898,4160,0.0180166133963915,0.965394050803774,0.0173931313885079,4016.0392513437
"Khotang",2006,230898,4160,0.0180166133963915,0.987759990482692,0.01779608987695,4109.081560408
"Khotang",2007,230898,4160,0.0180166133963915,0.909589212961635,0.0163877171994578,3783.8911259204
"Khotang",2008,230898,4160,0.0180166133963915,0.95631965670726,0.0172296415382645,3978.2897719022
"Khotang",2009,230898,4160,0.0180166133963915,1.05116898673875,0.0189385052483486,4372.8629848332
"Khotang",2010,230898,4160,0.0180166133963915,1.00061199238252,0.018027639426549,4162.5458883113
"Khotang",2011,230898,4160,0.0180166133963915,1.01963085366841,0.0183702948975764,4241.6643512606
"Khotang",2012,230898,4160,0.0180166133963915,1.17213145387791,0.0211178392542686,4876.0668481321
"Khotang",2013,230898,4160,0.0180166133963915,1.27636439425733,0.0229957638442537,5309.6758801105
"Khotang",2014,230898,4160,0.0180166133963915,1.33597484807325,0.0240697423450385,5557.6553679847
"Khotang",2015,230898,4160,0.0180166133963915,1.37972310177356,0.0248579377187243,5739.648103378
