dataset,outcome,sample,threshold,beta,stars,mean_y,beta_pp,pct_of_mean,se,pval,n,n_muni,sd_y
nec_panel,log_new_firms,full,25,-0.00720499649679807,"",3.35121840141153,-0.720499649679807,-0.21499632771661,0.0158552085242219,0.64973128730943,8550,475,1.32719732323975
nec_panel,log_new_firms,full,50,-0.0221009253781561,"",3.4044596837168,-2.21009253781561,-0.649175711607416,0.0191557705310258,0.249292537464489,7218,401,1.33726681440298
nec_panel,log_new_firms,full,100,-0.0285772409421165,"",3.46862350525881,-2.85772409421165,-0.823878431856045,0.020826512610996,0.171000344801072,5634,313,1.37175509062084
nec_panel,log_new_firms,rural,0,0.0016288994675063,"",2.68174167359104,0.16288994675063,0.0607403570428577,0.0211100150898988,0.938530578471896,7686,427,1.10989369236886
nec_panel,log_new_firms,rural,25,0.0308292191829515,"",2.79229182837588,3.08292191829515,1.10408299267498,0.0224166968324878,0.170237841189137,4662,259,1.08891745274707
nec_panel,log_new_firms,rural,50,0.00239930615396292,"",2.81879090099107,0.239930615396292,0.0851182736938501,0.0261083767520078,0.926866728616903,3798,211,1.07437392972336
nec_panel,log_new_firms,rural,100,0.0344267358749543,"",2.79113038952264,3.44267358749543,1.23343345062579,0.0319646435534155,0.283186549666636,2736,152,1.06974961131042
nec_panel,log_new_firms,urban,0,-0.025313210425356,"",3.80059138508836,-2.5313210425356,-0.666033463230817,0.0201332639943147,0.209676905015145,5166,287,1.30207994130157
nec_panel,log_new_firms,urban,25,-0.0434472434548606,*,4.02141276444963,-4.34472434548606,-1.08039751201234,0.0224494759137518,0.0542608894770203,3888,216,1.27604635138032
nec_panel,log_new_firms,urban,50,-0.0527820530140572,*,4.05486027927011,-5.27820530140572,-1.30169844036052,0.0279592290573356,0.0605821829524717,3420,190,1.29951063912995
nec_panel,log_new_firms,urban,100,-0.0665545522616486,**,4.10824433502215,-6.65545522616486,-1.62002419608496,0.0314951138014187,0.0361375626857191,2898,161,1.31747205663825
nec_panel,log_new_firms_construction,full,0,-0.018886369967344,***,0.0489637254369737,-1.8886369967344,-38.5721670456932,0.00474439107471798,0.0000757265352505288,12852,714,0.218588210072935
nec_panel,log_new_firms_construction,full,25,-0.0109260727091252,"",0.0616186799390616,-1.09260727091252,-17.7317539420361,0.00737017823805876,0.138879636137637,8550,475,0.24616206041385
nec_panel,log_new_firms_construction,full,50,-0.00378658614944957,"",0.0670430457585757,-0.378658614944957,-5.64799243024429,0.00969247926574288,0.696247230445452,7218,401,0.259521164710742
nec_panel,log_new_firms_construction,full,100,-0.00606783954059701,"",0.0740279272001801,-0.606783954059701,-8.19668977653376,0.0123038711380542,0.622242877529035,5634,313,0.275358259133725
nec_panel,log_new_firms_construction,rural,0,-0.00786389287962365,**,0.0195853153881723,-0.786389287962365,-40.1519849119852,0.00371690603276199,0.0349492343528752,7686,427,0.129887753681573
nec_panel,log_new_firms_construction,rural,25,-0.0094226491660127,*,0.0219458188574359,-0.94226491660127,-42.9359652844305,0.00556414958269172,0.0915754143065481,4662,259,0.138083376897288
nec_panel,log_new_firms_construction,rural,50,-0.00680007317589218,"",0.023181410951569,-0.680007317589218,-29.3341643012973,0.00656524737743869,0.301501617787616,3798,211,0.144005097043102
nec_panel,log_new_firms_construction,rural,100,-0.0118371754166899,"",0.0257597782195716,-1.18371754166899,-45.9521635465647,0.0084350543049327,0.162571107687387,2736,152,0.153029493337138
nec_panel,log_new_firms_construction,urban,0,-0.0249675644520715,**,0.0926730672168977,-2.49675644520715,-26.9415540047206,0.0114700060960427,0.0303155831038497,5166,287,0.300974673850768
nec_panel,log_new_firms_construction,urban,25,-0.0122749772028828,"",0.109189379106381,-1.22749772028828,-11.2419150134771,0.0187010237865473,0.512281566438323,3888,216,0.325972710560251
nec_panel,log_new_firms_construction,urban,50,0.000667448515745337,"",0.115752545465304,0.0667448515745337,0.57661670683985,0.0242312054865184,0.978054112656989,3420,190,0.338567339425431
nec_panel,log_new_firms_construction,urban,100,0.00372418212678991,"",0.119597856672556,0.372418212678991,3.11392045844622,0.0268023140197393,0.889664379281504,2898,161,0.347914332017912
nec_panel,log_new_firms_hospitality_food,full,0,-0.121325301250403,***,1.31731718256146,-12.1325301250403,-9.21002950971092,0.0181536499116361,0.0000000000471427858256658,12852,714,1.17283028331629
nec_panel,log_new_firms_hospitality_food,full,25,-0.0264342191428927,"",1.51562384795908,-2.64342191428927,-1.74411475370282,0.0207091256589694,0.202420574700554,8550,475,1.23878786278466
nec_panel,log_new_firms_hospitality_food,full,50,-0.0299174506311403,"",1.54998022245859,-2.99174506311403,-1.93018273379546,0.0246046140463131,0.224729262488226,7218,401,1.26677824274795
nec_panel,log_new_firms_hospitality_food,full,100,-0.017494165269555,"",1.60690748355182,-1.7494165269555,-1.0886852820479,0.0279230295315969,0.531436061880422,5634,313,1.31060616330316
nec_panel,log_new_firms_hospitality_food,rural,0,-0.0650731704823593,***,0.955722991280487,-6.50731704823593,-6.80878989791526,0.02115740898425,0.00223560701664178,7686,427,0.91235525010899
nec_panel,log_new_firms_hospitality_food,rural,25,0.0356572835413308,"",1.06529996302689,3.56572835413308,3.34715899548293,0.0260735441859859,0.172638186419295,4662,259,0.948637007018189
nec_panel,log_new_firms_hospitality_food,rural,50,0.0343298856240985,"",1.05563807854507,3.43298856240985,3.25205070959676,0.0292131890676783,0.241265313509888,3798,211,0.945417447617319
nec_panel,log_new_firms_hospitality_food,rural,100,0.0771452794307465,*,1.03329577384177,7.71452794307465,7.46594357430901,0.0422135209398698,0.0695985036678675,2736,152,0.950465606156359
nec_panel,log_new_firms_hospitality_food,urban,0,-0.148175430296887,***,1.8552987842234,-14.8175430296887,-7.98660741638502,0.0287953223802621,0.000000495700285665804,5166,287,1.30379602533688
nec_panel,log_new_firms_hospitality_food,urban,25,-0.0956069584553881,***,2.05559554331758,-9.56069584553881,-4.65105885086156,0.0306783472758111,0.00208042685964812,3888,216,1.32709671528975
nec_panel,log_new_firms_hospitality_food,urban,50,-0.113347168856832,***,2.09896018227836,-11.3347168856832,-5.40015812657281,0.037359062588524,0.00275302365967254,3420,190,1.34973203290628
nec_panel,log_new_firms_hospitality_food,urban,100,-0.0947979240043287,**,2.14845394240851,-9.47979240043287,-4.41237869395775,0.0399526121599952,0.0188434800306465,2898,161,1.37219928277833
nec_panel,log_new_firms_manufacturing,full,0,-0.0862730176496138,***,1.32742656883715,-8.62730176496138,-6.49926856030843,0.0160404595927512,0.000000101948761395102,12852,714,1.08005086354155
nec_panel,log_new_firms_manufacturing,full,25,-0.0200533613441801,"",1.4977597936089,-2.00533613441801,-1.33889035009151,0.0171925021095479,0.244038641762726,8550,475,1.13388406736375
nec_panel,log_new_firms_manufacturing,full,50,-0.0185116166897326,"",1.55383390437001,-1.85116166897326,-1.19135105996017,0.0201701346734173,0.359290458790552,7218,401,1.149720343693
nec_panel,log_new_firms_manufacturing,full,100,-0.035443270504158,"",1.60830735382889,-3.5443270504158,-2.20376226097445,0.0236971866103888,0.135749371579712,5634,313,1.18421165681783
nec_panel,log_new_firms_manufacturing,rural,0,-0.0470670020792886,**,0.973541227615681,-4.70670020792886,-4.83461827236236,0.0198322316113323,0.0180747668068357,7686,427,0.853480699927283
nec_panel,log_new_firms_manufacturing,rural,25,0.0194090718691954,"",1.0358215685961,1.94090718691954,1.87378525970467,0.0206884518818505,0.349039758398882,4662,259,0.867881721049241
nec_panel,log_new_firms_manufacturing,rural,50,0.0083102639767517,"",1.06589692740332,0.83102639767517,0.779649866990112,0.0253049730203838,0.742933158148873,3798,211,0.868649450703285
nec_panel,log_new_firms_manufacturing,rural,100,-0.027084001154182,"",1.04204489986518,-2.7084001154182,-2.59912036013861,0.0343605550988387,0.43179819076241,2736,152,0.857120052621104
nec_panel,log_new_firms_manufacturing,urban,0,-0.0987820302764001,***,1.8539389057764,-9.87820302764001,-5.32822467712503,0.0206451904040377,0.00000274728952541644,5166,287,1.16401267337542
nec_panel,log_new_firms_manufacturing,urban,25,-0.0733363289136184,***,2.05165794304554,-7.33363289136184,-3.57449101894421,0.0263966178068792,0.00594872115448779,3888,216,1.16692446871401
nec_panel,log_new_firms_manufacturing,urban,50,-0.0576685454620052,*,2.09570075773829,-5.76685454620052,-2.75175476503821,0.0311287026215667,0.0655012638892398,3420,190,1.18071554129782
nec_panel,log_new_firms_manufacturing,urban,100,-0.060272354160084,*,2.14291538490022,-6.0272354160084,-2.81263341449623,0.0338502365097485,0.0768821016221647,2898,161,1.20186045862612
nec_panel,log_new_firms_other_services,full,0,-0.0527020683871683,***,0.939648944272309,-5.27020683871683,-5.60869766399645,0.0170775976293064,0.0021069535864403,12852,714,0.94463248055028
nec_panel,log_new_firms_other_services,full,25,0.0194250806230659,"",1.09467302884575,1.94250806230659,1.77450984094749,0.0217128096263122,0.371435268835773,8550,475,0.997806427771417
nec_panel,log_new_firms_other_services,full,50,0.0276677434477179,"",1.13285276511788,2.76677434477179,2.44230709405903,0.024551755104296,0.26045395399372,7218,401,1.0171731751664
nec_panel,log_new_firms_other_services,full,100,0.0125779424811189,"",1.18058608170722,1.25779424811189,1.065398167572,0.0297313982987202,0.672548400614584,5634,313,1.05137009211017
nec_panel,log_new_firms_other_services,rural,0,0.0000259620439383571,"",0.650323361910884,0.00259620439383571,0.00399217457943865,0.0182005688865792,0.99886253258498,7686,427,0.710391094467228
nec_panel,log_new_firms_other_services,rural,25,0.0625685740214571,**,0.722709942381539,6.25685740214571,8.65749457040475,0.0241722796194621,0.0101879172892713,4662,259,0.726329634685337
nec_panel,log_new_firms_other_services,rural,50,0.0759554243108464,***,0.738958158946793,7.59554243108464,10.2787178666655,0.0279340958645731,0.00709379078183159,3798,211,0.732338108826118
nec_panel,log_new_firms_other_services,rural,100,0.106436389439476,***,0.727668258135434,10.6436389439476,14.6270485553688,0.0331498675697835,0.00161764914180162,2736,152,0.723935763813635
nec_panel,log_new_firms_other_services,urban,0,-0.0543201413078715,**,1.37010895705394,-5.43201413078715,-3.9646585060412,0.0224127613965218,0.0159868981574837,5166,287,1.07676635229501
nec_panel,log_new_firms_other_services,urban,25,-0.016127796264483,"",1.54068432233757,-1.6127796264483,-1.04679433876587,0.0298169311572955,0.589140665390526,3888,216,1.09188837973494
nec_panel,log_new_firms_other_services,urban,50,-0.0109643457612825,"",1.5702830909184,-1.09643457612825,-0.69824007051301,0.0362902228955362,0.762885581834347,3420,190,1.1066195243679
nec_panel,log_new_firms_other_services,urban,100,-0.0287576464817681,"",1.60818551762593,-2.87576464817681,-1.78820454273344,0.0426505903637128,0.501118152492665,2898,161,1.13044771386786
nec_panel,log_new_firms_size_10_50_workers,full,0,-0.0270534931137837,**,0.599538662665963,-2.70534931137837,-4.51238507179591,0.0108344339127683,0.0127496791874306,12852,714,0.758726266624031
nec_panel,log_new_firms_size_10_50_workers,full,25,-0.00442694267148531,"",0.737922484827264,-0.442694267148531,-0.599919742589439,0.013378899164851,0.740873867958811,8550,475,0.828999031804938
nec_panel,log_new_firms_size_10_50_workers,full,50,-0.0138300749048914,"",0.765985843765103,-1.38300749048914,-1.80552617485872,0.0162141157461743,0.394189109597836,7218,401,0.855282125431437
