dataset,outcome,spec,threshold,lag,c_mig_log_flag,beta,stars,se,pval,mean_y,sd_y,n,n_muni,err
census,amen_cooking_traditional,S1_cmig_log,25,0,TRUE,-0.000235826721752411,"",0.0275632490376427,0.993177111116054,0.830846952009908,0.222060036708862,1425,475,
census,amen_cooking_traditional,S2_lag1,25,1,FALSE,-0.00173163244107512,"",0.00681333537657479,0.799487253468117,0.830846952009908,0.222060036708862,1425,475,
census,amen_cooking_traditional,S3_lag2,25,2,FALSE,-0.0161221531506109,***,0.0061648676409395,0.00920262542684425,0.769491126993131,0.24588654096512,950,475,
census,amen_cooking_traditional,S4_lag3,25,3,FALSE,-0.0157199657513485,**,0.00615046367688386,0.0109022453323723,0.769491126993131,0.24588654096512,950,475,
census,amen_cooking_traditional,S5_lag4,25,4,FALSE,-0.0151474915018382,**,0.00619391225653355,0.0148261081463724,0.769491126993131,0.24588654096512,950,475,
census,amen_cooking_traditional,S6_lag5,25,5,FALSE,-0.0151467230140855,**,0.00633278929302742,0.0171550645717778,0.769491126993131,0.24588654096512,950,475,
census,amen_cooking_traditional,S7_lag10,25,10,FALSE,0.00965874352582299,"",0.015583476552583,0.535682870166876,0.769491126993131,0.24588654096512,950,475,
census,amen_cooking_wood,S0_baseline,25,0,FALSE,0.00570822971575282,"",0.00927298700569701,0.538469740458495,0.722266412318828,0.277180338058469,1425,475,
census,amen_cooking_wood,S1_cmig_log,25,0,TRUE,0.0380025115304079,"",0.0263655618156077,0.150140676179665,0.722266412318828,0.277180338058469,1425,475,
census,amen_cooking_wood,S2_lag1,25,1,FALSE,0.00667597316652298,"",0.00942063398866367,0.478887372371665,0.722266412318828,0.277180338058469,1425,475,
census,amen_cooking_wood,S3_lag2,25,2,FALSE,0.00129021648859802,"",0.00955064467884826,0.892596415722368,0.696393939045954,0.27494564740053,950,475,
census,amen_cooking_wood,S4_lag3,25,3,FALSE,0.00160149993501856,"",0.0094931666742631,0.86610435638937,0.696393939045954,0.27494564740053,950,475,
census,amen_cooking_wood,S5_lag4,25,4,FALSE,0.00150633053265576,"",0.00954122574593958,0.874621744722748,0.696393939045954,0.27494564740053,950,475,
census,amen_cooking_wood,S6_lag5,25,5,FALSE,0.00147006250667363,"",0.00967473019813783,0.879292062946374,0.696393939045954,0.27494564740053,950,475,
census,amen_cooking_wood,S7_lag10,25,10,FALSE,-0.0266447259296715,"",0.0195654625087304,0.173900154485031,0.696393939045954,0.27494564740053,950,475,
census,amen_lighting_biogas,S0_baseline,25,0,FALSE,0.000256850140491384,**,0.000111684012238058,0.021893635978805,0.00176961893489486,0.00272718600928573,1425,475,
census,amen_lighting_biogas,S1_cmig_log,25,0,TRUE,0.00141216652943197,**,0.000605682657260445,0.0201436964433926,0.00176961893489486,0.00272718600928573,1425,475,
census,amen_lighting_biogas,S2_lag1,25,1,FALSE,0.000209099079428393,*,0.00011055554067559,0.0591872289827474,0.00176961893489486,0.00272718600928573,1425,475,
