outcome_group,dataset,outcome,spec,threshold,beta,stars,se,pval,mean_y,sd_y,n,n_muni,interpret,err
Consumption,hh,food_insec_score,S_levels,25,-0.151956696406442,"",0.112016497674013,0.176531877571183,0.764754987895484,2.40131801963319,11844,191,-15.20pp (-20% of mean),""
Consumption,hh,food_insec_worried,S0_baseline,25,0.000258007280428296,"",0.0332985715803669,0.993825943310763,0.12012688872193,0.325123428163192,11844,191,+0.03pp (+0% of mean),
Consumption,hh,food_insec_worried,S_levels,25,-0.0195232769927671,"",0.0147478017972421,0.18715690368723,0.12012688872193,0.325123428163192,11844,191,-1.95pp (-16% of mean),""
Consumption,hh,nonfood_cat_sum_12m,S0_baseline,25,44312.7205825012,"",32679.1604359938,0.176710686659943,97931.8133650555,236354.566877558,11844,191,"44,313 Rs (+45% of mean)",
Consumption,hh,nonfood_cat_sum_12m,S_levels,25,10073.9197318788,"",12754.9169105109,0.430625193033987,97931.8133650555,236354.566877558,11844,191,"10,074 Rs (+10% of mean)",""
Consumption,hh,nonfood_ceremonies_12m,S0_baseline,25,1275.04796326051,"",6795.09989404245,0.851357325993355,26690.8276984723,77539.6847599501,11844,191,"1,275 Rs (+5% of mean)",
Consumption,hh,nonfood_ceremonies_12m,S_levels,25,-828.42276286874,"",3054.84458941633,0.786544473108511,26690.8276984723,77539.6847599501,11844,191,-828 Rs (-3% of mean),""
Consumption,hh,nonfood_clothing_footwear_12m,S0_baseline,25,2636.3069892108,**,1200.45005845783,0.0292954712334111,12151.0350613574,9186.72889092836,11844,191,"2,636 Rs (+22% of mean)",
Consumption,hh,nonfood_clothing_footwear_12m,S_levels,25,259.724078123525,"",563.799210920936,0.645563869495868,12151.0350613574,9186.72889092836,11844,191,260 Rs (+2% of mean),""
Consumption,hh,nonfood_communication_12m,S0_baseline,25,-334.280046390534,"",372.776332294955,0.370997326318656,1087.60614408548,5612.56964674425,11844,191,-334 Rs (-31% of mean),
Consumption,hh,nonfood_communication_12m,S_levels,25,65.3450022554819,"",187.119520051478,0.727314388153787,1087.60614408548,5612.56964674425,11844,191,65 Rs (+6% of mean),""
Consumption,hh,nonfood_electronics_tech_12m,S0_baseline,25,13.1182424334881,"",81.6853300783617,0.872583137502651,51.4650638617581,1633.43248061767,11844,191,13 Rs (+25% of mean),
Consumption,hh,nonfood_electronics_tech_12m,S_levels,25,-20.4017182679775,"",56.0889244071473,0.716457482142542,51.4650638617581,1633.43248061767,11844,191,-20 Rs (-40% of mean),""
Consumption,hh,nonfood_entertainment_leisure_12m,S0_baseline,25,-123.282898556792,"",276.19851561828,0.655848309602828,540.227982302362,3303.30051472227,11844,191,-123 Rs (-23% of mean),
Consumption,hh,nonfood_entertainment_leisure_12m,S_levels,25,16.9217002147753,"",108.822998465364,0.876594229147178,540.227982302362,3303.30051472227,11844,191,17 Rs (+3% of mean),""
Consumption,hh,nonfood_exp_12m,S0_baseline,25,44312.7205825012,"",32679.1604359938,0.176710686659943,97931.8133650555,236354.566877558,11844,191,"44,313 Rs (+45% of mean)",
Consumption,hh,nonfood_exp_12m,S_levels,25,10073.9197318788,"",12754.9169105109,0.430625193033987,97931.8133650555,236354.566877558,11844,191,"10,074 Rs (+10% of mean)",""
Consumption,hh,nonfood_exp_30day,S0_baseline,25,194.500342962707,"",405.347438965931,0.631895831363726,1785.41080223725,4736.63024352799,11844,191,195 Rs (+11% of mean),
Consumption,hh,nonfood_exp_30day,S_levels,25,175.112756237189,"",186.684716606844,0.349428394545636,1785.41080223725,4736.63024352799,11844,191,175 Rs (+10% of mean),""
Consumption,hh,nonfood_fuel_lighting_12m,S0_baseline,25,646.546363943175,"",542.353212112613,0.234703701997517,4760.19350530094,4518.01522984218,11844,191,647 Rs (+14% of mean),
Consumption,hh,nonfood_fuel_lighting_12m,S_levels,25,1105.39138131452,***,279.800381028935,0.000109788285037011,4760.19350530094,4518.01522984218,11844,191,"1,105 Rs (+23% of mean)",""
Consumption,hh,nonfood_household_goods_12m,S0_baseline,25,2086.74953990086,"",2974.51349274108,0.483822521624122,3311.73612154604,38058.6565449713,11844,191,"2,087 Rs (+63% of mean)",
Consumption,hh,nonfood_household_goods_12m,S_levels,25,647.416800496219,"",717.477513416381,0.36801275701981,3311.73612154604,38058.6565449713,11844,191,647 Rs (+20% of mean),""
Consumption,hh,nonfood_housing_improvement_12m,S0_baseline,25,30398.936603351,"",25641.3445110291,0.23728309773155,26367.2092829118,174289.403126844,11844,191,"30,399 Rs (+115% of mean)",
Consumption,hh,nonfood_housing_improvement_12m,S_levels,25,9482.84106478092,"",10623.6087996102,0.373190064545296,26367.2092829118,174289.403126844,11844,191,"9,483 Rs (+36% of mean)",""
Consumption,hh,nonfood_jewellery_luxury_12m,S0_baseline,25,847.792347290086,"",1438.04822756653,0.556196948501733,2916.31772268136,20319.0452854656,11844,191,848 Rs (+29% of mean),
Consumption,hh,nonfood_jewellery_luxury_12m,S_levels,25,255.340923705497,"",695.46417138453,0.713914390365393,2916.31772268136,20319.0452854656,11844,191,255 Rs (+9% of mean),""
Consumption,hh,nonfood_legal_insurance_12m,S0_baseline,25,-2648.75282252909,**,1224.58394564199,0.0317916662374369,1062.22180482511,18133.9006907399,11844,191,"-2,649 Rs (-249% of mean)",
