dataset,outcome,sample,threshold,beta,stars,mean_y,beta_pp,pct_of_mean,se,pval,n,n_muni,sd_y
nec_cs,share_operates_year_round,sender,100,-0.000441885819121937,"",0.994223976538224,-0.0441885819121937,-0.0444452990019949,0.00190486061483225,0.818443489221727,122,127,0.0153209504401521
nec_cs,share_other_services,full,0,-0.00288077846841443,"",0.0676102948333333,-0.288077846841443,-4.26085772220911,0.00318594074293054,0.368776233674121,714,714,0.0370658528509911
nec_cs,share_other_services,full,25,0.00137704128707232,"",0.0691276150357895,0.137704128707232,1.99202776829402,0.00265991336160958,0.606670033968474,469,475,0.0319456692243377
nec_cs,share_other_services,full,50,0.000548895977072337,"",0.0693795164538653,0.0548895977072337,0.791149902921752,0.00251005984461666,0.82769555765759,399,401,0.0318958940721024
nec_cs,share_other_services,full,100,0.00163169700871195,"",0.0692136868210863,0.163169700871195,2.35747737716934,0.00242195702787913,0.503795501202547,305,313,0.0329177857511791
nec_cs,share_other_services,receiver,0,-0.00253653803204129,"",0.0668839503652482,-0.253653803204129,-3.79244649604194,0.0032620466831722,0.439468221983219,559,564,0.0346975900589008
nec_cs,share_other_services,receiver,25,0.00278799381868097,"",0.0685388471538462,0.278799381868097,4.06775709609308,0.00280991982149925,0.325785798128795,327,338,0.0255239577068124
nec_cs,share_other_services,receiver,50,0.00189574419716561,"",0.0692441860522388,0.189574419716561,2.73776659853497,0.00293933258580008,0.521903269734001,262,268,0.0235050383333607
nec_cs,share_other_services,receiver,100,0.0024391794309126,"",0.0686262140322581,0.24391794309126,3.5542969480526,0.00269548406961527,0.371067758940505,174,186,0.0214201200269441
nec_cs,share_other_services,sender,0,0.0106735286717499,"",0.0703413500333333,1.06735286717499,15.1739036380335,0.00986766508945409,0.288628713792317,137,150,0.0448973292690006
nec_cs,share_other_services,sender,25,-0.00008581515302127,"",0.070580195649635,-0.008581515302127,-0.121585314735117,0.00265797002935737,0.974490571046482,131,137,0.0440401538569854
nec_cs,share_other_services,sender,50,-0.00162494327080471,"",0.0696522123007519,-0.162494327080471,-2.33293849129781,0.00334446645028845,0.631297634571642,127,133,0.0443309217378653
nec_cs,share_other_services,sender,100,-0.000825926265423334,"",0.0700740800393701,-0.0825926265423334,-1.17864731860811,0.00408992839662957,0.841596727494208,122,127,0.0448132774718771
