outcome_group,dataset,outcome,spec,threshold,treatment_type,beta,stars,se,pval,mean_y,sd_y,n,n_muni,interpret,err
Consumption,hh,food_insec_worried,S_fx_alone,25,fx_alone,-0.269689900563118,"",0.212272146515422,0.205463205739368,0.12012688872193,0.325123428163192,11844,191,-26.97pp (-225% of mean),
Consumption,hh,nonfood_cat_sum_12m,S0_baseline,25,log_int,44312.7205825012,"",32679.1604359938,0.176710686659943,97931.8133650555,236354.566877558,11844,191,"44,313 Rs (+45% of mean)",
Consumption,hh,nonfood_cat_sum_12m,S_fx_alone,25,fx_alone,19038.0412462414,"",88547.6951153107,0.829995394682791,97931.8133650555,236354.566877558,11844,191,"19,038 Rs (+19% of mean)",
Consumption,hh,nonfood_ceremonies_12m,S0_baseline,25,log_int,1275.04796326051,"",6795.09989404245,0.851357325993355,26690.8276984723,77539.6847599501,11844,191,"1,275 Rs (+5% of mean)",
Consumption,hh,nonfood_ceremonies_12m,S_fx_alone,25,fx_alone,-108.868886012079,"",27954.7491995207,0.996896757608752,26690.8276984723,77539.6847599501,11844,191,-109 Rs (-0% of mean),
Consumption,hh,nonfood_clothing_footwear_12m,S0_baseline,25,log_int,2636.3069892108,**,1200.45005845783,0.0292954712334111,12151.0350613574,9186.72889092836,11844,191,"2,636 Rs (+22% of mean)",
Consumption,hh,nonfood_clothing_footwear_12m,S_fx_alone,25,fx_alone,341.554742315034,"",6881.2614062329,0.96046500829396,12151.0350613574,9186.72889092836,11844,191,342 Rs (+3% of mean),
Consumption,hh,nonfood_communication_12m,S0_baseline,25,log_int,-334.280046390534,"",372.776332294955,0.370997326318656,1087.60614408548,5612.56964674425,11844,191,-334 Rs (-31% of mean),
Consumption,hh,nonfood_communication_12m,S_fx_alone,25,fx_alone,1654.3599932582,"",2063.12460223215,0.423629276275067,1087.60614408548,5612.56964674425,11844,191,"1,654 Rs (+152% of mean)",
Consumption,hh,nonfood_electronics_tech_12m,S0_baseline,25,log_int,13.1182424334881,"",81.6853300783617,0.872583137502651,51.4650638617581,1633.43248061767,11844,191,13 Rs (+25% of mean),
Consumption,hh,nonfood_electronics_tech_12m,S_fx_alone,25,fx_alone,-67.8175758023347,"",380.973343663801,0.858903716771074,51.4650638617581,1633.43248061767,11844,191,-68 Rs (-132% of mean),
Consumption,hh,nonfood_entertainment_leisure_12m,S0_baseline,25,log_int,-123.282898556792,"",276.19851561828,0.655848309602828,540.227982302362,3303.30051472227,11844,191,-123 Rs (-23% of mean),
Consumption,hh,nonfood_entertainment_leisure_12m,S_fx_alone,25,fx_alone,970.471168304842,"",1473.60595446289,0.510969838493685,540.227982302362,3303.30051472227,11844,191,970 Rs (+180% of mean),
Consumption,hh,nonfood_exp_12m,S0_baseline,25,log_int,44312.7205825012,"",32679.1604359938,0.176710686659943,97931.8133650555,236354.566877558,11844,191,"44,313 Rs (+45% of mean)",
Consumption,hh,nonfood_exp_12m,S_fx_alone,25,fx_alone,19038.0412462414,"",88547.6951153107,0.829995394682791,97931.8133650555,236354.566877558,11844,191,"19,038 Rs (+19% of mean)",
Consumption,hh,nonfood_exp_30day,S0_baseline,25,log_int,194.500342962707,"",405.347438965931,0.631895831363726,1785.41080223725,4736.63024352799,11844,191,195 Rs (+11% of mean),
Consumption,hh,nonfood_exp_30day,S_fx_alone,25,fx_alone,1653.13149166585,"",2069.57839432549,0.425417113182198,1785.41080223725,4736.63024352799,11844,191,"1,653 Rs (+93% of mean)",
Consumption,hh,nonfood_fuel_lighting_12m,S0_baseline,25,log_int,646.546363943175,"",542.353212112613,0.234703701997517,4760.19350530094,4518.01522984218,11844,191,647 Rs (+14% of mean),
Consumption,hh,nonfood_fuel_lighting_12m,S_fx_alone,25,fx_alone,-1726.84668214036,"",1692.83213764503,0.308981348081874,4760.19350530094,4518.01522984218,11844,191,"-1,727 Rs (-36% of mean)",
Consumption,hh,nonfood_household_goods_12m,S0_baseline,25,log_int,2086.74953990086,"",2974.51349274108,0.483822521624122,3311.73612154604,38058.6565449713,11844,191,"2,087 Rs (+63% of mean)",
Consumption,hh,nonfood_household_goods_12m,S_fx_alone,25,fx_alone,-7482.97395368373,"",6502.54614173888,0.251270609226933,3311.73612154604,38058.6565449713,11844,191,"-7,483 Rs (-226% of mean)",
Consumption,hh,nonfood_housing_improvement_12m,S0_baseline,25,log_int,30398.936603351,"",25641.3445110291,0.23728309773155,26367.2092829118,174289.403126844,11844,191,"30,399 Rs (+115% of mean)",
Consumption,hh,nonfood_housing_improvement_12m,S_fx_alone,25,fx_alone,-32671.2950438937,"",77635.5911805117,0.674355692410838,26367.2092829118,174289.403126844,11844,191,"-32,671 Rs (-124% of mean)",
Consumption,hh,nonfood_jewellery_luxury_12m,S0_baseline,25,log_int,847.792347290086,"",1438.04822756653,0.556196948501733,2916.31772268136,20319.0452854656,11844,191,848 Rs (+29% of mean),
Consumption,hh,nonfood_jewellery_luxury_12m,S_fx_alone,25,fx_alone,6936.30758908656,"",5584.56797136372,0.215749375809751,2916.31772268136,20319.0452854656,11844,191,"6,936 Rs (+238% of mean)",
Consumption,hh,nonfood_legal_insurance_12m,S0_baseline,25,log_int,-2648.75282252909,**,1224.58394564199,0.0317916662374369,1062.22180482511,18133.9006907399,11844,191,"-2,649 Rs (-249% of mean)",
Consumption,hh,nonfood_legal_insurance_12m,S_fx_alone,25,fx_alone,-2919.0388637761,"",2708.30160416916,0.282484337949973,1062.22180482511,18133.9006907399,11844,191,"-2,919 Rs (-275% of mean)",
Consumption,hh,nonfood_other_nonfood_12m,S0_baseline,25,log_int,-379.250286641554,"",229.472500404051,0.100042444063357,760.872777360381,2451.7940628735,11844,191,-379 Rs (-50% of mean),
Consumption,hh,nonfood_other_nonfood_12m,S_fx_alone,25,fx_alone,10.3418940717032,"",1024.54660502386,0.991956786872762,760.872777360381,2451.7940628735,11844,191,10 Rs (+1% of mean),
Consumption,hh,nonfood_personal_care_12m,S0_baseline,25,log_int,2250.3899634992,***,637.860097215469,0.000524986675380627,4235.30261290592,3435.90397895743,11844,191,"2,250 Rs (+53% of mean)",
Consumption,hh,nonfood_personal_care_12m,S_fx_alone,25,fx_alone,1186.73656252368,"",1655.30566818176,0.474298317443905,4235.30261290592,3435.90397895743,11844,191,"1,187 Rs (+28% of mean)",
Consumption,hh,nonfood_taxes_12m,S0_baseline,25,log_int,142.311111211971,"",210.797294242502,0.500427365122026,239.62651306453,1857.09668594198,11844,191,142 Rs (+59% of mean),
