dataset,outcome,sample,threshold,beta,stars,mean_y,beta_pp,pct_of_mean,se,pval,n,n_unit,n_muni,n_years,sd_y,r2_within,err,group,spec,lag
census,occ_share_technicians,full,50,-0.0012435482145856,**,0.0141066353461905,-0.12435482145856,-8.81534245458061,0.000491336600068932,0.0117578122205205,1203,401,401,3,0.0165332483568068,0.135374582033976,,curated,urb_full,0
census,occ_share_technicians,full,100,-0.00142699297414504,*,0.0150601484395419,-0.142699297414504,-9.47529156086091,0.000732723669105164,0.052369373109763,939,313,313,3,0.017441398802964,0.150434596832466,,curated,urb_full,0
census,occ_share_technicians,rural,0,-0.000273491468008304,"",0.00769873384016552,-0.0273491468008304,-3.55242139404087,0.000350073187466189,0.435094801708175,1281,427,427,3,0.00889905531554935,0.033088379090263,,curated,urb_rural,0
census,occ_share_technicians,rural,25,-0.000902242418096366,**,0.00797192010949731,-0.0902242418096366,-11.3177553927251,0.000412505106147377,0.0296238765814992,777,259,259,3,0.0103003759931329,0.131646114932973,,curated,urb_rural,0
census,occ_share_technicians,rural,50,-0.000518545873960233,"",0.0075377938683143,-0.0518545873960233,-6.87927904396512,0.000391244691437711,0.186486963171009,633,211,211,3,0.00753688187179136,0.0930164193694796,,curated,urb_rural,0
census,occ_share_technicians,rural,100,0.000158181590693474,"",0.00750692016230933,0.0158181590693474,2.10714363911408,0.000600273246197516,0.792512168839426,456,152,152,3,0.00758049901091563,0.146590133177244,,curated,urb_rural,0
census,occ_share_technicians,urban,0,-0.000563725992610146,"",0.0180663851936212,-0.0563725992610146,-3.12030318499565,0.000448207886123664,0.209514179563181,861,287,287,3,0.0181990932149071,0.0909437706889383,,curated,urb_urban,0
census,occ_share_technicians,urban,25,-0.00131407491773989,*,0.0202801974715182,-0.131407491773989,-6.47959626421488,0.000702785186188929,0.0628694303477975,648,216,216,3,0.0194874878226593,0.154166828937455,,curated,urb_urban,0
census,occ_share_technicians,urban,50,-0.00243196617935701,**,0.0214015066716214,-0.243196617935701,-11.3635278892856,0.000997772858177652,0.0157191729094738,570,190,190,3,0.0203232998334811,0.188884007690816,,curated,urb_urban,0
census,occ_share_technicians,urban,100,-0.00279276603421069,**,0.022191146564631,-0.279276603421069,-12.5850461402562,0.00122470761262252,0.0239068956629026,483,161,161,3,0.0208043278927336,0.207118969514176,,curated,urb_urban,0
hh,crop_simpson_diversity,full,0,-0.108994975747681,**,0.222684916431967,-10.8994975747681,-48.9458278064292,0.0489202331867305,0.0267992858169723,3900,3037,281,3,0.249111553090237,0.014897972999134,,curated,urb_full,0
hh,crop_simpson_diversity,full,25,-0.1252379074077,***,0.218716540701697,-12.52379074077,-57.2603731779525,0.0375296878885775,0.00103891575511985,2928,2209,191,3,0.24889091239525,0.0264242312200995,,curated,urb_full,0
hh,crop_simpson_diversity,full,50,-0.0918491999554707,***,0.220573613441766,-9.18491999554707,-41.6410641881786,0.034701957053786,0.00899313262980189,2618,1968,169,3,0.249885595690561,0.0253944360533029,,curated,urb_full,0
hh,crop_simpson_diversity,full,100,-0.0821785472835553,**,0.216401632169936,-8.21785472835553,-37.9750126926132,0.0412153066221324,0.0484906938971078,2068,1587,133,3,0.24790918431055,0.021772250941406,,curated,urb_full,0
hh,crop_simpson_diversity,rural,0,-0.0969229899271972,"",0.20795497755728,-9.69229899271972,-46.6076797322634,0.0674888229913125,0.153384839465581,1768,1514,156,3,0.243904496461057,0.0412918335313416,,curated,urb_rural,0
hh,crop_simpson_diversity,rural,25,-0.0648628757865709,"",0.192694720923575,-6.48628757865709,-33.6609511021822,0.0468888819936731,0.170228803005906,1122,999,98,3,0.241098349745743,0.0784345564412497,,curated,urb_rural,0
hh,crop_simpson_diversity,rural,50,-0.0773860437672294,*,0.196792120546412,-7.73860437672294,-39.3237511503813,0.0420922952781835,0.0701153683553189,1006,882,85,3,0.242565323547015,0.0843281253612536,,curated,urb_rural,0
hh,crop_simpson_diversity,rural,100,-0.0713390373672809,"",0.198263194961494,-7.13390373672809,-35.9819871666732,0.0475941376173979,0.140186297613703,701,633,61,3,0.243998518813373,0.10774656358049,,curated,urb_rural,0
hh,crop_simpson_diversity,urban,0,-0.113244809544805,*,0.236163602434504,-11.3244809544805,-47.9518470998136,0.0640340331602819,0.0796982573186513,2132,1523,125,3,0.253076032721928,0.0223815994612699,,curated,urb_urban,0
hh,crop_simpson_diversity,urban,25,-0.149961411466306,**,0.237580365376595,-14.9961411466306,-63.120288256396,0.0653398073143403,0.0241618332573964,1806,1210,93,3,0.252773100552031,0.0394384082037048,,curated,urb_urban,0
hh,crop_simpson_diversity,urban,50,-0.0739185561747761,"",0.237648399885204,-7.39185561747761,-31.1041674214858,0.0713612772020031,0.303520971672902,1612,1086,84,3,0.253698926973976,0.0513605334805757,,curated,urb_urban,0
hh,crop_simpson_diversity,urban,100,-0.0770054625225058,"",0.227111849489271,-7.70054625225058,-33.9064045736387,0.0714500853004367,0.285067951999985,1367,954,72,3,0.249639994282638,0.0451858456015737,,curated,urb_urban,0
hh,food_exp_protein_7day,full,0,116.502674188998,**,695.108696920205,11650.2674188998,16.7603534102194,50.6196385971141,0.0220959187363583,16955,5906,281,3,585.704252253088,0.00664274184821245,,curated,urb_full,0
hh,food_exp_protein_7day,full,25,-13.0483788026529,"",723.57801152016,-1304.83788026529,-1.80331333939234,67.6317995691125,0.847217830383219,11844,4130,191,3,599.735388118167,0.00783961155581003,,curated,urb_full,0
hh,food_exp_protein_7day,full,50,-14.3753698513201,"",737.136907003012,-1437.53698513201,-1.95016281436325,64.9267632724853,0.825042869953501,10509,3657,169,3,597.368740192583,0.0093424317117683,,curated,urb_full,0
hh,food_exp_protein_7day,full,100,-19.6803863040584,"",748.538094684192,-1968.03863040584,-2.62917631631848,68.2840749236036,0.773635441677008,8506,2956,133,3,607.720180363834,0.0144912087932358,,curated,urb_full,0
hh,food_exp_protein_7day,rural,0,153.413730814313,"",689.539484572645,15341.3730814313,22.2487231328594,100.059573667253,0.127259269626027,8361,2915,156,3,606.757555567408,0.0116607671395608,,curated,urb_rural,0
