dataset,outcome,sample,threshold,beta,stars,mean_y,beta_pp,pct_of_mean,se,pval,n,n_unit,n_muni,n_years,sd_y,r2_within,err,group,spec,lag
hh,food_exp_protein_7day,receiver,25,4.82236204801391,"",709.500590192081,482.236204801391,0.679684007973603,74.9871763895799,0.94881514610136,9217,3213,142,3,573.345373426649,0.00841713409226952,,curated,net_receiver,0
hh,food_exp_protein_7day,receiver,50,3.37338019464326,"",724.996644295302,337.338019464326,0.465295973600291,71.9574886168969,0.962686653137459,7960,2770,121,3,564.232680131788,0.0121321746234657,,curated,net_receiver,0
hh,food_exp_protein_7day,receiver,100,-22.0869681778678,"",738.762244062244,-2208.69681778678,-2.989726174475,82.983199003577,0.790751584699423,6041,2100,87,3,568.946642319438,0.0202244294775664,,curated,net_receiver,0
hh,food_exp_protein_7day,sender,0,-131.807815076119,"",777.903472222222,-13180.7815076119,-16.9439808128876,174.956232146947,0.454621678833145,2844,993,53,3,680.180226526457,0.0329277876502924,,curated,net_sender,0
hh,food_exp_protein_7day,sender,25,-136.991845996897,"",772.896616541353,-13699.1845996897,-17.7244722081879,115.086325367132,0.239766738508198,2627,917,49,3,682.037814710871,0.0321281293328195,,curated,net_sender,0
hh,food_exp_protein_7day,sender,50,-281.833389807248,**,775.026958882855,-28183.3389807248,-36.364333727628,123.15309927934,0.0266507677165257,2549,887,48,3,689.386819706642,0.0367435825350465,,curated,net_sender,0
hh,food_exp_protein_7day,sender,100,-294.827039591513,**,772.487359550562,-29482.7039591513,-38.1659370792869,128.674968975474,0.0266835881367948,2465,856,46,3,693.152911551544,0.036962562415007,,curated,net_sender,0
hh,food_exp_staples_7day,full,0,-43.6474978529603,"",644.719027064862,-4364.74978529603,-6.77000305880055,48.5782448432565,0.369691633644724,16955,5906,281,3,409.373091492198,0.00636790244678132,,curated,net_full,0
hh,food_exp_staples_7day,full,25,-13.3984804041279,"",649.701853243176,-1339.84804041279,-2.06225060575794,41.296266941039,0.745956000292646,11844,4130,191,3,412.762575285629,0.0107271981891719,,curated,net_full,0
hh,food_exp_staples_7day,full,50,-0.592579076592177,"",657.126741340362,-59.2579076592177,-0.0901772883848061,36.426431542823,0.987040023645804,10509,3657,169,3,424.375514318,0.0122941135211899,,curated,net_full,0
