dataset,outcome,group,spec,threshold,beta,stars,mean_y,beta_pp,pct_of_mean,se,pval,n,n_unit,n_muni,n_years,sd_y,r2_within,err,fe_struct,sample
hh,n_migrants_total,migrant HHs only,first_stage_pref,50,0.0149266420678129,"",1.66697830964847,1.49266420678129,0.895431091179624,0.0421036072510484,0.723392560387811,5348,2111,169,3,1.23806351453955,0.00445469216902217,,lgcode + year,HH migrant-only
hh,n_migrants_total,migrant HHs only,first_stage_pref,100,-0.00288599761686863,"",1.6667426487349,-0.288599761686863,-0.173151963145551,0.0421443135308114,0.945508013760261,4387,1727,133,3,1.25814969857858,0.00411644379163434,,lgcode + year,HH migrant-only
hh,n_migrants_total,migrant HHs only,first_stage_pref,0,-0.00304786775071045,"",1.66509433962264,-0.304786775071045,-0.18304474876788,0.0517908964029653,0.953113968516913,7899,3294,281,3,1.21029644898489,0.0186328009699548,,hhid + year,HH migrant-only
hh,n_migrants_total,migrant HHs only,first_stage_pref,25,0.00349866605352144,"",1.65841668079336,0.349866605352144,0.210964234383348,0.0521230490212521,0.946554201887897,5646,2330,191,3,1.22583177841232,0.026264953462288,,hhid + year,HH migrant-only
hh,n_migrants_total,migrant HHs only,first_stage_pref,50,-0.0327576123175329,"",1.66697830964847,-3.27576123175329,-1.96508929527948,0.050995274582776,0.521511426237283,5124,2111,169,3,1.23806351453955,0.0276611874858459,,hhid + year,HH migrant-only
hh,n_migrants_total,migrant HHs only,first_stage_pref,100,-0.0355394919244956,"",1.6667426487349,-3.55394919244956,-2.13227230679379,0.0503102158053509,0.481180048334365,4213,1727,133,3,1.25814969857858,0.0279709607656012,,hhid + year,HH migrant-only
hh,log_n_migrants_total,migrant HHs only,first_stage_pref,0,-0.0200565158097777,"",0.912175516438876,-2.00565158097777,-2.19875620955911,0.0187547016031521,0.28580479040729,8268,3294,281,3,0.337559685049943,0.00208325243813667,,lgcode + year,HH migrant-only
hh,log_n_migrants_total,migrant HHs only,first_stage_pref,25,0.0115220482779712,"",0.909387056882897,1.15220482779712,1.26701256530583,0.0123270056776126,0.35112949115705,5899,2330,191,3,0.336805759684585,0.00438740108424152,,lgcode + year,HH migrant-only
hh,log_n_migrants_total,migrant HHs only,first_stage_pref,50,0.00499046691610967,"",0.911909543158352,0.499046691610967,0.547254599269292,0.011816483897023,0.673323469190899,5348,2111,169,3,0.338439962536474,0.00456253073782842,,lgcode + year,HH migrant-only
hh,log_n_migrants_total,migrant HHs only,first_stage_pref,100,-0.00127212065028402,"",0.910434695986105,-0.127212065028402,-0.139726732284314,0.0113551415058568,0.910969512472264,4387,1727,133,3,0.340805219872177,0.00423654896055614,,lgcode + year,HH migrant-only
hh,log_n_migrants_total,migrant HHs only,first_stage_pref,0,-0.00908024944722831,"",0.912175516438876,-0.908024944722831,-0.995449810216078,0.0156459943660948,0.562141207708706,7899,3294,281,3,0.337559685049943,0.0168574748655232,,hhid + year,HH migrant-only
hh,log_n_migrants_total,migrant HHs only,first_stage_pref,25,0.000983692443581607,"",0.909387056882897,0.0983692443581607,0.108170930753447,0.0143623298947767,0.945466692934722,5646,2330,191,3,0.336805759684585,0.0257927747580243,,hhid + year,HH migrant-only
hh,log_n_migrants_total,migrant HHs only,first_stage_pref,50,-0.00938652728663087,"",0.911909543158352,-0.938652728663087,-1.02932657707705,0.014553681565005,0.519833547685274,5124,2111,169,3,0.338439962536474,0.0274192415419043,,hhid + year,HH migrant-only
