outcome_group,dataset,outcome,spec,threshold,lag,treatment_kind,c_mig_log_flag,scale_form,beta,stars,se,pval,mean_y,sd_y,n,n_muni,n_unit,interpret,err
Assets / amenities,census,amen_assets_car,S_log_log_lag8,0,8,log_int,TRUE,log/log,-0.000999682092555754,"",0.000850360852962903,0.240148154917356,0.0117554383176144,0.0151658398360243,1428,714,714,-0.10pp (-9% of mean),
Assets / amenities,census,amen_assets_car,S_log_log_lag8,25,8,log_int,TRUE,log/log,0.0102839712486402,**,0.00446304426527667,0.0216401217245516,0.0144371932551387,0.0172204882008469,950,475,475,+1.03pp (+71% of mean),
Assets / amenities,census,amen_assets_car,S_log_log_lag8,50,8,log_int,TRUE,log/log,0.0182596925516628,***,0.00514661058299904,0.000434376620652827,0.0150158344865028,0.0180190535994542,802,401,401,+1.83pp (+122% of mean),
Assets / amenities,census,amen_assets_car,S_log_log_lag8,100,8,log_int,TRUE,log/log,0.0164416652595319,***,0.00546514306373955,0.00283957212400242,0.0159548358937533,0.0191931033735734,626,313,313,+1.64pp (+103% of mean),
Assets / amenities,census,amen_assets_car,S_log_log_lag9,0,9,log_int,TRUE,log/log,-0.00233816575452376,***,0.000799098233894111,0.00354258873408195,0.0117554383176144,0.0151658398360243,1428,714,714,-0.23pp (-20% of mean),
Assets / amenities,census,amen_assets_car,S_log_log_lag9,25,9,log_int,TRUE,log/log,0.00344547541118748,"",0.00258658320934075,0.183481675232047,0.0144371932551387,0.0172204882008469,950,475,475,+0.34pp (+24% of mean),
Assets / amenities,census,amen_assets_car,S_log_log_lag9,50,9,log_int,TRUE,log/log,0.00934412861397217,***,0.00278273066543198,0.000860659784968486,0.0150158344865028,0.0180190535994542,802,401,401,+0.93pp (+62% of mean),
Assets / amenities,census,amen_assets_car,S_log_log_lag9,100,9,log_int,TRUE,log/log,0.0115424948154804,***,0.00281063976252858,0.0000513153965223897,0.0159548358937533,0.0191931033735734,626,313,313,+1.15pp (+72% of mean),
Assets / amenities,census,amen_assets_car,S_lin_lin_lag6,0,6,lin_int,FALSE,lin/lin,0.0150328854608554,***,0.00394721437528958,0.000151867875013947,0.0117554383176144,0.0151658398360243,1428,714,714,+1.50pp (+128% of mean),
Assets / amenities,census,amen_assets_car,S_lin_lin_lag6,25,6,lin_int,FALSE,lin/lin,0.0104065606371803,"",0.00748200212138105,0.16491465150143,0.0144371932551387,0.0172204882008469,950,475,475,+1.04pp (+72% of mean),
Assets / amenities,census,amen_assets_car,S_lin_lin_lag6,50,6,lin_int,FALSE,lin/lin,0.000277662399977816,"",0.00752663679858385,0.970590611283232,0.0150158344865028,0.0180190535994542,802,401,401,+0.03pp (+2% of mean),
Assets / amenities,census,amen_assets_car,S_lin_lin_lag6,100,6,lin_int,FALSE,lin/lin,-0.00942456746570316,"",0.00752717943860495,0.211481571280725,0.0159548358937533,0.0191931033735734,626,313,313,-0.94pp (-59% of mean),
Assets / amenities,census,amen_assets_car,S_lin_lin_lag7,0,7,lin_int,FALSE,lin/lin,0.0122655067912573,**,0.00476507994234035,0.0102526279332576,0.0117554383176144,0.0151658398360243,1428,714,714,+1.23pp (+104% of mean),
Assets / amenities,census,amen_assets_car,S_lin_lin_lag7,25,7,lin_int,FALSE,lin/lin,0.0134440997623207,"",0.00830584685565314,0.106191880282004,0.0144371932551387,0.0172204882008469,950,475,475,+1.34pp (+93% of mean),
Assets / amenities,census,amen_assets_car,S_lin_lin_lag7,50,7,lin_int,FALSE,lin/lin,0.00933211509041558,"",0.00926931234966216,0.314651376643836,0.0150158344865028,0.0180190535994542,802,401,401,+0.93pp (+62% of mean),
Assets / amenities,census,amen_assets_car,S_lin_lin_lag7,100,7,lin_int,FALSE,lin/lin,0.00201132161478507,"",0.0106823378357351,0.850775820114606,0.0159548358937533,0.0191931033735734,626,313,313,+0.20pp (+13% of mean),
Assets / amenities,census,amen_assets_car,S_lin_lin_lag8,0,8,lin_int,FALSE,lin/lin,0.000828101061403293,"",0.00296023229889755,0.779756648390373,0.0117554383176144,0.0151658398360243,1428,714,714,+0.08pp (+7% of mean),
Assets / amenities,census,amen_assets_car,S_lin_lin_lag8,25,8,lin_int,FALSE,lin/lin,0.0150702933641793,**,0.00702835208968537,0.0325236467442801,0.0144371932551387,0.0172204882008469,950,475,475,+1.51pp (+104% of mean),
Assets / amenities,census,amen_assets_car,S_lin_lin_lag8,50,8,lin_int,FALSE,lin/lin,0.0255890984987806,***,0.00904559992714477,0.00490593236901511,0.0150158344865028,0.0180190535994542,802,401,401,+2.56pp (+170% of mean),
Assets / amenities,census,amen_assets_car,S_lin_lin_lag8,100,8,lin_int,FALSE,lin/lin,0.0306114542268509,***,0.0096778105179498,0.00171489761774392,0.0159548358937533,0.0191931033735734,626,313,313,+3.06pp (+192% of mean),
Assets / amenities,census,amen_assets_car,S_lin_lin_lag9,0,9,lin_int,FALSE,lin/lin,-0.00333806873794063,"",0.00240826381040502,0.166152951099499,0.0117554383176144,0.0151658398360243,1428,714,714,-0.33pp (-28% of mean),
