dataset,outcome,group,spec,threshold,beta,stars,mean_y,beta_pp,pct_of_mean,se,pval,n,n_unit,n_muni,n_years,sd_y,r2_within,err,grid_c_mig,grid_c_fx,grid_block_set,grid_treatment
census,ent_has_nonagro,Enterprise,tx_log_int_nocmig_cfx_blk_none,0,0.00191863825790438,"",0.13044985616077,0.191863825790438,1.47078602795836,0.00196712727353745,0.329717297909501,1428,714,714,2,0.0808586613944414,0.0174280881029713,,FALSE,TRUE,none,log_int
census,ent_cottage,Enterprise,tx_log_int_nocmig_cfx_blk_none,0,-0.002224897144333,"",0.0610141031096225,-0.222489714433301,-3.64652929558858,0.00219547602462404,0.311213492474148,1424,714,714,2,0.0819324000786066,0.0018933606963154,,FALSE,TRUE,none,log_int
census,ent_trade,Enterprise,tx_log_int_nocmig_cfx_blk_none,0,0.00360813034665006,"",0.160805823851676,0.360813034665006,2.24378089065862,0.00231366368571249,0.119325941426241,1424,714,714,2,0.141538044824238,0.0046193666913642,,FALSE,TRUE,none,log_int
census,ent_transport,Enterprise,tx_log_int_nocmig_cfx_blk_none,0,5.47610586865808e-05,"",0.0111031020325206,0.00547610586865808,0.493205038791749,0.000481065252365334,0.909402382947166,1424,714,714,2,0.0174076958511481,0.000438619577426191,,FALSE,TRUE,none,log_int
census,ent_services,Enterprise,tx_log_int_nocmig_cfx_blk_none,0,0.00847182351027741,***,0.184987170978896,0.847182351027741,4.57968164248747,0.00296949347855825,0.00445736341675898,1424,714,714,2,0.199160487150713,0.0133200501114399,,FALSE,TRUE,none,log_int
census,ent_other,Enterprise,tx_log_int_nocmig_cfx_blk_none,0,-0.0113763075976005,***,0.127611385499748,-1.13763075976005,-8.91480611471224,0.00290785303147753,0.00010020631488734,1424,714,714,2,0.148561215247708,0.0227693187065383,,FALSE,TRUE,none,log_int
census,ent_female_owner_share,Enterprise,tx_log_int_nocmig_cfx_blk_none,0,-0.00300128132805829,***,0.0410761353900376,-0.300128132805829,-7.30663023568231,0.000874503326869355,0.000633760212173601,714,714,714,1,0.0277815193078132,,1-year outcome: cross-section (no entity FE),FALSE,TRUE,none,log_int
census,absent_hh_share,Absent HH,tx_log_int_nocmig_cfx_blk_none,0,0.0170865405464416,***,0.212706407126807,1.70865405464416,8.03292236338481,0.00143405609843154,5.61407395980793e-30,2142,714,714,3,0.135023030004202,0.11365204113172,,FALSE,TRUE,none,log_int
census,hh_death_12m,Absent HH,tx_log_int_nocmig_cfx_blk_none,0,-0.00186085958508551,***,0.0298942820585817,-0.186085958508551,-6.22480105539554,0.000291522534911927,3.12250770915619e-10,1428,714,714,2,0.00991701666136726,0.0603930635788764,,FALSE,TRUE,none,log_int
census,mar_ever_married_15_60,Marriage,tx_log_int_nocmig_cfx_blk_none,0,-0.0116682166079326,***,0.754170902995177,-1.16682166079326,-1.54715815229578,0.000826104184576872,4.04503241075144e-40,2142,714,714,3,0.0509260167939982,0.184487837267642,,FALSE,TRUE,none,log_int
census,mar_never_married_15_60,Marriage,tx_log_int_nocmig_cfx_blk_none,0,0.0117276882267845,***,0.244374862159695,1.17276882267845,4.79905671276477,0.000834502124667176,8.8680626439261e-40,2142,714,714,3,0.0517803006600111,0.185782479026094,,FALSE,TRUE,none,log_int
