outcome_group,dataset,outcome,spec,threshold,lag,treatment_kind,c_mig_log_flag,beta,stars,se,pval,mean_y,sd_y,n,n_muni,interpret,err
Assets / amenities,census,amen_assets_car,S_lag4,50,4,log_int,FALSE,-0.0020629283580708,***,0.000742373072882466,0.00571269714968682,0.0150158344865028,0.0180190535994542,802,401,-0.21pp (-14% of mean),
Assets / amenities,census,amen_assets_car,S_lag4,100,4,log_int,FALSE,-0.00278199427311359,***,0.000907846086635357,0.00237152038140636,0.0159548358937533,0.0191931033735734,626,313,-0.28pp (-17% of mean),
Assets / amenities,census,amen_assets_car,S_lag5,0,5,log_int,FALSE,-0.00260017630275451,***,0.000511772107707054,0.000000480688865700501,0.0117554383176144,0.0151658398360243,1428,714,-0.26pp (-22% of mean),
Assets / amenities,census,amen_assets_car,S_lag5,25,5,log_int,FALSE,-0.00229094196328295,***,0.000748882373977244,0.00234539803386688,0.0144371932551387,0.0172204882008469,950,475,-0.23pp (-16% of mean),
Assets / amenities,census,amen_assets_car,S_lag5,50,5,log_int,FALSE,-0.00202904891548403,***,0.000755240135724875,0.00751861281274222,0.0150158344865028,0.0180190535994542,802,401,-0.20pp (-14% of mean),
Assets / amenities,census,amen_assets_car,S_lag5,100,5,log_int,FALSE,-0.00274401496574542,***,0.000926693893415342,0.00330083825723521,0.0159548358937533,0.0191931033735734,626,313,-0.27pp (-17% of mean),
Assets / amenities,census,amen_assets_car,S_lag10,0,10,log_int,FALSE,-0.00427369539773316,***,0.000863055868719248,0.000000918680737932344,0.0117554383176144,0.0151658398360243,1428,714,-0.43pp (-36% of mean),
Assets / amenities,census,amen_assets_car,S_lag10,25,10,log_int,FALSE,-0.000767457361877187,"",0.00176248855164729,0.663441560657202,0.0144371932551387,0.0172204882008469,950,475,-0.08pp (-5% of mean),
Assets / amenities,census,amen_assets_car,S_lag10,50,10,log_int,FALSE,0.00280888296716861,"",0.00188450463931378,0.13687691480994,0.0150158344865028,0.0180190535994542,802,401,+0.28pp (+19% of mean),
Assets / amenities,census,amen_assets_car,S_lag10,100,10,log_int,FALSE,0.00415740914111987,**,0.00193061035549509,0.0320518836006488,0.0159548358937533,0.0191931033735734,626,313,+0.42pp (+26% of mean),
Assets / amenities,census,amen_assets_car,S_both_log,0,0,log_int,TRUE,0.00311016969539778,***,0.000925437839185819,0.000818722346894019,0.0117554383176144,0.0151658398360243,1428,714,+0.31pp (+26% of mean),
