hhid,year,any_shock,coped_self,coped_external,cope_category
970,2016,1,0,0,neither
971,2016,1,1,0,self_only
972,2016,1,1,1,both
973,2017,1,0,0,neither
973,2018,1,0,0,neither
974,2017,1,0,0,neither
974,2018,1,0,0,neither
975,2016,1,1,0,self_only
976,2016,1,1,0,self_only
977,2016,1,1,1,both
977,2017,1,0,1,external_only
977,2018,1,0,0,neither
978,2016,1,0,0,neither
979,2016,1,0,1,external_only
980,2016,1,0,0,neither
981,2016,1,1,0,self_only
981,2017,1,0,0,neither
982,2016,1,0,0,neither
983,2018,1,0,1,external_only
984,2016,1,1,0,self_only
985,2016,1,1,1,both
985,2018,1,0,0,neither
986,2016,1,0,0,neither
987,2016,1,1,0,self_only
988,2016,1,0,0,neither
989,2016,1,0,0,neither
990,2016,1,1,1,both
993,2016,1,1,0,self_only
994,2016,1,0,0,neither
994,2017,1,1,0,self_only
995,2018,1,0,0,neither
996,2016,1,1,0,self_only
997,2016,1,1,0,self_only
997,2017,1,1,0,self_only
998,2016,1,1,0,self_only
999,2016,1,0,1,external_only
999,2017,1,0,1,external_only
1000,2017,1,0,0,neither
1001,2016,1,1,0,self_only
1002,2017,1,0,0,neither
1002,2018,1,0,0,neither
1003,2017,1,1,0,self_only
1004,2016,1,1,0,self_only
