hhid,year,wt_hh,psu,vdc,vmun_code,lgname,district77,district_name,s00q03a,s00q03b,s00q03c,has_nonag_enterprise,n_nonag_enterprises,n_enterprises_valid_sector,n_full_owned,n_partial_owned,enterprise_workers_total,enterprise_workers_mean,enterprise_revenue_12m,enterprise_expenses_12m,enterprise_profit_12m,enterprise_capex_12m,enterprise_asset_sales_12m,enterprise_rev_per_firm,enterprise_profit_per_firm,enterprise_rev_per_worker,enterprise_profit_margin,ind_agri_forestry_fish,ind_mining_quarrying,ind_manufacturing,ind_electricity_gas_water,ind_water_waste,ind_construction,ind_wholesale_retail,ind_accommodation_food,ind_transport_storage,ind_information_comm,ind_financial_insurance,ind_real_estate,ind_professional_technical,ind_public_admin_defence,ind_education,ind_health_social,ind_others,sector_agriculture_share,sector_manufacturing_construction_share,sector_services_share
21,2017,487.4611206054687,4,Ganeshthan,30503,Suryagadhi Gaunpalika,Nuwakot,Nuwakot,Rural municipality,Surya Gadi,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2018,487.4611206054687,4,Ganeshthan,30503,Suryagadhi Gaunpalika,Nuwakot,Nuwakot,Rural municipality,Surya Gadi,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2016,898.64581298828125,5,Chhinnamasta,20118,Chhinnamasta Gaunpalika,Saptari,Saptari,Rural municipality,chinamasta,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2017,898.64581298828125,5,Chhinnamasta,20118,Chhinnamasta Gaunpalika,Saptari,Saptari,Rural municipality,chinamasta,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2018,898.64581298828125,5,Chhinnamasta,20118,Chhinnamasta Gaunpalika,Saptari,Saptari,Rural municipality,chinamasta,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2016,634.085205078125,6,Narayanpur,70810,Tikapur Municipality,Kailali,Kailali,Municipality,Tikapur,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2017,634.085205078125,6,Narayanpur,70810,Tikapur Municipality,Kailali,Kailali,Municipality,Tikapur,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2018,634.085205078125,6,Narayanpur,70810,Tikapur Municipality,Kailali,Kailali,Municipality,Tikapur,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2016,547.52593994140625,5,Jalapadevi,70704,Sanphebagar Municipality,Achham,Achham,Municipality,SanfeBagar,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2017,547.52593994140625,5,Jalapadevi,70704,Sanphebagar Municipality,Achham,Achham,Municipality,SanfeBagar,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2018,547.52593994140625,5,Jalapadevi,70704,Sanphebagar Municipality,Achham,Achham,Municipality,SanfeBagar,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2016,754.5958251953125,4,Bhote Odar,40606,Sundarbazar Municipality,Lamjung,Lamjung,Municipality,Sundarbazar,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2017,754.5958251953125,4,Bhote Odar,40606,Sundarbazar Municipality,Lamjung,Lamjung,Municipality,Sundarbazar,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2018,754.5958251953125,4,Bhote Odar,40606,Sundarbazar Municipality,Lamjung,Lamjung,Municipality,Sundarbazar,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2016,631.615234375,4,Gaidakot,40801,Gaidakot Nagarpalika,Nawalparasi East,Nawalparasi,Municipality,Gaidakot Municipality,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2017,631.615234375,4,Gaidakot,40801,Gaidakot Nagarpalika,Nawalparasi East,Nawalparasi,Municipality,Gaidakot Municipality,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2018,631.615234375,4,Gaidakot,40801,Gaidakot Nagarpalika,Nawalparasi East,Nawalparasi,Municipality,Gaidakot Municipality,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2016,754.5958251953125,2,Isma Rajasthal,50405,Isma Gaunpalika,Gulmi,Gulmi,Rural municipality,Isma rajsthal Gaaupalika,5,1,1,1,0,0,1,1,35000,10200,24800,10000,0,35000,24800,35000,0.7085714285714285,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
27,2017,754.5958251953125,2,Isma Rajasthal,50405,Isma Gaunpalika,Gulmi,Gulmi,Rural municipality,Isma rajsthal Gaaupalika,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2018,754.5958251953125,2,Isma Rajasthal,50405,Isma Gaunpalika,Gulmi,Gulmi,Rural municipality,Isma rajsthal Gaaupalika,5,1,1,1,1,0,1,1,20000,0,20000,0,0,20000,20000,20000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28,2016,754.5958251953125,2,Darling,41107,Badigad Gaunpalika,Baglung,Baglung,Rural municipality,Badigad,9,1,2,2,0,0,2,1,235000,62000,173000,27000,7000,117500,86500,117500,0.7361702127659574,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,1
28,2017,754.5958251953125,2,Darling,41107,Badigad Gaunpalika,Baglung,Baglung,Rural municipality,Badigad,9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2018,754.5958251953125,2,Darling,41107,Badigad Gaunpalika,Baglung,Baglung,Rural municipality,Badigad,9,1,1,1,1,0,1,1,200000,166000,34000,100000,0,200000,34000,200000,0.17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
29,2016,634.085205078125,4,Masuriya,70804,Gauriganga Municipality,Kailali,Kailali,Municipality,Gauriganga Nagar palika,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2017,634.085205078125,4,Masuriya,70804,Gauriganga Municipality,Kailali,Kailali,Municipality,Gauriganga Nagar palika,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2018,634.085205078125,4,Masuriya,70804,Gauriganga Municipality,Kailali,Kailali,Municipality,Gauriganga Nagar palika,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2016,634.085205078125,3,Beladevipur,70803,Godawari Municipality,Kailali,Kailali,Municipality,Godabari,9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2017,634.085205078125,3,Beladevipur,70803,Godawari Municipality,Kailali,Kailali,Municipality,Godabari,9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2018,634.085205078125,3,Beladevipur,70803,Godawari Municipality,Kailali,Kailali,Municipality,Godabari,9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2016,754.5958251953125,6,Kaulmabarahachaur,40901,Putalibazar Municipality,Syangja,Syangja,Municipality,Putalibazar,9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
