hhid,year,wt_hh,psu,vdc,vmun_code,lgname,district77,district_name,s00q03a,s00q03b,s00q03c,agri_hh,owned_plots_n,owned_area_sqm,cultivated_area_sqm,rented_in_area_sqm,rented_in_any,plot_wet_farmed_share,plot_wet_rented_share,plot_wet_shared_share,plot_wet_fallow_share,plot_dry_farmed_share,plot_dry_rented_share,plot_dry_shared_share,plot_dry_fallow_share,double_crop_share,wet_use_seed,wet_use_fertiliser,wet_use_pesticide,wet_use_equipment,wet_use_hired_labour,dry_use_seed,dry_use_fertiliser,dry_use_pesticide,dry_use_equipment,dry_use_hired_labour,input_total_12m_rs,input_intensity_per_sqm,n_crop_types,grows_staple,grows_cashcrop,grows_horticulture,wet_grows_staple,dry_grows_staple,crop_sold_any,crop_sales_12m_rs,crop_sale_share,owns_tractor,owns_pump,owns_modern_equip,n_modern_equip_types,ag_equip_stock_value_rs,livestock_has
16,2018,990.53192138671875,9,Dhaubini,20811,Dhobini Gaunpalika,Parsa,Parsa,Rural municipality,Dhaubni Rural Municipality,5,1,1,1693.157958984375,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,4700,,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0
17,2016,487.4611206054687,8,Kharelthok,30906,Panchkhal Municipality,Kabhrepalanchok,Kabhrepalanchok,Municipality,Pachkhal,11,1,1,254.36880493164065,2034.9479980468752,2034.9479980468752,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,9250,4.545570701992418,4,1,1,1,1,0,0,0,0,0,0,0,0,3000,1
17,2017,487.4611206054687,8,Kharelthok,30906,Panchkhal Municipality,Kabhrepalanchok,Kabhrepalanchok,Municipality,Pachkhal,11,1,1,254.36880493164065,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,6285,,2,1,0,0,1,1,0,0,0,0,0,0,0,0,1
17,2018,487.4611206054687,8,Kharelthok,30906,Panchkhal Municipality,Kabhrepalanchok,Kabhrepalanchok,Municipality,Pachkhal,11,1,1,254.36880493164065,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,9300,,3,1,1,0,1,0,0,0,0,0,0,0,0,0,1
18,2016,487.4611206054687,5,Faparbari,31210,Bagmati Gaunpalika,Makwanpur,Makwanpur,Rural municipality,Bagmati,7,1,7,5926.054412841797,677.26318359375,677.26318359375,1,0,0.14285714285714285,0.2857142857142857,0,0,0.14285714285714285,0,0.5714285714285714,0,0,1,0,0,0,1,1,0,0,0,4000,5.90612349363931,5,1,0,1,1,1,0,0,0,0,0,0,0,200,1
18,2017,487.4611206054687,5,Faparbari,31210,Bagmati Gaunpalika,Makwanpur,Makwanpur,Rural municipality,Bagmati,7,1,7,5926.054412841797,0,0,0,0,0.14285714285714285,0.14285714285714285,0,0,0.14285714285714285,0.14285714285714285,0,0,0,1,1,0,0,0,1,1,0,0,2200,,4,1,0,1,1,1,0,0,0,0,0,0,0,500,1
18,2018,487.4611206054687,5,Faparbari,31210,Bagmati Gaunpalika,Makwanpur,Makwanpur,Rural municipality,Bagmati,7,1,7,5926.054412841797,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,10450,,4,1,0,1,1,1,1,24000,0.325,0,0,0,0,3500,1
19,2016,990.53192138671875,2,Hathiyon,20516,Balara Municipality,Sarlahi,Sarlahi,Municipality,Balra,1,1,4,25736.0009765625,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,45800,,3,1,1,0,1,1,1,264000,0.3333333333333333,1,0,1,1,600000,1
19,2017,990.53192138671875,2,Hathiyon,20516,Balara Municipality,Sarlahi,Sarlahi,Municipality,Balra,1,1,4,25736.0009765625,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,1,1,0,1,0,1,0,0,1,36000,,4,1,1,0,1,1,1,215500,0.7583333333333333,1,1,1,3,1910000,1
19,2018,990.53192138671875,2,Hathiyon,20516,Balara Municipality,Sarlahi,Sarlahi,Municipality,Balra,1,1,4,25736.0009765625,0,0,0,0,0,0,0.25,0,0,0,0.25,0,1,1,1,1,1,1,1,1,1,1,140000,,3,1,1,0,1,1,1,299200,0.746031746031746,0,1,1,2,44000,0
