dcode,year,edu_literate_female,edu_literate_male,edu_school_attend_6_16_female,edu_school_attend_6_16_male,edu_attain_secondary_plus,mar_female_married_by_18,mar_female_age_first_mean,fert_birth_mean,fert_birth_son_mean,fert_birth_dau_mean,flfp_all,mlfp_all,fem_employment_rate,flfp_wage,fem_wage_share_of_employment,fem_share_of_ag_workers,fem_ag_specialization_ratio,work_share_agriculture,work_share_household_chores,fem_ownership_house,fem_ownership_land,fem_ownership_both,head_female_share,head_female_elderly,left_not_with_both,left_father_only,absent_hh_share
47,2021,0.64,0.7969,0.9376,0.9343,0.3533,0.3426,18.8162,2.2324,1.124,1.1084,0.849,0.8707,0.831,0.0617,0.0742,0.5376,1.0556,0.6681,0.2037,0.0616,0.0877,0.0574,0.3161,0.0678,0.1521,0.0097,0.1898
48,2001,0.4065,0.6587,0.7054,0.8137,0.2712,0.5644,16.8159,2.7935,1.4628,1.3307,0.6098,0.8195,0.607,0.075,0.1236,0.4895,0.9028,0.4285,0.1461,0.0666,0.1283,0.0599,0.1606,0.0274,0.1241,0.0115,0.1864
48,2011,0.6287,0.8051,0.8908,0.9097,0.2895,0.4357,17.8446,2.2924,1.1939,1.0986,0.5361,0.7585,0.5321,0.0713,0.134,0.5767,1.0955,0.3542,0.1602,0.1453,0.2443,0.1453,0.2896,0.0403,0.1579,0.0078,0.371
48,2021,0.6798,0.8415,0.9321,0.922,0.2395,0.3651,18.3793,2.2356,1.1477,1.0878,0.7481,0.8097,0.7212,0.071,0.0984,0.5693,1.0513,0.5414,0.2691,0.0666,0.097,0.0603,0.4141,0.0586,0.2679,0.0081,0.2801
49,2001,0.5616,0.7651,0.7609,0.8338,0.424,0.4952,17.4407,2.5578,1.3458,1.212,0.3271,0.7422,0.3199,0.0692,0.2164,0.3843,0.6429,0.181,0.2526,0.0618,0.1106,0.0498,0.1378,0.026,0.1046,0.0116,0.1221
49,2011,0.6108,0.8005,0.8178,0.8584,0.3735,0.4849,17.3724,2.2127,1.153,1.0596,0.3723,0.7293,0.367,0.0608,0.1658,0.4926,0.8476,0.2714,0.2448,0.149,0.2409,0.149,0.2496,0.04,0.1056,0.0094,0.2842
49,2021,0.7359,0.8775,0.9306,0.9244,0.281,0.3856,18.4162,2.2458,1.1633,1.0824,0.7519,0.7885,0.7223,0.0849,0.1175,0.6449,1.2838,0.492,0.2625,0.0912,0.1423,0.0838,0.4793,0.0779,0.3759,0.0111,0.4142
50,2001,0.2921,0.5293,0.5453,0.697,0.3359,0.666,16.0232,2.711,1.443,1.268,0.4987,0.8689,0.4964,0.0821,0.1654,0.3691,0.617,0.3867,0.2102,0.0425,0.0982,0.0375,0.0766,0.021,0.0723,0.009,0.0852
50,2011,0.4533,0.66,0.7033,0.7753,0.3135,0.5517,16.8594,2.4251,1.2611,1.164,0.3433,0.7847,0.34,0.0622,0.1829,0.3975,0.6184,0.3063,0.2779,0.0915,0.1841,0.0915,0.1646,0.032,0.0716,0.0072,0.2298
50,2021,0.7364,0.879,0.9531,0.9453,0.3509,0.3647,18.6297,2.0978,1.0896,1.0082,0.8584,0.8693,0.8401,0.1069,0.1272,0.6355,1.2509,0.6013,0.2642,0.0992,0.1521,0.0872,0.4414,0.096,0.4184,0.0126,0.4013
51,2001,0.4702,0.6727,0.8145,0.8675,0.2457,0.4783,17.6791,2.9491,1.5221,1.4269,0.69,0.7784,0.6857,0.0227,0.0332,0.6135,1.142,0.573,0.0948,0.0429,0.0892,0.0396,0.2696,0.0412,0.1497,0.008,0.4162
51,2011,0.6622,0.8298,0.917,0.9241,0.2873,0.4594,17.6854,2.5291,1.3124,1.2166,0.6772,0.7265,0.6745,0.0473,0.0702,0.7206,1.4833,0.4653,0.0945,0.1079,0.1793,0.1079,0.4252,0.0645,0.2634,0.0056,0.5396
51,2021,0.7291,0.8768,0.9469,0.958,0.3834,0.3432,18.5068,2.1217,1.1219,0.9998,0.7844,0.8171,0.7566,0.0934,0.1235,0.6374,1.2621,0.5218,0.2259,0.138,0.206,0.1227,0.4413,0.0891,0.4046,0.0116,0.4299
52,2001,0.3414,0.6223,0.6781,0.8215,0.2092,0.4781,17.7586,2.9498,1.5417,1.408,0.7289,0.8302,0.7253,0.0226,0.0311,0.5701,0.9199,0.5455,0.1042,0.0442,0.0838,0.0405,0.2854,0.0453,0.1755,0.0096,0.3826
52,2011,0.5918,0.7981,0.8761,0.9144,0.2002,0.5192,17.4402,2.8132,1.451,1.3622,0.7221,0.7258,0.7199,0.0485,0.0673,0.723,1.4983,0.5272,0.0681,0.0954,0.1546,0.0954,0.4719,0.0712,0.3232,0.0046,0.5056
52,2021,0.7681,0.8973,0.9554,0.9517,0.3476,0.3533,18.6701,1.8915,0.9956,0.8959,0.8882,0.8975,0.8696,0.0918,0.1055,0.6272,1.2684,0.6164,0.1543,0.0843,0.151,0.0697,0.4589,0.0808,0.3812,0.0133,0.3567
53,2001,0.2307,0.5317,0.5149,0.6952,0.1122,0.4727,17.7321,3.1092,1.6142,1.4951,0.8121,0.8961,0.8087,0.0192,0.0238,0.4893,0.8392,0.6394,0.0726,0.0263,0.0391,0.0225,0.1602,0.0299,0.1173,0.0129,0.227
53,2011,0.5108,0.7303,0.8315,0.8721,0.1746,0.4796,17.6408,2.6851,1.3705,1.3146,0.6445,0.7346,0.6417,0.0337,0.0525,0.6375,1.2091,0.5177,0.1193,0.047,0.0722,0.047,0.3308,0.0485,0.1625,0.0057,0.3898
53,2021,0.6856,0.8529,0.9239,0.9161,0.3983,0.302,18.5846,2.059,1.0797,0.9793,0.649,0.8152,0.6085,0.1369,0.225,0.5512,1.082,0.3386,0.2843,0.1607,0.2381,0.1228,0.2807,0.0441,0.2073,0.0064,0.2595
54,2001,0.2877,0.5068,0.6579,0.7672,0.2585,0.4236,17.9242,2.828,1.4888,1.3392,0.5957,0.8111,0.5894,0.0156,0.0264,0.4305,0.7702,0.5406,0.1559,0.0161,0.0287,0.012,0.077,0.0143,0.0796,0.0125,0.0754
54,2011,0.5434,0.7227,0.8914,0.9018,0.2768,0.5489,17.3177,2.7598,1.4081,1.3517,0.5303,0.6846,0.5277,0.0285,0.054,0.562,1.0285,0.4471,0.1427,0.0313,0.0585,0.0313,0.2544,0.0304,0.0876,0.0045,0.2355
