"lgcode","year","geog_pop_2001","geog_total_mig_2001","geog_intensity_2001","shareshock_index_2001","shareshock_growth_yoy","shareshock_log_yoy","shareshock_growth_dec","shareshock_log_dec","ssiv_index_2001","ssiv_growth_yoy","ssiv_log_yoy","ssiv_growth_dec","ssiv_log_dec","absexp_index_2001","absexp_growth_yoy","absexp_log_yoy","absexp_growth_dec","absexp_log_dec"
70404,2020,16873,9,0.000533396550702305,0.603077531366667,-0.0375569596333333,-0.0385011549111111,0,0,0.000321679475037041,-0.0000200327527232857,-0.0000205363832276418,0,0,5.4276977823,-0.3380126367,-0.3465103942,0,0
70404,2021,16873,9,0.000533396550702305,0.6038840007,0.00131572107777778,0.00131445591111111,-0.291286408433333,-0.364448279188889,0.000322109642997689,0.000000701801084572986,0.000000701126249036923,-0.000155371165524803,-0.000194395455028744,5.4349560063,0.0118414897,0.0118301032,-2.6215776759,-3.2800345127
70404,2022,16873,9,0.000533396550702305,0.576411241244444,-0.0435156194222222,-0.0448034027222222,0,0,0.000307455767865821,-0.0000232110813014876,-0.0000238979804717596,0,0,5.1877011712,-0.3916405748,-0.4032306245,0,0
70404,2023,16873,9,0.000533396550702305,0.551575857688889,-0.0411781853222222,-0.0422835517666667,0,0,0.000294208659941919,-0.0000219643020150536,-0.0000225539006637824,0,0,4.9641827192,-0.3706036679,-0.3805519659,0,0
70405,2000,34431,24,0.000697046266445935,1.03591585574583,0,0,0,0,0.000722081279599779,0,0,0,0,24.8619805379,0,0,0,0
70405,2001,34431,24,0.000697046266445935,1,-0.0334828084875,-0.0346847383791667,0,0,0.000697046266445935,-0.0000233390666463362,-0.0000241768673898522,0,0,24,-0.8035874037,-0.8324337211,0,0
70405,2002,34431,24,0.000697046266445935,0.9554235949375,-0.0445764050625,-0.045777729725,0,0,0.000665974449725538,-0.0000310718167203973,-0.0000319091955911824,0,0,22.9301662785,-1.0698337215,-1.0986655134,0,0
70405,2003,34431,24,0.000697046266445935,0.954612798554167,-0.00145954968333333,-0.00250990039583333,0,0,0.000665409287133688,-0.00000101737365745985,-0.0000017495167000668,0,0,22.9107071653,-0.0350291924,-0.0602376095,0,0
70405,2004,34431,24,0.000697046266445935,0.963726342029167,0.0069019301,0.00574897154583334,0,0,0.000671761848587029,0.00000481096460747582,0.00000400729915192704,0,0,23.1294322087,0.1656463224,0.1379753171,0,0
70405,2005,34431,24,0.000697046266445935,0.9941316359,0.0314632690916667,0.0309335826666667,0,0,0.000692955745159885,0.00002193135425053,0.0000215621383055967,0,0,23.8591592616,0.7551184582,0.742405984,0,0
70405,2006,34431,24,0.000697046266445935,0.971031817179167,-0.0230521481625,-0.0234637048833333,0,0,0.00067685410276495,-0.0000160684138102292,-0.0000163552878859168,0,0,23.3047636123,-0.5532515559,-0.5631289172,0,0
70405,2007,34431,24,0.000697046266445935,1.03977028970833,0.0672524911416667,0.0643650248125,0,0,0.000724767998402602,0.0000468780978594871,0.0000448654002352531,0,0,24.954486953,1.6140597874,1.5447605955,0,0
70405,2008,34431,24,0.000697046266445935,0.9862212627625,-0.0482540450625,-0.0507812965708333,0,0,0.000687441849098196,-0.0000336353019517295,-0.0000353969131799832,0,0,23.6693103063,-1.1580970815,-1.2187511177,0,0
70405,2009,34431,24,0.000697046266445935,0.910740451583333,-0.0717948008833333,-0.0768667533708333,0,0,0.000634828231477448,-0.0000500442979059568,-0.0000535796834509599,0,0,21.857770838,-1.7230752212,-1.8448020809,0,0
70405,2010,34431,24,0.000697046266445935,0.952112424354167,0.0427651279958333,0.0410524266291667,0,0,0.00066366641063286,0.0000298092728035782,0.0000286154407104063,0,0,22.8506981845,1.0263630719,0.9852582391,0,0
70405,2011,34431,24,0.000697046266445935,0.924803939170833,-0.0321490088208333,-0.033192905975,-0.0751960608291667,-0.0904922853291667,0.000644631132993523,-0.0000224093465684993,-0.0000231369911823647,-0.0000524151334524121,-0.0000630773096308559,22.1952945401,-0.7715762117,-0.7966297434,-1.8047054599,-2.1718148479
70405,2012,34431,24,0.000697046266445935,0.8039883189,-0.130807637595833,-0.140234356566667,0,0,0.000560417055955389,-0.0000911789754087886,-0.000097749834672243,0,0,19.2957196536,-3.1393833023,-3.3656245576,0,0
70405,2013,34431,24,0.000697046266445935,0.7436680328625,-0.0714300904208333,-0.0750594389583333,0,0,0.000518371025781999,-0.0000497900778397374,-0.0000523199016874328,0,0,17.8480327887,-1.7143221701,-1.801426535,0,0
70405,2014,34431,24,0.000697046266445935,0.708754274883333,-0.0451541769583333,-0.046728352475,0,0,0.000494034521135024,-0.0000314745504632453,-0.0000325718236298684,0,0,17.0101025972,-1.083700247,-1.1214804594,0,0
70405,2015,34431,24,0.000697046266445935,0.701447096720833,-0.00513478930416667,-0.00717579704583333,0,0,0.000488941079878598,-0.0000035791857134559,-0.0000050018625395719,0,0,16.8347303213,-0.1232349433,-0.1722191291,0,0
70405,2016,34431,24,0.000697046266445935,0.68734756735,-0.0186895438041667,-0.0203447084416667,0,0,0.000479113055572014,-0.0000130274767302721,-0.0000141812030611949,0,0,16.4963416164,-0.4485490513,-0.4882730026,0,0
70405,2017,34431,24,0.000697046266445935,0.7161480274875,0.0408771017041667,0.0398472760791667,0,0,0.000499188308782783,0.0000284932311260202,0.0000277753950190236,0,0,17.1875526597,0.9810504409,0.9563346259,0,0
70405,2018,34431,24,0.000697046266445935,0.67799821195,-0.0519564752083333,-0.0535946552208333,0,0,0.000472596122296767,-0.0000362160670616596,-0.000037357954323139,0,0,16.2719570868,-1.246955405,-1.2862717253,0,0
70405,2019,34431,24,0.000697046266445935,0.665882209204167,-0.0171997408666667,-0.0176109233291667,0,0,0.000464150707818536,-0.0000119890151549476,-0.0000122756283552612,0,0,15.9811730209,-0.4127937808,-0.4226621599,0,0
70405,2020,34431,24,0.000697046266445935,0.633066188641667,-0.0492900601375,-0.0505717441416667,0,0,0.000441276423205832,-0.00003435745239174,-0.0000352508454416079,0,0,15.1935885274,-1.1829614433,-1.2137218594,0,0
70405,2021,34431,24,0.000697046266445935,0.621507044154167,-0.0183683888041667,-0.0191029258583333,-0.318352182404167,-0.390575625966667,0.000433219164697511,-0.0000128036168365717,-0.0000133156231477448,-0.00022190620015974,-0.000272249281844849,14.9161690597,-0.4408413313,-0.4584702206,-7.6404523777,-9.3738150232
70405,2022,34431,24,0.000697046266445935,0.609913185975,-0.018168159475,-0.0196710827541667,0,0,0.000425137709140019,-0.0000126640477302431,-0.0000137116547907409,0,0,14.6379164634,-0.4360358274,-0.4721059861,0,0
