lgcode,share_e_asia,share_gulf,share_oecd_europe,share_oecd_north,share_other,share_s_asia,share_se_asia
11204,0.14479025710419485,0.6914749661705006,0.02029769959404601,0.02571041948579161,0.029769959404600813,0.006765899864682003,0.08119079837618404
11205,0.13505154639175257,0.722680412371134,0.024742268041237112,0.013402061855670102,0.04020618556701031,0.007216494845360825,0.05670103092783505
11206,0.11984282907662082,0.7229862475442044,0.0275049115913556,0.0,0.03339882121807466,0.019646365422396856,0.07662082514734773
11207,0.06716981132075471,0.7562264150943396,0.01509433962264151,0.00830188679245283,0.0369811320754717,0.01509433962264151,0.10113207547169811
11208,0.17468944099378883,0.6645962732919255,0.018633540372670808,0.020186335403726708,0.04580745341614907,0.010093167701863354,0.06599378881987578
11209,0.06887755102040816,0.7372448979591837,0.02806122448979592,0.017857142857142856,0.04081632653061224,0.02040816326530612,0.08673469387755102
11210,0.02608695652173913,0.808695652173913,0.043478260869565216,0.017391304347826087,0.06086956521739131,0.0,0.043478260869565216
11211,0.050724637681159424,0.7536231884057971,0.028985507246376812,0.043478260869565216,0.021739130434782608,0.014492753623188406,0.08695652173913043
11212,0.02702702702702703,0.6486486486486487,0.0,0.0,0.2702702702702703,0.0,0.05405405405405406
11213,0.12727272727272726,0.5818181818181818,0.03636363636363636,0.10909090909090909,0.01818181818181818,0.0,0.12727272727272726
11214,0.12650602409638553,0.23493975903614459,0.0823293172690763,0.38755020080321284,0.09236947791164658,0.03815261044176707,0.03815261044176707
11215,0.0,0.6363636363636364,0.0,0.0,0.18181818181818182,0.09090909090909091,0.09090909090909091
11216,0.0,0.782608695652174,0.0,0.0,0.08695652173913043,0.08695652173913043,0.043478260869565216
11217,0.5,0.0,0.0,0.0,0.0,0.5,0.0
11301,0.39658750288217665,0.3006686649757897,0.11344247175466912,0.040811620936130964,0.0860041503343325,0.004611482591653216,0.05787410652524787
11302,0.10034013605442177,0.6887755102040817,0.02040816326530612,0.01870748299319728,0.034013605442176874,0.06462585034013606,0.07312925170068027
11303,0.0,0.6,0.0,0.0,0.2,0.2,0.0
11304,0.05555555555555555,0.8888888888888888,0.0,0.0,0.0,0.037037037037037035,0.018518518518518517
11305,0.1357615894039735,0.6821192052980133,0.04304635761589404,0.026490066225165563,0.046357615894039736,0.0,0.06622516556291391
