dname,year,DIST,founding_year_ad,n_new_firms,emp_new_firms,rev_new_firms,cap_new_firms,n_new_firms_size_micro_1,n_new_firms_size_small_2_9,n_new_firms_size_medium_10_50,n_new_firms_size_large_51p,n_new_firms_education_health_social,n_new_firms_manufacturing,n_new_firms_other_services,n_new_firms_trade_retail,n_new_firms_finance_prof_realestate,n_new_firms_hospitality_food,n_new_firms_transport_storage,n_new_firms_agriculture,n_new_firms_construction,log_n_new_firms,log_emp_new_firms,log_rev_new_firms,log_cap_new_firms,log_n_new_firms_size_micro_1,log_n_new_firms_size_small_2_9,log_n_new_firms_size_medium_10_50,log_n_new_firms_size_large_51p,log_n_new_firms_education_health_social,log_n_new_firms_manufacturing,log_n_new_firms_other_services,log_n_new_firms_trade_retail,log_n_new_firms_finance_prof_realestate,log_n_new_firms_hospitality_food,log_n_new_firms_transport_storage,log_n_new_firms_agriculture,log_n_new_firms_construction
Nuwakot,2001,305,2001,96,339,197691360,133730776,23,65,8,0,9,16,7,40,7,6,0,11,0,4.574710978503383,5.8289456176102075,19.102217589664583,18.711339210046713,3.1780538303479458,4.189654742026425,2.1972245773362196,0,2.302585092994046,2.833213344056216,2.0794415416798357,3.713572066704308,2.0794415416798357,1.9459101490553132,0,2.4849066497880004,0
Nuwakot,2002,305,2002,51,164,291451596,99764000,16,33,2,0,2,12,6,19,1,7,0,4,0,3.9512437185814275,5.10594547390058,19.49038450193988,18.418317964786834,2.833213344056216,3.5263605246161616,1.0986122886681098,0,1.0986122886681098,2.5649493574615367,1.9459101490553132,2.995732273553991,0.6931471805599453,2.0794415416798357,0,1.6094379124341003,0
Nuwakot,2003,305,2003,222,617,642458616,188575509,71,145,5,1,9,25,13,126,4,26,0,18,1,5.407171771460119,6.42648845745769,20.280812963320756,19.055009068194543,4.276666119016055,4.983606621708336,1.791759469228055,0.6931471805599453,2.302585092994046,3.258096538021482,2.6390573296152584,4.844187086458591,1.6094379124341003,3.295836866004329,0,2.9444389791664403,0.6931471805599453
Nuwakot,2004,305,2004,53,175,50882508,62415400,10,41,2,0,7,4,3,17,4,11,0,7,0,3.9889840465642745,5.170483995038151,17.74502978788726,17.949322613784293,2.3978952727983707,3.7376696182833684,1.0986122886681098,0,2.0794415416798357,1.6094379124341003,1.3862943611198906,2.8903717578961645,1.6094379124341003,2.4849066497880004,0,2.0794415416798357,0
Nuwakot,2005,305,2005,113,412,1854865476,171797395,25,81,7,0,11,18,13,44,2,10,0,14,1,4.736198448394496,6.023447592961033,21.341078011238704,18.96182641024007,3.258096538021482,4.406719247264253,2.0794415416798357,0,2.4849066497880004,2.9444389791664403,2.6390573296152584,3.8066624897703196,1.0986122886681098,2.3978952727983707,0,2.70805020110221,0.6931471805599453
Nuwakot,2006,305,2006,151,621,218908224,373840972,34,103,14,0,17,20,19,52,7,19,0,17,0,5.0238805208462765,6.432940092739179,19.204163136022007,19.7393410590708,3.5553480614894135,4.6443908991413725,2.70805020110221,0,2.8903717578961645,3.044522437723423,2.995732273553991,3.970291913552122,2.0794415416798357,2.995732273553991,0,2.8903717578961645,0
Nuwakot,2007,305,2007,174,719,495097512,2303432531,40,119,14,1,18,17,17,72,18,16,0,14,2,5.1647859739235145,6.579251212010101,20.020265297091406,21.557666252569,3.713572066704308,4.787491742782046,2.70805020110221,0.6931471805599453,2.9444389791664403,2.8903717578961645,2.8903717578961645,4.290459441148391,2.9444389791664403,2.833213344056216,0,2.70805020110221,1.0986122886681098
Nuwakot,2008,305,2008,349,1140,887325936,5451799272,101,225,23,0,28,48,36,159,15,36,0,26,1,5.857933154483459,7.039660349862076,20.603722932754422,22.4192115329716,4.624972813284271,5.420534999272286,3.1780538303479458,0,3.367295829986474,3.8918202981106265,3.6109179126442243,5.075173815233827,2.772588722239781,3.6109179126442243,0,3.295836866004329,0.6931471805599453
Nuwakot,2009,305,2009,194,759,519445980,297589104,51,124,19,0,18,24,23,77,17,23,0,11,1,5.272999558563747,6.633318433280377,20.068273380421335,19.511224250710054,3.9512437185814275,4.8283137373023015,2.995732273553991,0,2.9444389791664403,3.2188758248682006,3.1780538303479458,4.356708826689592,2.8903717578961645,3.1780538303479458,0,2.4849066497880004,0.6931471805599453
Nuwakot,2010,305,2010,235,828,713794164,461650086,56,164,15,0,19,31,35,93,14,29,0,13,1,5.4638318050256105,6.720220155135295,20.38610519442822,19.95031777463735,4.04305126783455,5.10594547390058,2.772588722239781,0,2.995732273553991,3.4657359027997265,3.58351893845611,4.543294782270004,2.70805020110221,3.4011973816621555,0,2.6390573296152584,0.6931471805599453
Nuwakot,2011,305,2011,348,1124,1642673556,587645675,102,230,15,1,28,49,46,140,16,46,0,22,1,5.855071922202427,7.025538314638521,21.219590969102995,20.191634732394736,4.634728988229636,5.442417710521793,2.772588722239781,0.6931471805599453,3.367295829986474,3.912023005428146,3.8501476017100584,4.948759890378168,2.833213344056216,3.8501476017100584,0,3.1354942159291497,0.6931471805599453
