"outcome","group","n_obs","coef","se","t_stat","p_val","mean_y","note","sig"
"work_share_student","work",148,0.0265890233914337,0.0257338793781405,1.03323027984734,0.304907058256786,0.167756760949322,"",""
"work_share_no_work","work",148,-0.0070589830345459,0.00614770741754569,-1.14823015395941,0.254622346049057,0.0258840420626127,"",""
"occ_share_armed_forces","occupation",148,-0.0284815125336223,0.0219881711458663,-1.29531066247757,0.199294443464889,0.00542660272606965,"",""
"occ_share_managers","occupation",148,0.0116522080063529,0.0150072677268453,0.776437671296372,0.439999139091687,0.0303672113906509,"",""
"occ_share_professionals","occupation",148,0.00606689448755368,0.00983005827907831,0.617177875787988,0.539037737611367,0.0427214534836821,"",""
"occ_share_technicians","occupation",148,0.00606793083581678,0.0086087291816861,0.704857907334973,0.483141530820572,0.0182313098081783,"",""
"occ_share_office_assistants","occupation",148,0.00507040884461622,0.00711456907280122,0.712679684845599,0.478315861716903,0.0116092379104265,"",""
"occ_share_service_sales","occupation",148,-0.00991084038951424,0.0221932385375345,-0.446570263855473,0.65650735062019,0.0610054254708955,"",""
"occ_share_agriculture","occupation",148,-0.0314119257598563,0.071573133370831,-0.438878728378517,0.662045667765854,0.633386156654642,"",""
"occ_share_craft_trades","occupation",148,0.00767736037177498,0.0192958214155017,0.397876835945798,0.691882143666614,0.0593929283737183,"",""
"occ_share_machine_operators","occupation",148,-0.00712836133899237,0.00490927034819807,-1.45202053124021,0.150780441831788,0.0198287624017944,"",""
"occ_share_elementary","occupation",148,0.0391561222372792,0.0447967405230489,0.874084180681237,0.384938947043889,0.117618292444742,"",""
"mig_in_share","migration",148,-0.00531606904714427,0.0734864918040543,-0.0723407651751716,0.942528562408333,0.140937199224056,"",""
"mig_in_domestic","migration",148,-0.0349657314725848,0.0676387683065803,-0.516948080930432,0.606755140066819,0.128170074923305,"",""
"mig_in_international","migration",148,0.029649662425441,0.0122116857417309,2.42797456899169,0.0176488272350282,0.0127671243007516,"","**"
"mig_in_from_rural","migration",148,-0.0331631896031264,0.0445212758894578,-0.744884079366178,0.458733237914455,0.103354249802126,"",""
"mig_in_from_urban","migration",148,0.00213667883794808,0.0408987734511581,0.0522431030969603,0.958477686832594,0.0231258638272753,"",""
"mig_in_reason_economic","migration",148,-0.0371039240818349,0.0409909713309344,-0.90517308756316,0.368351499413276,0.037424668738578,"",""
"mig_in_reason_noneconomic","migration",148,0.0269452099686771,0.0473890648857236,0.568595519528695,0.571375772077904,0.099158411505099,"",""
"mig_in_reason_study","migration",148,-0.00832780830286076,0.00698024613786805,-1.19305367438007,0.236711578895308,0.010405794281555,"",""
"mig_in_reason_marriage","migration",148,0.0299376303669279,0.0252172487271115,1.18718860613614,0.239002099462158,0.0595221223161849,"",""
"flfp_all","gender",148,0.21425430569091,0.0954760728635402,2.24406282396151,0.02786071685309,0.659631120792741,"","**"
"fem_employment_rate","gender",148,0.214475626535122,0.0964811995081089,2.22297844169211,0.0293136124570196,0.642108072508699,"","**"
"flfp_agri","gender",148,0.167822647324414,0.0930219800819004,1.80411820063017,0.0753379410951281,0.487880197824959,"","*"
"flfp_nonagri","gender",148,0.0466529792107101,0.0446732984079719,1.04431463252745,0.299785765233353,0.15422787468374,"",""
"mlfp_all","gender",148,0.0878892719556562,0.0507107613561165,1.73314834179778,0.0872916746882375,0.784096891129952,"","*"
"share_women","gender",148,0.0326289563961299,0.0179947957560751,1.81324405335994,0.0739047400963932,0.53578073563985,"","*"
"share_men","gender",148,-0.0326289563961301,0.0179947957560752,-1.81324405335995,0.0739047400963915,0.46421926436015,"","*"
"head_female_share","gender",148,0.0679185310195859,0.0420039551954538,1.61695561057395,0.110201384228242,0.283606091870983,"",""
"head_age_mean","household",148,-0.180714910438357,0.785075425223381,-0.230187959821742,0.818589546668989,46.2374000177853,"",""
"head_elderly_share","household",148,-0.0113532388234426,0.0175083085341528,-0.648448638044975,0.518729448243582,0.21971493643108,"",""
"head_young_share","household",148,0.0163902968207067,0.0155998526363211,1.05066997764743,0.296875968453011,0.140802319517107,"",""
"left_not_with_both","household",148,-0.0207812113878773,0.0580044011469305,-0.358269561911977,0.721175557536655,0.181339463911203,"",""
"left_mother_only","household",148,0.011102679799787,0.0431966325284168,0.257026512251462,0.797881373537666,0.137408630396288,"",""
"left_father_only","household",148,-0.00258262111359665,0.0043593813618801,-0.592428351458295,0.555394452937331,0.00937564453190776,"",""
"left_with_relatives","household",148,-0.00220538249938172,0.0122728688814302,-0.179695759865782,0.85788928699889,0.0162088745783596,"",""
"left_without_parents","household",148,-0.0244488367293076,0.0302779601591856,-0.807479651890962,0.42201350927209,0.0300598374538793,"",""
"ind_agri_forestry_fish","industry",148,-0.03295744189479,0.0774084974635998,-0.425760000189743,0.671535396264437,0.670345828012498,"",""
"ind_manufacturing","industry",148,-0.00998060754130493,0.0141192322356763,-0.706880329943581,0.481891210515526,0.0375767135689527,"",""
"ind_construction","industry",148,0.0332079909433642,0.0235393266633749,1.41074515079621,0.162567118368033,0.0482124027594032,"",""
"ind_wholesale_retail","industry",148,0.0192276579266936,0.0177064788193982,1.08591087605905,0.281091347145643,0.0744467549110629,"",""
"ind_transport_accommodation","industry",148,-0.00396118198606684,0.0105325615961931,-0.376089135571596,0.707941424347453,0.034783330711212,"",""
"ind_finance_real_estate_prof","industry",148,0.000821856108533076,0.00709011310978389,0.115915796519377,0.908037560356969,0.0178340378776428,"",""
"ind_public_admin_defence","industry",148,-0.031597133561396,0.0327267047614788,-0.965484725446226,0.337489742928567,0.0211468800913354,"",""
"ind_education","industry",148,-0.0022634437482687,0.00794204312340314,-0.284995147105021,0.776454850919675,0.0372706547456412,"",""
"ind_health","industry",148,0.00236392018884262,0.00313117853348395,0.754961802261839,0.452700759989368,0.00922405036367357,"",""
"ind_arts_recreation","industry",148,0.00142721800692599,0.00270554361168393,0.527516171154117,0.599434877343143,0.00156720519900636,"",""
"ind_others","industry",148,0.023711165557467,0.0274518521703599,0.863736457938098,0.39056181082407,0.0475921417595713,"",""
