group,outcome,log,model,beta,se,t,p,sig,mean_y,pct_of_mean,ci_lo,ci_hi,n
FIRM SIZE COMPOSITION,share_firms_size_large_51p,FALSE,M2,-7e-4,3e-4,-2.64,0.01,**,0.0028,-26.33,-0.0013,-1e-4,77
FIRM SIZE COMPOSITION,share_firms_size_large_51p,FALSE,M3,-7e-4,3e-4,-2.82,0.0061,***,0.0028,-25.63,-0.0013,-1e-4,77
FIRM SIZE COMPOSITION,share_firms_size_large_51p,FALSE,M4,-3e-4,3e-4,-0.83,0.4071,,0.0028,-10.12,-9e-4,3e-4,76
FORMALITY,share_registered,FALSE,M1,0.0054,0.0117,0.46,0.6489,,0.5101,1.05,-0.0176,0.0283,77
FORMALITY,share_registered,FALSE,M2,0.0091,0.0104,0.88,0.3843,,0.5101,1.79,-0.0113,0.0295,77
FORMALITY,share_registered,FALSE,M3,0.0104,0.0102,1.03,0.3072,,0.5101,2.05,-0.0095,0.0304,77
FORMALITY,share_registered,FALSE,M4,0.0084,0.0163,0.51,0.611,,0.5101,1.64,-0.0236,0.0403,76
FORMALITY,share_tax_registered,FALSE,M1,-0.0168,0.0139,-1.21,0.2314,,0.636,-2.64,-0.0441,0.0104,77
FORMALITY,share_tax_registered,FALSE,M2,-0.0173,0.0146,-1.19,0.2381,,0.636,-2.73,-0.046,0.0113,77
FORMALITY,share_tax_registered,FALSE,M3,-0.0179,0.0153,-1.17,0.2457,,0.636,-2.82,-0.0479,0.0121,77
FORMALITY,share_tax_registered,FALSE,M4,-0.01,0.0216,-0.46,0.6448,,0.636,-1.57,-0.0524,0.0323,76
FORMALITY,share_keeps_accounts,FALSE,M1,0.0184,0.0296,0.62,0.5362,,0.5007,3.67,-0.0396,0.0764,77
FORMALITY,share_keeps_accounts,FALSE,M2,0.0152,0.0303,0.5,0.6167,,0.5007,3.04,-0.0441,0.0746,77
FORMALITY,share_keeps_accounts,FALSE,M3,0.0181,0.0288,0.63,0.5314,,0.5007,3.61,-0.0384,0.0745,77
FORMALITY,share_keeps_accounts,FALSE,M4,0.0548,0.0233,2.36,0.0214,**,0.5007,10.95,0.0092,0.1005,76
FORMALITY,share_incorporated,FALSE,M1,-0.0101,0.0044,-2.3,0.0244,**,0.0379,-26.52,-0.0187,-0.0014,77
FORMALITY,share_incorporated,FALSE,M2,-0.0105,0.0045,-2.33,0.0226,**,0.0379,-27.69,-0.0193,-0.0017,77
FORMALITY,share_incorporated,FALSE,M3,-0.01,0.0037,-2.73,0.0079,***,0.0379,-26.37,-0.0172,-0.0027,77
FORMALITY,share_incorporated,FALSE,M4,-0.0075,0.0025,-2.96,0.0043,***,0.0379,-19.86,-0.0124,-0.0026,76
FORMALITY,formality_index,FALSE,M1,-4e-4,0.0083,-0.05,0.959,,0.5348,-0.08,-0.0167,0.0158,77
