dataset,outcome,variant,dropped_dname,beta,se,p,sig,n
census,amen_assets_car,loo,Arghakhanchi,-0.017577713140479356,0.008717327891540966,0.047436656225697336,**,148
census,amen_assets_computer,loo,Arghakhanchi,-0.03497018710327963,0.01938323168499377,0.07533348159635715,*,148
census,amen_assets_landline,loo,Arghakhanchi,0.10501331314428555,0.025510928346579247,1.000597454025853e-4,***,148
census,amen_assets_mobile,loo,Arghakhanchi,0.1982698283828311,0.11030402236030847,0.07639414227636633,*,148
census,amen_assets_radio,loo,Arghakhanchi,0.22279967249091429,0.08561858561635256,0.011209221833305756,**,148
census,amen_assets_tv,loo,Arghakhanchi,0.17503989813716506,0.08254215076049926,0.03735214512603196,**,148
census,amen_cooking_kerosene,loo,Arghakhanchi,0.013802998852165956,0.006043603090419983,0.0252875830026272,**,148
census,amen_water_traditional,loo,Arghakhanchi,0.12790788941483683,0.07732825242068636,0.10240326181267627,,148
census,ind_agri_forestry_fish,loo,Arghakhanchi,-0.1423515362499904,0.07772786934685805,0.07111959523048278,*,148
census,mig_in_internal_share,loo,Arghakhanchi,-0.16026680429002776,0.08310538807849817,0.05768472154254232,*,148
census,mig_in_temp_noneconomic_share,loo,Arghakhanchi,-0.3175064835347653,0.10023037491403991,0.002243409083241228,***,148
census,mig_in_temp_share,loo,Arghakhanchi,-0.5053863894021491,0.18464851169717894,0.0077816899672467025,***,148
census,net_internal_mig_share,loo,Arghakhanchi,-0.347846770299647,0.1312475185784359,0.009854484219515913,***,148
census,net_temp_mig_share,loo,Arghakhanchi,-0.7519376172059379,0.23552106343871543,0.0020806359903049977,***,148
hh,edu_spend_total_12m,loo,Arghakhanchi,-4982.4427329905275,1112.7161664690577,4.5144121995092813e-05,***,16961
hh,input_intensity_per_sqm,loo,Arghakhanchi,-0.8222833427565306,0.33359312702741134,0.01725640626600204,**,13310
hh,n_workers_total,loo,Arghakhanchi,-0.14083643852522448,0.07830418101123705,0.07824603845595608,*,17362
hh,nonfood_exp_12m,loo,Arghakhanchi,-18604.440506446317,9017.462473120215,0.04441700546902986,**,17362
hh,remit_amount_intl_12m_rs,loo,Arghakhanchi,-8254.681099357069,4878.103611972664,0.09696020276649706,*,17362
hh,sector_transport,loo,Arghakhanchi,-0.005461786331699834,0.001359456698334221,2.0183454982619853e-4,***,17362
hh,share_fallow_wet,loo,Arghakhanchi,0.013894256077673528,0.007882054706154835,0.08417523796313478,*,14826
hh,total_input_cost_rs,loo,Arghakhanchi,-2075.456216077327,993.1405172913949,0.04184938210286274,**,17362
nec_cs,emp_total,loo,Arghakhanchi,-41207.404321218906,16235.97880375843,0.013592774240091185,**,74
nec_cs,n_firms,loo,Arghakhanchi,-9147.119344258683,3433.8014717161686,0.009763013388239872,***,74
nec_cs,share_keeps_accounts,loo,Arghakhanchi,0.04646654780785697,0.024295761603591613,0.060284547049067126,*,74
nec_panel,log_n_new_firms_education_health_social,loo,Arghakhanchi,0.37602984872691964,0.1976350595764243,0.06103074306264178,*,592
nec_panel,log_n_new_firms_size_medium_10_50,loo,Arghakhanchi,0.42209962803563766,0.2418871765402919,0.08518837759234328,*,592
nec_panel,log_rev_new_firms,loo,Arghakhanchi,1.0556117515899068,0.5062325118907728,0.040545179138178775,**,592
census,amen_assets_car,loo,Baglung,-0.018062921110887004,0.008696692899528893,0.041322208336406145,**,148
census,amen_assets_computer,loo,Baglung,-0.034475617568030185,0.019296000843895614,0.07814236324198164,*,148
census,amen_assets_landline,loo,Baglung,0.10389010085843206,0.025330437761663358,1.0547699451189711e-4,***,148
census,amen_assets_mobile,loo,Baglung,0.20418900688172248,0.11031347369768156,0.06821647669338846,*,148
census,amen_assets_radio,loo,Baglung,0.2252746933771195,0.08567478676025979,0.010423860742594443,**,148
census,amen_assets_tv,loo,Baglung,0.16430988369022534,0.08331327134551995,0.05237616473621379,*,148
census,amen_cooking_kerosene,loo,Baglung,0.013523045105335061,0.006006615627184297,0.02737294565436109,**,148
census,amen_water_traditional,loo,Baglung,0.1277857352988641,0.07745630202885427,0.10328503792337113,,148
census,ind_agri_forestry_fish,loo,Baglung,-0.14209382622784725,0.07535479752352411,0.06331912644214195,*,148
census,mig_in_internal_share,loo,Baglung,-0.15936211158211783,0.08210486287121978,0.056124404979916935,*,148
census,mig_in_temp_noneconomic_share,loo,Baglung,-0.3154738902932423,0.09995557231542246,0.0023234575738291787,***,148
census,mig_in_temp_share,loo,Baglung,-0.5014684036247894,0.18381978057503193,0.007976057595358996,***,148
census,net_internal_mig_share,loo,Baglung,-0.337693630802135,0.12864980067947973,0.010550624181680065,**,148
census,net_temp_mig_share,loo,Baglung,-0.733799986813899,0.23420091997944834,0.0024892506579434585,***,148
hh,edu_spend_total_12m,loo,Baglung,-4970.491252251574,1105.2948142110174,4.3641657187324746e-5,***,16706
hh,input_intensity_per_sqm,loo,Baglung,-0.8046193929303465,0.3249067514216552,0.016846045294946748,**,13068
hh,n_workers_total,loo,Baglung,-0.13834270933043258,0.07752304069950204,0.0806574173836425,*,17103
hh,nonfood_exp_12m,loo,Baglung,-18745.1365507769,9082.171557273015,0.04445076548609288,**,17103
hh,remit_amount_intl_12m_rs,loo,Baglung,-8599.503034405796,4903.813559878685,0.08587665428996817,*,17103
hh,sector_transport,loo,Baglung,-0.005392870965123075,0.0013524437076652468,2.268002687763211e-4,***,17103
hh,share_fallow_wet,loo,Baglung,0.013869346264940519,0.00793281514361559,0.08679685554299484,*,14570
hh,total_input_cost_rs,loo,Baglung,-2043.5871575978158,977.294357234728,0.041839666610612905,**,17103
nec_cs,emp_total,loo,Baglung,-40958.54771628747,16201.951199217294,0.013950061528635501,**,74
nec_cs,n_firms,loo,Baglung,-9086.984848020265,3427.261249674283,0.010092862258806054,**,74
nec_cs,share_keeps_accounts,loo,Baglung,0.04430151440809678,0.024237170250458167,0.07223636888230199,*,74
nec_panel,log_n_new_firms_education_health_social,loo,Baglung,0.3895975990239264,0.19653422991938502,0.05120549856538546,*,592
nec_panel,log_n_new_firms_size_medium_10_50,loo,Baglung,0.41850500865695617,0.24080914688622473,0.08644317900370288,*,592
nec_panel,log_rev_new_firms,loo,Baglung,1.039499199647652,0.506450728024672,0.04370488489015057,**,592
census,amen_assets_car,loo,Baitadi,-0.021201417871738213,0.008716202723658757,0.01745033814716972,**,148
census,amen_assets_computer,loo,Baitadi,-0.03512366308753272,0.021030044673804052,0.0991692882371495,*,148
census,amen_assets_landline,loo,Baitadi,0.10653399100673298,0.026802042055687304,1.6383244403242667e-4,***,148
census,amen_assets_mobile,loo,Baitadi,0.21067095223781568,0.11939977312200017,0.08184505798837889,*,148
census,amen_assets_radio,loo,Baitadi,0.23476274364305724,0.09402220668329599,0.014784961002528999,**,148
census,amen_assets_tv,loo,Baitadi,0.15590933605537055,0.08741420496041068,0.07864993720842374,*,148
census,amen_cooking_kerosene,loo,Baitadi,0.013421050945261848,0.0066229551188160506,0.04637314907715289,**,148
census,amen_water_traditional,loo,Baitadi,0.11778749775189207,0.08185010972545408,0.15440671175584547,,148
census,ind_agri_forestry_fish,loo,Baitadi,-0.16260819791080805,0.07851791990756024,0.0418975558424469,**,148
census,mig_in_internal_share,loo,Baitadi,-0.1730843403758237,0.08884159042259121,0.055231339911142464,*,148
census,mig_in_temp_noneconomic_share,loo,Baitadi,-0.33200818915827923,0.10647875145805469,0.0026046622167588337,***,148
census,mig_in_temp_share,loo,Baitadi,-0.5344427638821735,0.19689965787412958,0.00828254815181469,***,148
census,net_internal_mig_share,loo,Baitadi,-0.307622863040602,0.14091154283850976,0.03224493012194856,**,148
census,net_temp_mig_share,loo,Baitadi,-0.6867431405114605,0.2581119702565317,0.009583593135884144,***,148
hh,edu_spend_total_12m,loo,Baitadi,-5314.641654094455,1216.6983536281023,6.666619699699585e-5,***,16712
hh,input_intensity_per_sqm,loo,Baitadi,-0.9040234638024269,0.3776351654607619,0.020625950338414332,**,13064
hh,n_workers_total,loo,Baitadi,-0.1654496943747282,0.09311874637160497,0.08194519638470482,*,17107
hh,nonfood_exp_12m,loo,Baitadi,-19506.780029944002,10083.673219068205,0.058958673424836495,*,17107
hh,remit_amount_intl_12m_rs,loo,Baitadi,-10680.605873251023,4693.495045379339,0.027372199722079917,**,17107
hh,sector_transport,loo,Baitadi,-0.006443405987085228,0.0013257786770954486,1.2960843457805217e-5,***,17107
hh,share_fallow_wet,loo,Baitadi,0.012443979487889174,0.008928027428328131,0.16979456414856792,,14571
hh,total_input_cost_rs,loo,Baitadi,-2433.72989167164,1054.1286195588048,0.02530742681969979,**,17107
nec_cs,emp_total,loo,Baitadi,-42849.04488794516,16954.10980474761,0.013973380572757682,**,74
nec_cs,n_firms,loo,Baitadi,-9443.881322974736,3595.770048042007,0.010785274827926154,**,74
nec_cs,share_keeps_accounts,loo,Baitadi,0.04788101600302604,0.02641369665518882,0.07456312086091367,*,74
nec_panel,log_n_new_firms_education_health_social,loo,Baitadi,0.3426916979237662,0.20468666114049638,0.09836583999852183,*,592
nec_panel,log_n_new_firms_size_medium_10_50,loo,Baitadi,0.3843544461210237,0.25662119674260675,0.13850992738060203,,592
nec_panel,log_rev_new_firms,loo,Baitadi,1.0672548086859734,0.5590219376922265,0.06017373834935748,*,592
census,amen_assets_car,loo,Bajhang,-0.017581984649498485,0.00884738701276224,0.050646834330586234,*,148
census,amen_assets_computer,loo,Bajhang,-0.03355017245533414,0.020039093494236805,0.09836382968191991,*,148
census,amen_assets_landline,loo,Bajhang,0.10258445254639573,0.026345198692235366,2.1630486588914067e-4,***,148
census,amen_assets_mobile,loo,Bajhang,0.19571339091679876,0.11427892383961392,0.09103211304140407,*,148
census,amen_assets_radio,loo,Bajhang,0.2206139735737836,0.08839649969145114,0.014829262345852386,**,148
census,amen_assets_tv,loo,Bajhang,0.163729001958199,0.08315752249642923,0.052760811441036615,*,148
