dataset,outcome,scaling,model,beta,se,p,sig,mean_y,n
hh,food_exp_purchased_7day,log,M2,-73.26649630637681,41.99190688216846,0.08729332909904583,*,812.7218520416881,17362
hh,food_exp_purchased_7day,log,M3,-56.506433345905556,38.79671759033277,0.15163984039734205,,812.7218520416881,17362
hh,food_exp_purchased_7day,log,M4,-61.81286469694282,50.49346118187008,0.22673945210390364,,812.7218520416881,17362
hh,food_exp_homeprod_7day,log,M2,-69.13722850176933,58.10977159263455,0.23987007144511696,,1369.1416077225354,17362
hh,food_exp_homeprod_7day,log,M3,-91.430318386177035,57.8915304944723,0.12069299614354873,,1369.1416077225354,17362
hh,food_exp_homeprod_7day,log,M4,-50.0830098899246,76.91891723486998,0.5180146842180018,,1369.1416077225354,17362
hh,nonfood_exp_12m,log,M2,-14801.369756945787,8016.153259208121,0.07087226385000316,*,90491.57311350305,17362
hh,nonfood_exp_12m,log,M3,-19007.43523417763,7194.126088393031,0.011029707641155703,**,90491.57311350305,17362
hh,nonfood_exp_12m,log,M4,-18604.440506446317,9017.462473120215,0.04441700546902986,**,90491.57311350305,17362
hh,edu_spend_total_12m,log,M2,-3390.358093203881,947.2780772838985,7.892179964695593e-4,***,15282.306198870838,16961
hh,edu_spend_total_12m,log,M3,-3064.037478864176,956.0670476347527,0.002378845985775124,***,15282.306198870838,16961
hh,edu_spend_total_12m,log,M4,-4982.4427329905275,1112.7161664690577,4.5144121995092813e-05,***,15282.306198870838,16961
hh,hlt_spend_total,log,M2,-98.8151413111882,995.0190310091225,0.9212974810455791,,12835.019472289434,16961
hh,hlt_spend_total,log,M3,-37.56170117757529,1162.6030901092197,0.9743574555556211,,12835.019472289434,16961
hh,hlt_spend_total,log,M4,395.8297270898122,1361.1529006550566,0.7724280038833985,,12835.019472289434,16961
hh,has_enterprise,log,M2,-0.0030715786902660823,0.008804280902566079,0.7286791246257949,,0.16424625548151944,17362
hh,has_enterprise,log,M3,-0.002219645921826192,0.009168393294319902,0.8097149570281587,,0.16424625548151944,17362
hh,has_enterprise,log,M4,-0.006566250450498575,0.009263491340862275,0.4817882709372552,,0.16424625548151944,17362
hh,n_enterprises,log,M2,-0.0035560655361482375,0.009061645940134925,0.696442093352179,,0.17791445982117432,17362
hh,n_enterprises,log,M3,-0.003102204145969429,0.009454459537160361,0.7442184029433487,,0.17791445982117432,17362
hh,n_enterprises,log,M4,-0.013145264199190992,0.009632138601079948,0.17857256528346,,0.17791445982117432,17362
hh,n_workers_total,log,M2,-0.09543384273367392,0.06818137888644857,0.167901060166983,,0.3000170852554246,17362
hh,n_workers_total,log,M3,-0.09578517013552837,0.06739477976388866,0.16157597828178047,,0.3000170852554246,17362
hh,n_workers_total,log,M4,-0.14083643852522448,0.07830418101123705,0.07824603845595608,*,0.3000170852554246,17362
hh,revenue_12m,log,M2,-9159.911459444018,15595.388528881553,0.5596673054450798,,82933.0101942024,17362
hh,revenue_12m,log,M3,-11427.829807592308,14280.578875628102,0.42743705208934335,,82933.0101942024,17362
hh,revenue_12m,log,M4,-23679.811893662816,21113.68903888164,0.2675250223453042,,82933.0101942024,17362
hh,profit_12m,log,M2,-4098.8428201613715,6270.115243779678,0.5163542535166935,,24941.54484879549,17362
hh,profit_12m,log,M3,-5627.402916756267,5906.840387329344,0.34542198289183057,,24941.54484879549,17362
hh,profit_12m,log,M4,-12021.890142345788,8746.976661683762,0.1755696396847152,,24941.54484879549,17362
hh,expenses_12m,log,M2,-5061.068639283752,11867.660733178769,0.6716413156721888,,57991.46534540691,17362
hh,expenses_12m,log,M3,-5800.426890837266,10374.649887935468,0.5786426162984101,,57991.46534540691,17362
hh,expenses_12m,log,M4,-11657.921751317692,14834.422423703609,0.43572776807391134,,57991.46534540691,17362
hh,capex_12m,log,M2,61.780234607153034,3446.9559423862356,0.9857729610083028,,19331.580044421666,17362
hh,capex_12m,log,M3,-102.86858289825682,2747.0407574591195,0.9702807038363814,,19331.580044421666,17362
hh,capex_12m,log,M4,-1506.2234125123682,3589.426432522044,0.6765915019860909,,19331.580044421666,17362
hh,sector_trade,log,M2,-6.373513428377412e-4,0.007125978535485897,0.9290963937246524,,0.05080015946238396,17362
hh,sector_trade,log,M3,-5.000745480876125e-4,0.008043245663208513,0.9506778020935631,,0.05080015946238396,17362
hh,sector_trade,log,M4,-0.005783353624643216,0.011312324858740175,0.6114765840801057,,0.05080015946238396,17362
hh,sector_manufacturing,log,M2,-0.0011307552513253414,0.0025392613935403285,0.6580578411425226,,0.012244433054274162,17362
hh,sector_manufacturing,log,M3,-6.469352305496775e-4,0.0023438968237442827,0.7837023814697232,,0.012244433054274162,17362
hh,sector_manufacturing,log,M4,-4.84569826857585e-4,0.0029999522843399706,0.8723434420560817,,0.012244433054274162,17362
hh,sector_services,log,M2,0.00317795143132796,0.0012474870376832817,0.014039049097902245,**,0.004100461301896463,17362
hh,sector_services,log,M3,0.0031896687967630476,0.0013504960072130067,0.022202163567711927,**,0.004100461301896463,17362
hh,sector_services,log,M4,0.0025254303563060254,0.0015711729887343696,0.1144023967910446,,0.004100461301896463,17362
hh,sector_hotels,log,M2,5.40084692685196e-4,0.0019468288248062225,0.7826265126081519,,0.008371775158038613,17362
hh,sector_hotels,log,M3,7.032281858185361e-4,0.002455424366948461,0.775780901793083,,0.008371775158038613,17362
