dataset,outcome,label,group,scaling,lag,model,variant,beta,se,p,sig,mean_y,sd_y,n,n_unit
census,amen_cooking_electric,Cooking fuel: electric,amenities_cooking,lin,5,M2,baseline,0.00122783091390824,0.00601583684980614,0.8388358095375583,NA,0.00227371235609772,0.003891787394459012,150,75
census,amen_cooking_electric,Cooking fuel: electric,amenities_cooking,lin,5,M3,baseline,-1.007726694016698e-4,0.00613904761074113,0.986947464305198,NA,0.00227371235609772,0.003891787394459012,150,75
census,amen_cooking_electric,Cooking fuel: electric,amenities_cooking,lin,5,M4,baseline,-0.00416697623668011,0.00591008796287425,0.4829852640269804,NA,0.00227371235609772,0.003891787394459012,150,75
census,amen_cooking_electric,Cooking fuel: electric,amenities_cooking,log,0,M2,baseline,-0.00168200205412232,0.00235507913945002,0.4773491500773877,NA,0.00227371235609772,0.003891787394459012,150,75
census,amen_cooking_electric,Cooking fuel: electric,amenities_cooking,log,0,M3,baseline,-0.00212564341086495,0.00261136699053242,0.4182586538517342,NA,0.00227371235609772,0.003891787394459012,150,75
census,amen_cooking_electric,Cooking fuel: electric,amenities_cooking,log,0,M4,baseline,-0.00411524935171499,0.00288213855205187,0.15754301729470108,NA,0.00227371235609772,0.003891787394459012,150,75
census,amen_cooking_electric,Cooking fuel: electric,amenities_cooking,log,1,M2,baseline,-0.00212123956555567,0.00251741046757075,0.40215200238391946,NA,0.00227371235609772,0.003891787394459012,150,75
census,amen_cooking_electric,Cooking fuel: electric,amenities_cooking,log,1,M3,baseline,-0.0025485218428577,0.00297342212270494,0.39415656304627944,NA,0.00227371235609772,0.003891787394459012,150,75
census,amen_cooking_electric,Cooking fuel: electric,amenities_cooking,log,1,M4,baseline,-0.00552639139602893,0.00383972287215483,0.15429126734015006,NA,0.00227371235609772,0.003891787394459012,150,75
census,amen_cooking_electric,Cooking fuel: electric,amenities_cooking,log,2,M2,baseline,-0.0030247167642131,0.0036209836518131,0.40622079014766543,NA,0.00227371235609772,0.003891787394459012,150,75
census,amen_cooking_electric,Cooking fuel: electric,amenities_cooking,log,2,M3,baseline,-0.00360828699569651,0.0042791562878952,0.4018206216260086,NA,0.00227371235609772,0.003891787394459012,150,75
census,amen_cooking_electric,Cooking fuel: electric,amenities_cooking,log,2,M4,baseline,-0.00784113361623958,0.00548214847639635,0.15683905006719295,NA,0.00227371235609772,0.003891787394459012,150,75
census,amen_cooking_electric,Cooking fuel: electric,amenities_cooking,log,3,M2,baseline,-0.00296503496534007,0.00363186127002952,0.4168943762367911,NA,0.00227371235609772,0.003891787394459012,150,75
census,amen_cooking_electric,Cooking fuel: electric,amenities_cooking,log,3,M3,baseline,-0.00357135262421858,0.0042880724462456,0.40760519227434067,NA,0.00227371235609772,0.003891787394459012,150,75
census,amen_cooking_electric,Cooking fuel: electric,amenities_cooking,log,3,M4,baseline,-0.00775955169069643,0.00552981012944044,0.16473280949560584,NA,0.00227371235609772,0.003891787394459012,150,75
census,amen_cooking_electric,Cooking fuel: electric,amenities_cooking,log,5,M2,baseline,-0.00430587133095465,0.00529222038996064,0.41847135628321,NA,0.00227371235609772,0.003891787394459012,150,75
census,amen_cooking_electric,Cooking fuel: electric,amenities_cooking,log,5,M3,baseline,-0.00523843117207422,0.00620620021130435,0.4013539854834769,NA,0.00227371235609772,0.003891787394459012,150,75
census,amen_cooking_electric,Cooking fuel: electric,amenities_cooking,log,5,M4,baseline,-0.01136964666884872,0.00797278875667474,0.15805717159406393,NA,0.00227371235609772,0.003891787394459012,150,75
census,amen_cooking_electric,Cooking fuel: electric,amenities_cooking,raw,0,M2,baseline,-3.614460569912456e-4,2.3773472751485096e-4,0.13267816522275985,NA,0.00227371235609772,0.003891787394459012,150,75
census,amen_cooking_electric,Cooking fuel: electric,amenities_cooking,raw,0,M3,baseline,-4.0612925114962375e-5,5.597721493108869e-4,0.9423578909302506,NA,0.00227371235609772,0.003891787394459012,150,75
census,amen_cooking_electric,Cooking fuel: electric,amenities_cooking,raw,0,M4,baseline,-3.137798507673816e-4,5.07474314044031e-4,0.5382651163054484,NA,0.00227371235609772,0.003891787394459012,150,75
census,amen_cooking_electric,Cooking fuel: electric,amenities_cooking,raw,1,M2,baseline,-5.344179118467554e-4,2.5801756139632085e-4,0.04182276328145681,**,0.00227371235609772,0.003891787394459012,150,75
census,amen_cooking_electric,Cooking fuel: electric,amenities_cooking,raw,1,M3,baseline,-1.617820041063464e-5,6.528146913354871e-4,0.9802953768442426,NA,0.00227371235609772,0.003891787394459012,150,75
census,amen_cooking_electric,Cooking fuel: electric,amenities_cooking,raw,1,M4,baseline,-4.4722730640962474e-4,6.29752691282079e-4,0.479834863148462,NA,0.00227371235609772,0.003891787394459012,150,75
census,amen_cooking_electric,Cooking fuel: electric,amenities_cooking,raw,2,M2,baseline,-7.47411657076574e-4,3.6957021011411095e-4,0.04675154951898613,**,0.00227371235609772,0.003891787394459012,150,75
census,amen_cooking_electric,Cooking fuel: electric,amenities_cooking,raw,2,M3,baseline,-1.7425467053821565e-5,9.320030824810116e-4,0.985133308494372,NA,0.00227371235609772,0.003891787394459012,150,75
census,amen_cooking_electric,Cooking fuel: electric,amenities_cooking,raw,2,M4,baseline,-6.212056184345959e-4,8.934330352585024e-4,0.4890438734828728,NA,0.00227371235609772,0.003891787394459012,150,75
census,amen_cooking_electric,Cooking fuel: electric,amenities_cooking,raw,3,M2,baseline,-7.438653936451055e-4,3.7477247819100106e-4,0.05086880978721801,*,0.00227371235609772,0.003891787394459012,150,75
census,amen_cooking_electric,Cooking fuel: electric,amenities_cooking,raw,3,M3,baseline,4.199371231854588e-6,9.436678167683268e-4,0.9964613584949792,NA,0.00227371235609772,0.003891787394459012,150,75
census,amen_cooking_electric,Cooking fuel: electric,amenities_cooking,raw,3,M4,baseline,-6.170770410718709e-4,9.081544074973232e-4,0.49895076713688247,NA,0.00227371235609772,0.003891787394459012,150,75
census,amen_cooking_electric,Cooking fuel: electric,amenities_cooking,raw,5,M2,baseline,-0.00109394627578784,5.364758306460289e-4,0.0450082443545155,**,0.00227371235609772,0.003891787394459012,150,75
census,amen_cooking_electric,Cooking fuel: electric,amenities_cooking,raw,5,M3,baseline,-2.2320816498761116e-5,0.00135977895604095,0.9869474643051934,NA,0.00227371235609772,0.003891787394459012,150,75
census,amen_cooking_electric,Cooking fuel: electric,amenities_cooking,raw,5,M4,baseline,-9.229716001954904e-4,0.00130906514329773,0.4829852640267992,NA,0.00227371235609772,0.003891787394459012,150,75
census,amen_cooking_kerosene,Cooking fuel: kerosene,amenities_cooking,lin,0,M2,baseline,0.01311544121172653,0.00452487340465585,0.00493070431061124,***,0.0039464112610697,0.005685403419465848,150,75
census,amen_cooking_kerosene,Cooking fuel: kerosene,amenities_cooking,lin,0,M3,baseline,0.01250473118580977,0.00391956810025892,0.002085240088587,***,0.0039464112610697,0.005685403419465848,150,75
census,amen_cooking_kerosene,Cooking fuel: kerosene,amenities_cooking,lin,0,M4,baseline,0.00580061707581175,0.00323877310065896,0.0773838551543068,*,0.0039464112610697,0.005685403419465848,150,75
census,amen_cooking_kerosene,Cooking fuel: kerosene,amenities_cooking,lin,0,M5,baseline,0.00205416171238042,0.00264995592512678,0.4407103278578643,NA,0.0039464112610697,0.005685403419465848,150,75
census,amen_cooking_kerosene,Cooking fuel: kerosene,amenities_cooking,lin,1,M2,baseline,0.01518335366174369,0.00566210071613017,0.00903083023515808,***,0.0039464112610697,0.005685403419465848,150,75
census,amen_cooking_kerosene,Cooking fuel: kerosene,amenities_cooking,lin,1,M3,baseline,0.01479466343987751,0.00509871367015822,0.00488683231658078,***,0.0039464112610697,0.005685403419465848,150,75
census,amen_cooking_kerosene,Cooking fuel: kerosene,amenities_cooking,lin,1,M4,baseline,0.00762302143794808,0.00384555022743904,0.05115927360962896,*,0.0039464112610697,0.005685403419465848,150,75
census,amen_cooking_kerosene,Cooking fuel: kerosene,amenities_cooking,lin,1,M5,baseline,0.00345399129040216,0.00317206904312881,0.2797418409542095,NA,0.0039464112610697,0.005685403419465848,150,75
census,amen_cooking_kerosene,Cooking fuel: kerosene,amenities_cooking,lin,2,M2,baseline,0.02157981005421704,0.00801080853427132,0.00873429672693275,***,0.0039464112610697,0.005685403419465848,150,75
census,amen_cooking_kerosene,Cooking fuel: kerosene,amenities_cooking,lin,2,M3,baseline,0.02100284888807995,0.00719762147844776,0.00466271681170361,***,0.0039464112610697,0.005685403419465848,150,75
census,amen_cooking_kerosene,Cooking fuel: kerosene,amenities_cooking,lin,2,M4,baseline,0.01070214455841924,0.00548527680727542,0.05483500211399533,*,0.0039464112610697,0.005685403419465848,150,75
census,amen_cooking_kerosene,Cooking fuel: kerosene,amenities_cooking,lin,2,M5,baseline,0.00474394318503492,0.00452723909109508,0.298110502348325,NA,0.0039464112610697,0.005685403419465848,150,75
census,amen_cooking_kerosene,Cooking fuel: kerosene,amenities_cooking,lin,3,M2,baseline,0.02151124001650979,0.00815488214551649,0.01016495186808211,**,0.0039464112610697,0.005685403419465848,150,75
census,amen_cooking_kerosene,Cooking fuel: kerosene,amenities_cooking,lin,3,M3,baseline,0.02094274477609281,0.00733893087526404,0.00560201078075664,***,0.0039464112610697,0.005685403419465848,150,75
census,amen_cooking_kerosene,Cooking fuel: kerosene,amenities_cooking,lin,3,M4,baseline,0.01071836603849814,0.0055440931596358704,0.0570255001002198,*,0.0039464112610697,0.005685403419465848,150,75
census,amen_cooking_kerosene,Cooking fuel: kerosene,amenities_cooking,lin,3,M5,baseline,0.00476429907588034,0.00457250546229006,0.3008293638526972,NA,0.0039464112610697,0.005685403419465848,150,75
census,amen_cooking_kerosene,Cooking fuel: kerosene,amenities_cooking,lin,5,M2,baseline,0.03167356659882989,0.01179187696384342,0.0089215867672397,***,0.0039464112610697,0.005685403419465848,150,75
census,amen_cooking_kerosene,Cooking fuel: kerosene,amenities_cooking,lin,5,M3,baseline,0.03083462400347848,0.01060082679805336,0.00478913065707432,***,0.0039464112610697,0.005685403419465848,150,75
census,amen_cooking_kerosene,Cooking fuel: kerosene,amenities_cooking,lin,5,M4,baseline,0.01602411604424947,0.00801563015409587,0.04926911589557595,**,0.0039464112610697,0.005685403419465848,150,75
census,amen_cooking_kerosene,Cooking fuel: kerosene,amenities_cooking,lin,5,M5,baseline,0.00727503260486612,0.00659105019071884,0.2732673827328902,NA,0.0039464112610697,0.005685403419465848,150,75
census,amen_cooking_kerosene,Cooking fuel: kerosene,amenities_cooking,log,0,M2,baseline,0.01480517295349943,0.00386558012960053,2.6629748155722143e-4,***,0.0039464112610697,0.005685403419465848,150,75
census,amen_cooking_kerosene,Cooking fuel: kerosene,amenities_cooking,log,0,M3,baseline,0.0144563562345708,0.0034627827502799,8.047384091285019e-5,***,0.0039464112610697,0.005685403419465848,150,75
census,amen_cooking_kerosene,Cooking fuel: kerosene,amenities_cooking,log,0,M4,baseline,0.00739300360406736,0.00341307348789498,0.03352624537388942,**,0.0039464112610697,0.005685403419465848,150,75
census,amen_cooking_kerosene,Cooking fuel: kerosene,amenities_cooking,log,0,M5,baseline,0.00258354694624775,0.00273420594952767,0.34778578801269333,NA,0.0039464112610697,0.005685403419465848,150,75
census,amen_cooking_kerosene,Cooking fuel: kerosene,amenities_cooking,log,1,M2,baseline,0.01778448305717923,0.00537870343057178,0.00145963483894608,***,0.0039464112610697,0.005685403419465848,150,75
census,amen_cooking_kerosene,Cooking fuel: kerosene,amenities_cooking,log,1,M3,baseline,0.01760584686333199,0.00504112981799009,8.112719500787766e-4,***,0.0039464112610697,0.005685403419465848,150,75
census,amen_cooking_kerosene,Cooking fuel: kerosene,amenities_cooking,log,1,M4,baseline,0.00950658922827775,0.00418956473623592,0.02617671722790614,**,0.0039464112610697,0.005685403419465848,150,75
census,amen_cooking_kerosene,Cooking fuel: kerosene,amenities_cooking,log,1,M5,baseline,0.00430832301751726,0.0033476453570817,0.20211555859844865,NA,0.0039464112610697,0.005685403419465848,150,75
census,amen_cooking_kerosene,Cooking fuel: kerosene,amenities_cooking,log,2,M2,baseline,0.0254188229268764,0.00756172522533583,0.0012292126174854,***,0.0039464112610697,0.005685403419465848,150,75
census,amen_cooking_kerosene,Cooking fuel: kerosene,amenities_cooking,log,2,M3,baseline,0.02515290260620025,0.00706957128206779,6.567274402869764e-4,***,0.0039464112610697,0.005685403419465848,150,75
census,amen_cooking_kerosene,Cooking fuel: kerosene,amenities_cooking,log,2,M4,baseline,0.0135328283134828,0.00600588354064942,0.02720570379826009,**,0.0039464112610697,0.005685403419465848,150,75
census,amen_cooking_kerosene,Cooking fuel: kerosene,amenities_cooking,log,2,M5,baseline,0.00597571872731272,0.00483216275410169,0.220125662971008,NA,0.0039464112610697,0.005685403419465848,150,75
census,amen_cooking_kerosene,Cooking fuel: kerosene,amenities_cooking,log,2,M2,drop_ktm_valley,0.00925487606957101,0.00497364551467629,0.0669156574131973,*,0.00348557718098014,0.005685403419465848,144,75
census,amen_cooking_kerosene,Cooking fuel: kerosene,amenities_cooking,log,2,M3,drop_ktm_valley,0.00778002104162127,0.00513636475841185,0.1342892984938414,NA,0.00348557718098014,0.005685403419465848,144,75
census,amen_cooking_kerosene,Cooking fuel: kerosene,amenities_cooking,log,2,M4,drop_ktm_valley,0.00386719387675078,0.00629226865466951,0.5407871611596965,NA,0.00348557718098014,0.005685403419465848,144,75
census,amen_cooking_kerosene,Cooking fuel: kerosene,amenities_cooking,log,2,M5,drop_ktm_valley,0.00267312187358848,0.00545881226619785,0.6258634206831406,NA,0.00348557718098014,0.005685403419465848,144,75
