"dname","country","dist_mig_pop_2001"
"Makwanpur","France",2
"Makwanpur","Germany",8
"Makwanpur","Hong Kong SAR China",16
"Makwanpur","Japan",12
"Makwanpur","Kuwait",14
"Makwanpur","Malaysia",19
"Makwanpur","Maldives",1
"Makwanpur","Pakistan",6
"Makwanpur","Qatar",58
"Makwanpur","Russia",4
"Makwanpur","Saudi Arabia",206
"Makwanpur","Singapore",12
"Makwanpur","South Korea",14
"Makwanpur","Sri Lanka",1
"Makwanpur","United Arab Emirates",67
"Makwanpur","United Kingdom",27
"Makwanpur","United States",75
"Manang","China",3
"Manang","France",2
"Manang","Germany",8
"Manang","Hong Kong SAR China",19
"Manang","Japan",4
"Manang","Malaysia",11
"Manang","Qatar",3
"Manang","Saudi Arabia",16
"Manang","Singapore",6
"Manang","South Korea",48
"Manang","United Arab Emirates",3
"Manang","United Kingdom",3
"Manang","United States",32
"Morang","Australia",74
"Morang","Bahrain",376
"Morang","Bangladesh",29
"Morang","Bhutan",38
"Morang","China",47
"Morang","France",2
"Morang","Germany",53
"Morang","Hong Kong SAR China",609
"Morang","Japan",66
"Morang","Kuwait",301
"Morang","Malaysia",514
"Morang","Maldives",24
"Morang","Pakistan",14
"Morang","Qatar",1444
"Morang","Russia",34
"Morang","Saudi Arabia",3599
"Morang","Singapore",111
"Morang","South Korea",75
"Morang","Sri Lanka",6
"Morang","United Arab Emirates",792
"Morang","United Kingdom",130
"Morang","United States",222
"Mugu","Bangladesh",1
"Mugu","Malaysia",5
"Mugu","Saudi Arabia",2
"Mugu","South Korea",1
"Mugu","United States",1
"Mustang","Australia",3
"Mustang","Bangladesh",1
"Mustang","China",1
"Mustang","France",1
"Mustang","Germany",21
"Mustang","Hong Kong SAR China",16
"Mustang","Japan",120
"Mustang","Kuwait",1
"Mustang","Malaysia",3
"Mustang","Pakistan",2
"Mustang","Qatar",27
"Mustang","Saudi Arabia",57
"Mustang","Singapore",8
"Mustang","South Korea",33
"Mustang","Sri Lanka",1
"Mustang","United Arab Emirates",6
"Mustang","United Kingdom",11
"Mustang","United States",158
"Myagdi","Australia",39
"Myagdi","Bahrain",347
"Myagdi","Bangladesh",2
"Myagdi","Bhutan",1
"Myagdi","China",4
"Myagdi","France",1
"Myagdi","Germany",43
"Myagdi","Hong Kong SAR China",193
"Myagdi","Japan",117
"Myagdi","Kuwait",102
"Myagdi","Malaysia",194
"Myagdi","Maldives",2
"Myagdi","Pakistan",7
"Myagdi","Qatar",793
"Myagdi","Russia",3
"Myagdi","Saudi Arabia",2557
"Myagdi","Singapore",95
"Myagdi","South Korea",80
"Myagdi","Sri Lanka",3
"Myagdi","United Arab Emirates",277
"Myagdi","United Kingdom",156
"Myagdi","United States",78
"Nawalparasi","Australia",33
"Nawalparasi","Bahrain",38
"Nawalparasi","Bangladesh",19
"Nawalparasi","Bhutan",2
"Nawalparasi","China",11
"Nawalparasi","France",1
"Nawalparasi","Germany",38
"Nawalparasi","Hong Kong SAR China",180
"Nawalparasi","Japan",58
"Nawalparasi","Kuwait",94
"Nawalparasi","Malaysia",235
"Nawalparasi","Maldives",8
"Nawalparasi","Pakistan",12
"Nawalparasi","Qatar",752
"Nawalparasi","Russia",11
"Nawalparasi","Saudi Arabia",1814
"Nawalparasi","Singapore",48
"Nawalparasi","South Korea",97
"Nawalparasi","Sri Lanka",2
"Nawalparasi","United Arab Emirates",409
"Nawalparasi","United Kingdom",89
"Nawalparasi","United States",79
"Nuwakot","Australia",5
"Nuwakot","Bahrain",6
"Nuwakot","Bangladesh",3
"Nuwakot","Bhutan",19
"Nuwakot","China",11
"Nuwakot","France",4
"Nuwakot","Germany",3
"Nuwakot","Hong Kong SAR China",9
"Nuwakot","Japan",14
"Nuwakot","Kuwait",22
"Nuwakot","Malaysia",91
"Nuwakot","Maldives",4
"Nuwakot","Pakistan",5
"Nuwakot","Qatar",219
"Nuwakot","Russia",1
"Nuwakot","Saudi Arabia",542
"Nuwakot","Singapore",25
"Nuwakot","South Korea",9
"Nuwakot","United Arab Emirates",117
"Nuwakot","United Kingdom",22
"Nuwakot","United States",37
"Okhaldhunga","Australia",4
"Okhaldhunga","Bahrain",43
"Okhaldhunga","Bangladesh",3
"Okhaldhunga","Bhutan",26
"Okhaldhunga","China",1
"Okhaldhunga","Germany",6
"Okhaldhunga","Hong Kong SAR China",48
"Okhaldhunga","Japan",8
"Okhaldhunga","Kuwait",34
"Okhaldhunga","Malaysia",37
"Okhaldhunga","Maldives",8
"Okhaldhunga","Qatar",212
"Okhaldhunga","Russia",1
"Okhaldhunga","Saudi Arabia",469
"Okhaldhunga","Singapore",77
"Okhaldhunga","South Korea",11
"Okhaldhunga","Sri Lanka",3
"Okhaldhunga","United Arab Emirates",90
"Okhaldhunga","United Kingdom",85
"Okhaldhunga","United States",30
"Palpa","Australia",8
"Palpa","Bahrain",35
"Palpa","Bangladesh",6
"Palpa","Bhutan",1
"Palpa","China",3
"Palpa","France",3
"Palpa","Germany",7
"Palpa","Hong Kong SAR China",84
"Palpa","Japan",21
"Palpa","Kuwait",61
"Palpa","Malaysia",100
"Palpa","Maldives",5
"Palpa","Pakistan",7
"Palpa","Qatar",418
"Palpa","Russia",16
"Palpa","Saudi Arabia",977
"Palpa","Singapore",41
"Palpa","South Korea",54
"Palpa","Sri Lanka",4
"Palpa","United Arab Emirates",296
"Palpa","United Kingdom",83
"Palpa","United States",34
"Panchthar","Australia",2
"Panchthar","Bahrain",63
"Panchthar","Bangladesh",3
"Panchthar","Bhutan",11
"Panchthar","China",4
"Panchthar","Germany",4
"Panchthar","Hong Kong SAR China",102
"Panchthar","Japan",5
"Panchthar","Kuwait",100
"Panchthar","Malaysia",238
"Panchthar","Maldives",20
"Panchthar","Pakistan",17
"Panchthar","Qatar",687
"Panchthar","Russia",7
"Panchthar","Saudi Arabia",2044
"Panchthar","Singapore",123
"Panchthar","South Korea",32
"Panchthar","United Arab Emirates",370
"Panchthar","United Kingdom",87
"Panchthar","United States",14
"Parbat","Australia",13
"Parbat","Bahrain",21
"Parbat","Bangladesh",8
"Parbat","Bhutan",4
"Parbat","China",12
"Parbat","France",4
"Parbat","Germany",29
"Parbat","Hong Kong SAR China",188
"Parbat","Japan",34
"Parbat","Kuwait",46
"Parbat","Malaysia",101
"Parbat","Maldives",14
"Parbat","Pakistan",7
"Parbat","Qatar",593
"Parbat","Russia",13
"Parbat","Saudi Arabia",1370
"Parbat","Singapore",39
"Parbat","South Korea",52
"Parbat","Sri Lanka",2
"Parbat","United Arab Emirates",197
"Parbat","United Kingdom",74
"Parbat","United States",36
"Parsa","Australia",9
