hhid,year,member_id,wt_hh,vmun_code,lgname,district77,district_name,is_internal,is_international,dest_india,dest_gulf,dest_malaysia,dest_other_country,s11q02b_raw,s11q02d_raw,s11q02a_raw,migrant_male,migrant_female,migrant_third_gender,migrant_age,months_away,long_term_migrant,reason_work,reason_education,reason_family,reason_disaster,earning_primary_rs,earning_secondary_rs,earning_total_rs,has_secondary_job,remit_sent_flag,remit_amount_rs,remit_freq_per_year,remit_via_formal,remit_via_informal,remit_via_bank_ime,remit_via_friends,remit_via_hundi,remit_via_other,remit_use_consumption,remit_use_human_capital,remit_use_business_investment,remit_use_land_housing,remit_use_investment_any,remit_use_debt,mig_cost_any,mig_cost_rs,mig_cost_loan_flag,cost_to_monthly_earning_ratio
25,2018,2630,754.5958251953125,40606,Sundarbazar Municipality,Lamjung,Lamjung,1,0,0,0,0,0,,,Kathmandu,0,1,0,16,7,0,0,1,0,0,0,0,0,,0,0,,,,,,,,,,,,,,1,2000,0,
25,2018,2629,754.5958251953125,40606,Sundarbazar Municipality,Lamjung,Lamjung,1,0,0,0,0,0,,,Kathmandu,0,1,0,18,23,0,0,1,0,0,0,0,0,,0,0,,,,,,,,,,,,,,1,1500,0,
26,2016,28980,631.615234375,40801,Gaidakot Nagarpalika,Nawalparasi East,Nawalparasi,0,1,0,0,0,1,Other,,,1,0,0,40,15,0,1,0,0,0,50000,0,50000,,1,30000,12,1,0,1,0,0,0,1,1,0,0,0,0,1,60000,0,1.2
26,2017,28980,631.615234375,40801,Gaidakot Nagarpalika,Nawalparasi East,Nawalparasi,0,1,0,0,0,1,Other,,,1,0,0,38,9,0,1,0,0,0,50000,0,50000,,1,200000,4,1,0,1,0,0,0,1,1,0,0,0,0,0,0,,0
26,2018,28980,631.615234375,40801,Gaidakot Nagarpalika,Nawalparasi East,Nawalparasi,0,1,0,0,0,1,Other,kubate,,1,0,0,39,60,1,1,0,0,0,90000,0,90000,,1,800000,10,1,0,1,0,0,0,1,1,0,0,0,0,1,50000,0,0.5555555555555556
27,2017,2636,754.5958251953125,50405,Isma Gaunpalika,Gulmi,Gulmi,0,1,1,0,0,0,India,,,1,0,0,16,5,0,1,0,1,0,998,0,998,,0,0,,,,,,,,,,,,,,1,5000,0,5.01002004008016
27,2018,2636,754.5958251953125,50405,Isma Gaunpalika,Gulmi,Gulmi,0,1,1,0,0,0,India,,,1,0,0,17,17,0,1,0,0,0,10000,0,10000,,1,25000,4,1,0,1,0,0,0,1,0,0,0,0,1,1,5000,1,0.5
29,2016,28981,634.085205078125,70804,Gauriganga Municipality,Kailali,Kailali,0,1,0,0,1,0,Malayasia,,,1,0,0,30,18,0,1,0,0,0,35000,0,35000,,1,250000,3,1,0,1,0,0,0,1,0,0,0,0,1,1,200000,1,5.714285714285714
29,2017,28981,634.085205078125,70804,Gauriganga Municipality,Kailali,Kailali,0,1,0,0,1,0,Malayasia,,,1,0,0,34,31,1,1,0,0,0,28000,0,28000,,1,45000,1,1,0,1,0,0,0,1,0,0,0,0,0,1,120000,1,4.285714285714286
29,2018,2645,634.085205078125,70804,Gauriganga Municipality,Kailali,Kailali,0,1,0,1,0,0,Qatar,,,1,0,0,27,7,0,1,0,0,0,45000,0,45000,,1,250000,1,1,0,1,0,0,0,1,1,0,0,0,0,1,130000,1,2.888888888888889
